date,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue
2019-05-23,35.0,-4947.6,42.0,4947.6,889.98,117.8,1470.008
2019-05-24,35.12,-4947.6,42.0,4947.6,889.98,117.8,1475.028
2019-05-28,34.614,-4947.6,42.0,4947.6,889.98,117.8,1453.791
2019-05-29,34.651,-4947.6,42.0,4947.6,889.98,117.8,1455.335
2019-05-30,34.973,-4947.6,42.0,4947.6,889.98,117.8,1468.85
2019-05-31,35.258,-4947.6,42.0,4947.6,889.98,117.8,1480.82
2019-06-03,35.69,-4947.6,42.0,4947.6,889.98,117.8,1498.968
2019-06-04,35.91,-4947.6,42.0,4947.6,889.98,117.8,1508.235
2019-06-05,35.147,-4947.6,42.0,4947.6,889.98,117.8,1476.186
2019-06-06,35.34,-4947.6,42.0,4947.6,889.98,117.8,1484.295
2019-06-07,35.69,-4947.6,42.0,4947.6,889.98,117.8,1498.968
2019-06-10,36.425,-4947.6,42.0,4947.6,889.98,117.8,1529.859
2019-06-11,36.738,-4947.6,42.0,4947.6,889.98,117.8,1542.987
2019-06-12,36.278,-4947.6,42.0,4947.6,889.98,117.8,1523.681
2019-06-13,36.269,-4947.6,42.0,4947.6,889.98,117.8,1523.295
2019-06-14,34.789,-4947.6,42.0,4947.6,889.98,117.8,1461.127
2019-06-17,34.623,-4947.6,42.0,4947.6,889.98,117.8,1454.177
2019-06-18,36.048,-4947.6,42.0,4947.6,889.98,117.8,1514.027
2019-06-19,36.223,-4947.6,42.0,4947.6,889.98,117.8,1521.364
2019-06-20,37.243,-4947.6,42.0,4947.6,889.98,117.8,1564.225
2019-06-21,37.253,-4947.6,42.0,4947.6,889.98,117.8,1564.611
2019-06-24,37.951,-4947.6,42.0,4947.6,889.98,117.8,1593.954
2019-06-25,36.945,-4947.6,42.0,4947.6,889.98,117.8,1551.693
2019-06-26,37.097,-4947.6,42.0,4947.6,889.98,117.8,1558.072
2019-06-27,37.581,-4947.6,42.0,4947.6,889.98,117.8,1578.405
2019-06-28,37.182,-4947.6,42.0,4947.6,889.98,117.8,1561.661
2019-07-01,39.28,-4947.6,42.0,4947.6,889.98,117.8,1649.771
2019-07-02,38.73,-4947.6,42.0,4947.6,889.98,117.8,1626.647
2019-07-03,38.284,-4947.6,42.0,4947.6,889.98,117.8,1607.908
2019-07-05,37.904,-4947.6,42.0,4947.6,889.98,117.8,1591.961
2019-07-08,37.325,-4947.6,42.0,4947.6,889.98,117.8,1567.641
2019-07-09,37.657,-4947.6,42.0,4947.6,889.98,117.8,1581.595
2019-07-10,38.644,-4947.6,42.0,4947.6,889.98,117.8,1623.058
2019-07-11,38.825,-4947.6,42.0,4947.6,889.98,117.8,1630.633
2019-07-12,39.138,-4947.6,42.0,4947.6,889.98,117.8,1643.79
2019-07-15,39.698,-4947.6,42.0,4947.6,889.98,117.8,1667.313
2019-07-16,39.65,-4947.6,42.0,4947.6,889.98,117.8,1665.32
2019-07-17,39.518,-4947.6,42.0,4947.6,889.98,117.8,1659.738
2019-07-18,40.998,-4947.6,42.0,4947.6,889.98,117.8,1721.933
2019-07-19,41.606,-4947.6,42.0,4947.6,889.98,117.8,1747.449
2019-07-22,42.337,-4947.6,42.0,4947.6,889.98,117.8,1778.148
2019-07-23,42.166,-4947.6,42.0,4947.6,889.98,117.8,1770.972
2019-07-24,42.28,-4947.6,42.0,4947.6,889.98,117.8,1775.756
2019-07-25,41.407,-4947.6,42.0,4947.6,889.98,117.8,1739.076
2019-07-26,41.255,-4947.6,42.0,4947.6,889.98,117.8,1732.698
2019-07-29,41.71,-4947.6,42.0,4947.6,889.98,117.8,1751.835
2019-07-30,40.922,-4947.6,42.0,4947.6,889.98,117.8,1718.744
2019-07-31,40.467,-4947.6,42.0,4947.6,889.98,117.8,1699.607
2019-08-01,39.745,-4947.6,42.0,4947.6,889.98,117.8,1669.306
2019-08-02,39.537,-4947.6,42.0,4947.6,889.98,117.8,1660.535
2019-08-05,37.847,-4947.6,42.0,4947.6,889.98,117.8,1589.568
2019-08-06,39.166,-4947.6,42.0,4947.6,889.98,117.8,1644.986
2019-08-07,39.166,-4947.6,42.0,4947.6,889.98,117.8,1644.986
2019-08-08,39.774,-4947.6,42.0,4947.6,889.98,117.8,1670.502
2019-08-09,39.309,-4947.6,42.0,4947.6,889.98,117.8,1650.967
2019-08-12,38.882,-4947.6,42.0,4947.6,889.98,117.8,1633.026
2019-08-13,39.717,-4947.6,42.0,4947.6,889.98,117.8,1668.11
2019-08-14,38.378,-4947.6,42.0,4947.6,889.98,117.8,1611.895
2019-08-15,38.787,-4947.6,42.0,4947.6,889.98,117.8,1629.039
2019-08-16,39.432,-4947.6,42.0,4947.6,889.98,117.8,1656.15
2019-08-19,39.66,-4947.6,42.0,4947.6,889.98,117.8,1665.718
2019-08-20,39.812,-4947.6,42.0,4947.6,889.98,117.8,1672.097
2019-08-21,40.419,-4947.6,42.0,4947.6,889.98,117.8,1697.613
2019-08-22,39.992,-4947.6,42.0,4947.6,889.98,117.8,1679.672
2019-08-23,38.872,-4947.6,42.0,4947.6,889.98,117.8,1632.627
2019-08-26,39.242,-4947.6,42.0,4947.6,889.98,117.8,1648.176
2019-08-27,39.252,-4947.6,42.0,4947.6,889.98,117.8,1648.574
2019-08-28,39.537,-4947.6,42.0,4947.6,889.98,117.8,1660.535
2019-08-29,40.135,-4947.6,42.0,4947.6,889.98,117.8,1685.652
2019-08-30,40.467,-4947.6,42.0,4947.6,889.98,117.8,1699.607
2019-09-03,39.603,-4947.6,42.0,4947.6,889.98,117.8,1663.326
2019-09-04,40.96,-4947.6,42.0,4947.6,889.98,117.8,1720.339
2019-09-05,41.995,-4947.6,42.0,4947.6,889.98,117.8,1763.796
2019-09-06,41.492,-4947.6,42.0,4947.6,889.98,117.8,1742.665
2019-09-09,41.625,-4947.6,42.0,4947.6,889.98,117.8,1748.246
2019-09-10,41.862,-4947.6,42.0,4947.6,889.98,117.8,1758.214
2019-09-11,41.976,-4947.6,42.0,4947.6,889.98,117.8,1762.998
2019-09-12,41.834,-4947.6,42.0,4947.6,889.98,117.8,1757.018
2019-09-13,42.47,-4947.6,42.0,4947.6,889.98,117.8,1783.729
2019-09-16,42.337,-4947.6,42.0,4947.6,889.98,117.8,1778.148
2019-09-17,42.84,-4947.6,42.0,4947.6,889.98,117.8,1799.279
2019-09-18,42.755,-4947.6,42.0,4947.6,889.98,117.8,1795.69
2019-09-19,42.929,-4947.6,42.0,4947.6,889.98,117.8,1802.999
2019-09-20,41.944,-4947.6,42.0,4947.6,889.98,117.8,1761.638
2019-09-23,42.135,-4947.6,42.0,4947.6,889.98,117.8,1769.669
