date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,PKX_adj_close,PKX_cashflow,PKX_cml_units,PKX_cml_cost,PKX_gain_loss,PKX_avg_price,PKX_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,SHG_adj_close,SHG_cashflow,SHG_cml_units,SHG_cml_cost,SHG_gain_loss,SHG_avg_price,SHG_mktvalue,WF_adj_close,WF_cashflow,WF_cml_units,WF_cml_cost,WF_gain_loss,WF_avg_price,WF_mktvalue,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue
2020-03-09,11.072,-4985.833,277.778,4985.833,0.0,17.949,3075.646,27.696,-4964.4,121.951,4964.4,0.0,40.708,3377.523,32.76,-4954.851,96.154,4954.851,0.0,51.53,3149.957,34.277,-4960.76,100.0,4960.76,0.0,49.608,3427.674,6.141,-4998.685,625.0,4998.685,0.0,7.998,3838.366,24.36,-4987.17,131.579,4987.17,0.0,37.902,3205.263,21.35,-4992.9,166.667,4992.9,0.0,29.957,3558.333,13.754,-4986.313,294.118,4986.313,0.0,16.953,4045.422,14.72,-4997.2,416.667,4997.2,0.0,11.993,6133.333
2020-03-10,11.463,-4985.833,277.778,4985.833,0.0,17.949,3184.138,28.427,-4964.4,121.951,4964.4,0.0,40.708,3466.652,34.783,-4954.851,96.154,4954.851,0.0,51.53,3344.545,36.043,-4960.76,100.0,4960.76,0.0,49.608,3604.26,6.15,-4998.685,625.0,4998.685,0.0,7.998,3844.019,25.49,-4987.17,131.579,4987.17,0.0,37.902,3353.947,22.07,-4992.9,166.667,4992.9,0.0,29.957,3678.333,13.384,-4986.313,294.118,4986.313,0.0,16.953,3936.613,15.3,-4997.2,416.667,4997.2,0.0,11.993,6375.0
2020-03-11,10.328,-4985.833,277.778,4985.833,0.0,17.949,2868.752,27.898,-4964.4,121.951,4964.4,0.0,40.708,3402.151,31.439,-4954.851,96.154,4954.851,0.0,51.53,3022.972,35.04,-4960.76,100.0,4960.76,0.0,49.608,3504.036,5.644,-4998.685,625.0,4998.685,0.0,7.998,3527.452,25.05,-4987.17,131.579,4987.17,0.0,37.902,3296.053,21.59,-4992.9,166.667,4992.9,0.0,29.957,3598.333,12.407,-4986.313,294.118,4986.313,0.0,16.953,3649.249,14.37,-4997.2,416.667,4997.2,0.0,11.993,5987.5
2020-03-12,8.802,-4985.833,277.778,4985.833,0.0,17.949,2444.873,24.724,-4964.4,121.951,4964.4,0.0,40.708,3015.143,27.562,-4954.851,96.154,4954.851,0.0,51.53,2650.239,32.368,-4960.76,100.0,4960.76,0.0,49.608,3236.771,4.73,-4998.685,625.0,4998.685,0.0,7.998,2956.502,22.73,-4987.17,131.579,4987.17,0.0,37.902,2990.789,19.57,-4992.9,166.667,4992.9,0.0,29.957,3261.667,10.577,-4986.313,294.118,4986.313,0.0,16.953,3110.789,12.45,-4997.2,416.667,4997.2,0.0,11.993,5187.5
2020-03-13,9.837,-4985.833,277.778,4985.833,0.0,17.949,2732.506,26.974,-4964.4,121.951,4964.4,0.0,40.708,3289.567,27.762,-4954.851,96.154,4954.851,0.0,51.53,2669.424,35.107,-4960.76,100.0,4960.76,0.0,49.608,3510.717,5.382,-4998.685,625.0,4998.685,0.0,7.998,3363.516,23.85,-4987.17,131.579,4987.17,0.0,37.902,3138.158,20.73,-4992.9,166.667,4992.9,0.0,29.957,3455.0,11.592,-4986.313,294.118,4986.313,0.0,16.953,3409.314,13.08,-4997.2,416.667,4997.2,0.0,11.993,5450.0
2020-03-16,7.512,-4985.833,277.778,4985.833,0.0,17.949,2086.595,23.676,-4964.4,121.951,4964.4,0.0,40.708,2887.313,22.109,-4954.851,96.154,4954.851,0.0,51.53,2125.855,28.712,-4960.76,100.0,4960.76,0.0,49.608,2871.19,4.242,-4998.685,625.0,4998.685,0.0,7.998,2651.242,20.84,-4987.17,131.579,4987.17,0.0,37.902,2742.105,18.25,-4992.9,166.667,4992.9,0.0,29.957,3041.667,10.444,-4986.313,294.118,4986.313,0.0,16.953,3071.731,10.77,-4997.2,416.667,4997.2,0.0,11.993,4487.5
2020-03-17,7.257,-4985.833,277.778,4985.833,0.0,17.949,2015.948,23.589,-4964.4,121.951,4964.4,0.0,40.708,2876.758,23.325,-4954.851,96.154,4954.851,0.0,51.53,2242.791,30.564,-4960.76,100.0,4960.76,0.0,49.608,3056.367,4.115,-4998.685,625.0,4998.685,0.0,7.998,2572.101,20.7,-4987.17,131.579,4987.17,0.0,37.902,2723.684,18.43,-4992.9,166.667,4992.9,0.0,29.957,3071.667,12.436,-4986.313,294.118,4986.313,0.0,16.953,3657.619,10.625,-4997.2,416.667,4997.2,0.0,11.993,4427.083
2020-03-18,6.068,-4985.833,277.778,4985.833,0.0,17.949,1685.424,22.012,-4964.4,121.951,4964.4,0.0,40.708,2684.427,19.506,-4954.851,96.154,4954.851,0.0,51.53,1875.54,28.311,-4960.76,100.0,4960.76,0.0,49.608,2831.1,3.356,-4998.685,625.0,4998.685,0.0,7.998,2097.252,18.97,-4987.17,131.579,4987.17,0.0,37.902,2496.053,18.12,-4992.9,166.667,4992.9,0.0,29.957,3020.0,13.337,-4986.313,294.118,4986.313,0.0,16.953,3922.664,10.15,-4997.2,416.667,4997.2,0.0,11.993,4229.167
2020-03-19,6.349,-4985.833,277.778,4985.833,0.0,17.949,1763.639,20.733,-4964.4,121.951,4964.4,0.0,40.708,2528.451,18.08,-4954.851,96.154,4954.851,0.0,51.53,1738.506,26.984,-4960.76,100.0,4960.76,0.0,49.608,2698.422,3.392,-4998.685,625.0,4998.685,0.0,7.998,2119.863,18.54,-4987.17,131.579,4987.17,0.0,37.902,2439.474,16.78,-4992.9,166.667,4992.9,0.0,29.957,2796.667,13.612,-4986.313,294.118,4986.313,0.0,16.953,4003.572,10.01,-4997.2,416.667,4997.2,0.0,11.993,4170.833
2020-03-20,6.531,-4985.833,277.778,4985.833,0.0,17.949,1814.101,21.676,-4964.4,121.951,4964.4,0.0,40.708,2643.381,18.071,-4954.851,96.154,4954.851,0.0,51.53,1737.592,26.249,-4960.76,100.0,4960.76,0.0,49.608,2624.924,3.247,-4998.685,625.0,4998.685,0.0,7.998,2029.416,18.33,-4987.17,131.579,4987.17,0.0,37.902,2411.842,17.89,-4992.9,166.667,4992.9,0.0,29.957,2981.667,11.99,-4986.313,294.118,4986.313,0.0,16.953,3526.491,10.11,-4997.2,416.667,4997.2,0.0,11.993,4212.5
