date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-10-15,175.29,-4934.52,36.496,4934.52,0.0,135.206,6397.445,39.47,-4989.16,192.308,4989.16,0.0,25.944,7590.385,20.781,-4996.94,312.5,4996.94,0.0,15.99,6494.083,25.117,-4996.557,263.158,4996.557,0.0,18.987,6609.765,3.68,-4999.02,2500.0,4999.02,0.0,2.0,9200.0,8.36,-4999.54,2500.0,4999.54,0.0,2.0,20899.999,7.557,-4998.737,1250.0,4998.737,0.0,3.999,9445.829,13.59,-4997.3,625.0,4997.3,0.0,7.996,8493.75,13.29,-4998.0,833.333,4998.0,0.0,5.998,11075.0
2019-10-16,177.12,-4934.52,36.496,4934.52,0.0,135.206,6464.233,40.0,-4989.16,192.308,4989.16,0.0,25.944,7692.308,20.727,-4996.94,312.5,4996.94,0.0,15.99,6477.23,25.054,-4996.557,263.158,4996.557,0.0,18.987,6593.158,3.4,-4999.02,2500.0,4999.02,0.0,2.0,8500.0,8.45,-4999.54,2500.0,4999.54,0.0,2.0,21125.0,7.608,-4998.737,1250.0,4998.737,0.0,3.999,9510.453,13.8,-4997.3,625.0,4997.3,0.0,7.996,8625.0,14.0,-4998.0,833.333,4998.0,0.0,5.998,11666.667
2019-10-17,176.85,-4934.52,36.496,4934.52,0.0,135.206,6454.38,39.28,-4989.16,192.308,4989.16,0.0,25.944,7553.846,20.799,-4996.94,312.5,4996.94,0.0,15.99,6499.7,25.354,-4996.557,263.158,4996.557,0.0,18.987,6672.043,3.43,-4999.02,2500.0,4999.02,0.0,2.0,8575.0,8.31,-4999.54,2500.0,4999.54,0.0,2.0,20775.001,7.841,-4998.737,1250.0,4998.737,0.0,3.999,9801.26,13.5,-4997.3,625.0,4997.3,0.0,7.996,8437.5,14.1,-4998.0,833.333,4998.0,0.0,5.998,11750.0
2019-10-18,169.13,-4934.52,36.496,4934.52,0.0,135.206,6172.628,38.96,-4989.16,192.308,4989.16,0.0,25.944,7492.308,20.799,-4996.94,312.5,4996.94,0.0,15.99,6499.7,25.638,-4996.557,263.158,4996.557,0.0,18.987,6746.777,3.35,-4999.02,2500.0,4999.02,0.0,2.0,8375.0,7.85,-4999.54,2500.0,4999.54,0.0,2.0,19625.0,8.1,-4998.737,1250.0,4998.737,0.0,3.999,10124.377,12.95,-4997.3,625.0,4997.3,0.0,7.996,8093.75,14.8,-4998.0,833.333,4998.0,0.0,5.998,12333.333
2019-10-21,173.52,-4934.52,36.496,4934.52,0.0,135.206,6332.847,39.22,-4989.16,192.308,4989.16,0.0,25.944,7542.308,21.114,-4996.94,312.5,4996.94,0.0,15.99,6598.011,25.543,-4996.557,263.158,4996.557,0.0,18.987,6721.866,3.37,-4999.02,2500.0,4999.02,0.0,2.0,8425.0,7.65,-4999.54,2500.0,4999.54,0.0,2.0,19125.0,8.436,-4998.737,1250.0,4998.737,0.0,3.999,10544.431,12.63,-4997.3,625.0,4997.3,0.0,7.996,7893.75,14.38,-4998.0,833.333,4998.0,0.0,5.998,11983.333
2019-10-22,169.89,-4934.52,36.496,4934.52,0.0,135.206,6200.365,38.06,-4989.16,192.308,4989.16,0.0,25.944,7319.231,21.213,-4996.94,312.5,4996.94,0.0,15.99,6628.908,25.488,-4996.557,263.158,4996.557,0.0,18.987,6707.334,3.49,-4999.02,2500.0,4999.02,0.0,2.0,8725.0,7.35,-4999.54,2500.0,4999.54,0.0,2.0,18375.0,8.013,-4998.737,1250.0,4998.737,0.0,3.999,10016.671,12.85,-4997.3,625.0,4997.3,0.0,7.996,8031.25,14.18,-4998.0,833.333,4998.0,0.0,5.998,11816.667
2019-10-23,169.92,-4934.52,36.496,4934.52,0.0,135.206,6201.46,37.79,-4989.16,192.308,4989.16,0.0,25.944,7267.308,21.257,-4996.94,312.5,4996.94,0.0,15.99,6642.953,25.827,-4996.557,263.158,4996.557,0.0,18.987,6796.599,3.55,-4999.02,2500.0,4999.02,0.0,2.0,8875.0,7.35,-4999.54,2500.0,4999.54,0.0,2.0,18375.0,8.056,-4998.737,1250.0,4998.737,0.0,3.999,10070.525,12.95,-4997.3,625.0,4997.3,0.0,7.996,8093.75,13.4,-4998.0,833.333,4998.0,0.0,5.998,11166.666
2019-10-24,172.55,-4934.52,36.496,4934.52,0.0,135.206,6297.445,42.72,-4989.16,192.308,4989.16,0.0,25.944,8215.385,21.311,-4996.94,312.5,4996.94,0.0,15.99,6659.805,25.78,-4996.557,263.158,4996.557,0.0,18.987,6784.144,3.6,-4999.02,2500.0,4999.02,0.0,2.0,9000.0,6.71,-4999.54,2500.0,4999.54,0.0,2.0,16775.0,8.53,-4998.737,1250.0,4998.737,0.0,3.999,10662.907,12.9,-4997.3,625.0,4997.3,0.0,7.996,8062.5,13.08,-4998.0,833.333,4998.0,0.0,5.998,10900.0
2019-10-25,174.31,-4934.52,36.496,4934.52,0.0,135.206,6361.679,43.1,-4989.16,192.308,4989.16,0.0,25.944,8288.461,21.266,-4996.94,312.5,4996.94,0.0,15.99,6645.761,25.827,-4996.557,263.158,4996.557,0.0,18.987,6796.599,3.6,-4999.02,2500.0,4999.02,0.0,2.0,9000.0,6.91,-4999.54,2500.0,4999.54,0.0,2.0,17275.0,8.608,-4998.737,1250.0,4998.737,0.0,3.999,10759.844,12.8,-4997.3,625.0,4997.3,0.0,7.996,8000.0,13.0,-4998.0,833.333,4998.0,0.0,5.998,10833.333
2019-10-28,178.68,-4934.52,36.496,4934.52,0.0,135.206,6521.168,41.85,-4989.16,192.308,4989.16,0.0,25.944,8048.077,21.365,-4996.94,312.5,4996.94,0.0,15.99,6676.659,25.859,-4996.557,263.158,4996.557,0.0,18.987,6804.902,3.65,-4999.02,2500.0,4999.02,0.0,2.0,9125.0,7.19,-4999.54,2500.0,4999.54,0.0,2.0,17975.0,8.763,-4998.737,1250.0,4998.737,0.0,3.999,10953.715,13.18,-4997.3,625.0,4997.3,0.0,7.996,8237.5,13.5,-4998.0,833.333,4998.0,0.0,5.998,11250.0
