date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,PKX_adj_close,PKX_cashflow,PKX_cml_units,PKX_cml_cost,PKX_gain_loss,PKX_avg_price,PKX_mktvalue,DBP_adj_close,DBP_cashflow,DBP_cml_units,DBP_cml_cost,DBP_gain_loss,DBP_avg_price,DBP_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-05-01,15.989,-4995.215,384.615,4995.215,0.0,12.988,6149.747,39.27,-4995.62,121.951,4995.62,0.0,40.964,4789.024,54.29,-4999.54,92.593,4999.54,0.0,53.995,5026.852,35.114,-4990.601,142.857,4990.601,0.0,34.934,5016.266,7.539,-4998.737,1250.0,4998.737,0.0,3.999,9424.288
2019-05-02,15.963,-4995.215,384.615,4995.215,0.0,12.988,6139.537,39.95,-4995.62,121.951,4995.62,0.0,40.964,4871.951,54.44,-4999.54,92.593,4999.54,0.0,53.995,5040.741,35.025,-4990.601,142.857,4990.601,0.0,34.934,5003.574,7.936,-4998.737,1250.0,4998.737,0.0,3.999,9919.736
2019-05-03,16.016,-4995.215,384.615,4995.215,0.0,12.988,6159.956,40.06,-4995.62,121.951,4995.62,0.0,40.964,4885.366,54.75,-4999.54,92.593,4999.54,0.0,53.995,5069.444,35.321,-4990.601,142.857,4990.601,0.0,34.934,5045.882,7.927,-4998.737,1250.0,4998.737,0.0,3.999,9908.965
2019-05-06,15.839,-4995.215,384.615,4995.215,0.0,12.988,6091.89,39.77,-4995.62,121.951,4995.62,0.0,40.964,4850.0,53.7,-4999.54,92.593,4999.54,0.0,53.995,4972.222,35.351,-4990.601,142.857,4990.601,0.0,34.934,5050.113,7.919,-4998.737,1250.0,4998.737,0.0,3.999,9898.194
2019-05-07,15.547,-4995.215,384.615,4995.215,0.0,12.988,5979.582,39.31,-4995.62,121.951,4995.62,0.0,40.964,4793.903,52.72,-4999.54,92.593,4999.54,0.0,53.995,4881.482,35.44,-4990.601,142.857,4990.601,0.0,34.934,5062.805,7.884,-4998.737,1250.0,4998.737,0.0,3.999,9855.112
2019-05-08,15.989,-4995.215,384.615,4995.215,0.0,12.988,6149.747,39.59,-4995.62,121.951,4995.62,0.0,40.964,4828.049,52.55,-4999.54,92.593,4999.54,0.0,53.995,4865.741,35.301,-4990.601,142.857,4990.601,0.0,34.934,5043.061,8.186,-4998.737,1250.0,4998.737,0.0,3.999,10232.084
2019-05-09,16.449,-4995.215,384.615,4995.215,0.0,12.988,6326.718,39.3,-4995.62,121.951,4995.62,0.0,40.964,4792.683,52.25,-4999.54,92.593,4999.54,0.0,53.995,4837.963,35.321,-4990.601,142.857,4990.601,0.0,34.934,5045.882,8.039,-4998.737,1250.0,4998.737,0.0,3.999,10048.983
2019-05-10,16.494,-4995.215,384.615,4995.215,0.0,12.988,6343.734,39.53,-4995.62,121.951,4995.62,0.0,40.964,4820.732,51.34,-4999.54,92.593,4999.54,0.0,53.995,4753.704,35.371,-4990.601,142.857,4990.601,0.0,34.934,5052.933,8.453,-4998.737,1250.0,4998.737,0.0,3.999,10565.974
2019-05-13,16.184,-4995.215,384.615,4995.215,0.0,12.988,6224.619,38.33,-4995.62,121.951,4995.62,0.0,40.964,4674.39,49.44,-4999.54,92.593,4999.54,0.0,53.995,4577.778,35.657,-4990.601,142.857,4990.601,0.0,34.934,5093.83,8.082,-4998.737,1250.0,4998.737,0.0,3.999,10102.836
2019-05-14,16.334,-4995.215,384.615,4995.215,0.0,12.988,6282.475,38.67,-4995.62,121.951,4995.62,0.0,40.964,4715.853,50.24,-4999.54,92.593,4999.54,0.0,53.995,4651.852,35.617,-4990.601,142.857,4990.601,0.0,34.934,5088.189,7.97,-4998.737,1250.0,4998.737,0.0,3.999,9962.819
