date,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,BOXS_adj_close,BOXS_cashflow,BOXS_cml_units,BOXS_cml_cost,BOXS_gain_loss,BOXS_avg_price,BOXS_mktvalue,KDOZF_adj_close,KDOZF_cashflow,KDOZF_cml_units,KDOZF_cml_cost,KDOZF_gain_loss,KDOZF_avg_price,KDOZF_mktvalue,MMNT_adj_close,MMNT_cashflow,MMNT_cml_units,MMNT_cml_cost,MMNT_gain_loss,MMNT_avg_price,MMNT_mktvalue
2021-05-12,20.518,-30000.0,335.713,5000.0,671.146,14.894,6888.287,0.014,-40000.0,555555.579,5000.0,4999.996,0.009,7777.778,0.81,-30000.0,21739.13,5000.0,-249.99,0.23,17608.695,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-13,21.477,-30000.0,335.713,5000.0,671.146,14.894,7210.138,0.014,-40000.0,555555.579,5000.0,4999.996,0.009,7777.778,0.75,-30000.0,21739.13,5000.0,-249.99,0.23,16304.348,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-14,21.596,-30000.0,335.713,5000.0,671.146,14.894,7249.956,0.012,-40000.0,555555.579,5000.0,4999.996,0.009,6666.667,0.78,-30000.0,21739.13,5000.0,-249.99,0.23,16956.521,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-17,22.021,-30000.0,335.713,5000.0,671.146,14.894,7392.632,0.011,-40000.0,555555.579,5000.0,4999.996,0.009,6111.111,0.7,-30000.0,21739.13,5000.0,-249.99,0.23,15217.391,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-18,22.06,-30000.0,335.713,5000.0,671.146,14.894,7405.904,0.009,-40000.0,555555.579,5000.0,4999.996,0.009,5000.0,0.7,-30000.0,21739.13,5000.0,-249.99,0.23,15217.391,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-19,22.04,-30000.0,335.713,5000.0,671.146,14.894,7399.268,0.008,-40000.0,555555.579,5000.0,4999.996,0.009,4444.445,0.67,-30000.0,21739.13,5000.0,-249.99,0.23,14565.217,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-20,21.645,-30000.0,335.713,5000.0,671.146,14.894,7266.546,0.009,-40000.0,555555.579,5000.0,4999.996,0.009,5000.0,0.8,-30000.0,21739.13,5000.0,-249.99,0.23,17391.304,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-21,22.169,-30000.0,335.713,5000.0,671.146,14.894,7442.403,0.01,-40000.0,555555.579,5000.0,4999.996,0.009,5555.556,0.75,-30000.0,21739.13,5000.0,-249.99,0.23,16304.348,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-24,22.396,-30000.0,335.713,5000.0,671.146,14.894,7518.718,0.01,-40000.0,555555.579,5000.0,4999.996,0.009,5555.556,0.75,-30000.0,21739.13,5000.0,-249.99,0.23,16304.348,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-25,22.07,-30000.0,335.713,5000.0,671.146,14.894,7409.222,0.009,-40000.0,555555.579,5000.0,4999.996,0.009,5000.0,0.73,-30000.0,21739.13,5000.0,-249.99,0.23,15869.565,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-26,22.129,-30000.0,335.713,5000.0,671.146,14.894,7429.131,0.012,-40000.0,555555.579,5000.0,4999.996,0.009,6666.667,0.68,-30000.0,21739.13,5000.0,-249.99,0.23,14782.609,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-27,22.673,-30000.0,335.713,5000.0,671.146,14.894,7611.624,0.017,-40000.0,555555.579,5000.0,4999.996,0.009,9444.445,0.68,-30000.0,21739.13,5000.0,-249.99,0.23,14782.609,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-05-28,22.594,-30000.0,335.713,5000.0,671.146,14.894,7585.079,0.016,-40000.0,555555.579,5000.0,4999.996,0.009,8888.89,0.63,-30000.0,21739.13,5000.0,-249.99,0.23,13695.652,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-06-01,23.246,-30000.0,335.713,5000.0,671.146,14.894,7804.071,0.017,-40000.0,555555.579,5000.0,4999.996,0.009,9444.445,0.55,-30000.0,21739.13,5000.0,-249.99,0.23,11956.522,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-06-02,22.881,-30000.0,335.713,5000.0,671.146,14.894,7681.303,0.015,-40000.0,555555.579,5000.0,4999.996,0.009,8333.334,0.57,-30000.0,21739.13,5000.0,-249.99,0.23,12391.304,0.12,-20000.0,45454.546,5000.0,-1999.84,0.11,5454.545
2021-06-03,22.584,-30000.0,335.713,5000.0,671.146,14.894,7581.761,0.016,-40000.0,555555.579,5000.0,4999.996,0.009,8888.89,0.56,-30000.0,21739.13,5000.0,-249.99,0.23,12173.913,0.15,-20000.0,45454.546,5000.0,-1999.84,0.11,6818.182
2021-06-04,22.357,-30000.0,335.713,5000.0,671.146,14.894,7505.447,0.016,-40000.0,555555.579,5000.0,4999.996,0.009,8888.89,0.63,-30000.0,21739.13,5000.0,-249.99,0.23,13695.652,0.15,-20000.0,45454.546,5000.0,-1999.84,0.11,6818.182
2021-06-07,22.831,-30000.0,335.713,5000.0,671.146,14.894,7664.713,0.015,-40000.0,555555.579,5000.0,4999.996,0.009,8333.334,0.66,-30000.0,21739.13,5000.0,-249.99,0.23,14347.826,0.165,-20000.0,45454.546,5000.0,-1999.84,0.11,7495.455
2021-06-08,22.722,-30000.0,335.713,5000.0,671.146,14.894,7628.214,0.014,-40000.0,555555.579,5000.0,4999.996,0.009,7777.778,0.65,-30000.0,21739.13,5000.0,-249.99,0.23,14130.434,0.18,-20000.0,45454.546,5000.0,-1999.84,0.11,8181.819
2021-06-09,22.792,-30000.0,335.713,5000.0,671.146,14.894,7651.44,0.014,-40000.0,555555.579,5000.0,4999.996,0.009,7777.778,0.68,-30000.0,21739.13,5000.0,-249.99,0.23,14782.609,0.2,-20000.0,45454.546,5000.0,-1999.84,0.11,9090.909
2021-06-10,22.495,-30000.0,335.713,5000.0,671.146,14.894,7551.899,0.016,-40000.0,555555.579,5000.0,4999.996,0.009,8888.89,0.67,-30000.0,21739.13,5000.0,-249.99,0.23,14565.217,0.2,-20000.0,45454.546,5000.0,-1999.84,0.11,9090.909
2021-06-11,22.465,-30000.0,335.713,5000.0,671.146,14.894,7541.944,0.017,-40000.0,555555.579,5000.0,4999.996,0.009,9444.445,0.65,-30000.0,21739.13,5000.0,-249.99,0.23,14130.434,0.2,-20000.0,45454.546,5000.0,-1999.84,0.11,9090.909
