date,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue
2020-04-09,4.416,-4998.685,625.0,4998.685,0.0,7.998,2760.118,26.861,-4954.851,96.154,4954.851,0.0,51.53,2582.757
2020-04-13,4.557,-4998.685,625.0,4998.685,0.0,7.998,2848.02,26.63,-4954.851,96.154,4954.851,0.0,51.53,2560.556
2020-04-14,4.501,-4998.685,625.0,4998.685,0.0,7.998,2812.858,27.371,-4954.851,96.154,4954.851,0.0,51.53,2631.785
2020-04-15,4.501,-4998.685,625.0,4998.685,0.0,7.998,2812.858,27.072,-4954.851,96.154,4954.851,0.0,51.53,2603.108
2020-04-16,4.379,-4998.685,625.0,4998.685,0.0,7.998,2736.677,26.168,-4954.851,96.154,4954.851,0.0,51.53,2516.153
2020-04-17,4.407,-4998.685,625.0,4998.685,0.0,7.998,2754.257,26.841,-4954.851,96.154,4954.851,0.0,51.53,2580.907
2020-04-20,4.351,-4998.685,625.0,4998.685,0.0,7.998,2719.096,26.274,-4954.851,96.154,4954.851,0.0,51.53,2526.328
2020-04-21,4.135,-4998.685,625.0,4998.685,0.0,7.998,2584.314,23.907,-4954.851,96.154,4954.851,0.0,51.53,2298.765
2020-04-22,4.172,-4998.685,625.0,4998.685,0.0,7.998,2607.754,23.378,-4954.851,96.154,4954.851,0.0,51.53,2247.887
2020-04-23,3.938,-4998.685,625.0,4998.685,0.0,7.998,2461.251,23.33,-4954.851,96.154,4954.851,0.0,51.53,2243.261
2020-04-24,3.797,-4998.685,625.0,4998.685,0.0,7.998,2373.35,23.109,-4954.851,96.154,4954.851,0.0,51.53,2221.985
2020-04-27,3.779,-4998.685,625.0,4998.685,0.0,7.998,2361.63,23.493,-4954.851,96.154,4954.851,0.0,51.53,2258.987
2020-04-28,3.844,-4998.685,625.0,4998.685,0.0,7.998,2402.65,24.359,-4954.851,96.154,4954.851,0.0,51.53,2342.242
2020-04-29,4.022,-4998.685,625.0,4998.685,0.0,7.998,2513.993,25.033,-4954.851,96.154,4954.851,0.0,51.53,2406.996
2020-04-30,3.96,-4998.685,625.0,4998.685,0.0,7.998,2475.098,25.11,-4954.851,96.154,4954.851,0.0,51.53,2414.397
2020-05-01,3.753,-4998.685,625.0,4998.685,0.0,7.998,2345.45,24.128,-4954.851,96.154,4954.851,0.0,51.53,2320.041
2020-05-04,3.847,-4998.685,625.0,4998.685,0.0,7.998,2404.381,24.388,-4954.851,96.154,4954.851,0.0,51.53,2345.017
2020-05-05,3.847,-4998.685,625.0,4998.685,0.0,7.998,2404.381,23.445,-4954.851,96.154,4954.851,0.0,51.53,2254.362
2020-05-06,3.79,-4998.685,625.0,4998.685,0.0,7.998,2369.022,22.993,-4954.851,96.154,4954.851,0.0,51.53,2210.884
2020-05-07,3.762,-4998.685,625.0,4998.685,0.0,7.998,2351.343,23.753,-4954.851,96.154,4954.851,0.0,51.53,2283.964
2020-05-08,3.847,-4998.685,625.0,4998.685,0.0,7.998,2404.381,24.051,-4954.851,96.154,4954.851,0.0,51.53,2312.64
2020-05-11,3.715,-4998.685,625.0,4998.685,0.0,7.998,2321.878,23.599,-4954.851,96.154,4954.851,0.0,51.53,2269.163
2020-05-12,3.781,-4998.685,625.0,4998.685,0.0,7.998,2363.13,23.051,-4954.851,96.154,4954.851,0.0,51.53,2216.434
2020-05-13,3.658,-4998.685,625.0,4998.685,0.0,7.998,2286.519,21.704,-4954.851,96.154,4954.851,0.0,51.53,2086.926
2020-05-14,3.574,-4998.685,625.0,4998.685,0.0,7.998,2233.481,21.627,-4954.851,96.154,4954.851,0.0,51.53,2079.526
2020-05-15,3.621,-4998.685,625.0,4998.685,0.0,7.998,2262.947,21.945,-4954.851,96.154,4954.851,0.0,51.53,2110.053
2020-05-18,3.8,-4998.685,625.0,4998.685,0.0,7.998,2374.916,23.099,-4954.851,96.154,4954.851,0.0,51.53,2221.06
2020-05-19,3.724,-4998.685,625.0,4998.685,0.0,7.998,2327.771,22.05,-4954.851,96.154,4954.851,0.0,51.53,2120.229
2020-05-20,3.819,-4998.685,625.0,4998.685,0.0,7.998,2386.702,22.58,-4954.851,96.154,4954.851,0.0,51.53,2171.107
