date,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,ZLAB_adj_close,ZLAB_cashflow,ZLAB_cml_units,ZLAB_cml_cost,ZLAB_gain_loss,ZLAB_avg_price,ZLAB_mktvalue,CBIO_adj_close,CBIO_cashflow,CBIO_cml_units,CBIO_cml_cost,CBIO_gain_loss,CBIO_avg_price,CBIO_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue,FNMA_adj_close,FNMA_cashflow,FNMA_cml_units,FNMA_cml_cost,FNMA_gain_loss,FNMA_avg_price,FNMA_mktvalue
2019-04-02,1.35,-4999.04,5000.0,4999.04,0.0,1.0,6750.0,30.46,-4992.3,217.391,4992.3,0.0,22.965,6621.739,9.04,-4994.37,714.286,4994.37,0.0,6.992,6457.143,4.35,-4999.54,2500.0,4999.54,0.0,2.0,10875.0,9.383,-4998.737,1250.0,4998.737,0.0,3.999,11729.2,7.9,-4998.0,833.333,4998.0,0.0,5.998,6583.333,2.72,-4998.96,5000.0,4998.96,0.0,1.0,13600.0
2019-04-03,1.36,-4999.04,5000.0,4999.04,0.0,1.0,6800.0,30.61,-4992.3,217.391,4992.3,0.0,22.965,6654.348,9.46,-4994.37,714.286,4994.37,0.0,6.992,6757.143,4.62,-4999.54,2500.0,4999.54,0.0,2.0,11550.0,9.444,-4998.737,1250.0,4998.737,0.0,3.999,11804.594,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667,2.76,-4998.96,5000.0,4998.96,0.0,1.0,13800.0
2019-04-04,1.42,-4999.04,5000.0,4999.04,0.0,1.0,7100.0,31.17,-4992.3,217.391,4992.3,0.0,22.965,6776.087,9.76,-4994.37,714.286,4994.37,0.0,6.992,6971.429,4.53,-4999.54,2500.0,4999.54,0.0,2.0,11325.001,8.866,-4998.737,1250.0,4998.737,0.0,3.999,11082.963,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0,2.9,-4998.96,5000.0,4998.96,0.0,1.0,14500.0
2019-04-05,1.4,-4999.04,5000.0,4999.04,0.0,1.0,7000.0,31.48,-4992.3,217.391,4992.3,0.0,22.965,6843.478,10.6,-4994.37,714.286,4994.37,0.0,6.992,7571.429,5.5,-4999.54,2500.0,4999.54,0.0,2.0,13750.0,8.634,-4998.737,1250.0,4998.737,0.0,3.999,10792.156,8.16,-4998.0,833.333,4998.0,0.0,5.998,6800.0,2.8,-4998.96,5000.0,4998.96,0.0,1.0,14000.0
2019-04-08,1.38,-4999.04,5000.0,4999.04,0.0,1.0,6900.0,31.83,-4992.3,217.391,4992.3,0.0,22.965,6919.565,10.07,-4994.37,714.286,4994.37,0.0,6.992,7192.857,6.15,-4999.54,2500.0,4999.54,0.0,2.0,15375.0,8.427,-4998.737,1250.0,4998.737,0.0,3.999,10533.661,8.3,-4998.0,833.333,4998.0,0.0,5.998,6916.667,2.75,-4998.96,5000.0,4998.96,0.0,1.0,13750.0
2019-04-09,1.39,-4999.04,5000.0,4999.04,0.0,1.0,6950.0,31.46,-4992.3,217.391,4992.3,0.0,22.965,6839.13,9.8,-4994.37,714.286,4994.37,0.0,6.992,7000.0,6.27,-4999.54,2500.0,4999.54,0.0,2.0,15675.0,8.143,-4998.737,1250.0,4998.737,0.0,3.999,10178.231,8.08,-4998.0,833.333,4998.0,0.0,5.998,6733.333,2.74,-4998.96,5000.0,4998.96,0.0,1.0,13700.0
2019-04-10,1.39,-4999.04,5000.0,4999.04,0.0,1.0,6950.0,32.43,-4992.3,217.391,4992.3,0.0,22.965,7050.0,9.82,-4994.37,714.286,4994.37,0.0,6.992,7014.285,5.88,-4999.54,2500.0,4999.54,0.0,2.0,14700.0,8.255,-4998.737,1250.0,4998.737,0.0,3.999,10318.248,7.9,-4998.0,833.333,4998.0,0.0,5.998,6583.333,2.74,-4998.96,5000.0,4998.96,0.0,1.0,13700.0
2019-04-11,1.36,-4999.04,5000.0,4999.04,0.0,1.0,6800.0,31.6,-4992.3,217.391,4992.3,0.0,22.965,6869.565,9.55,-4994.37,714.286,4994.37,0.0,6.992,6821.429,5.65,-4999.54,2500.0,4999.54,0.0,2.0,14125.0,8.151,-4998.737,1250.0,4998.737,0.0,3.999,10189.002,8.7,-4998.0,833.333,4998.0,0.0,5.998,7250.0,2.72,-4998.96,5000.0,4998.96,0.0,1.0,13600.0
2019-04-12,1.34,-4999.04,5000.0,4999.04,0.0,1.0,6700.0,31.34,-4992.3,217.391,4992.3,0.0,22.965,6813.044,9.37,-4994.37,714.286,4994.37,0.0,6.992,6692.857,5.74,-4999.54,2500.0,4999.54,0.0,2.0,14349.999,7.867,-4998.737,1250.0,4998.737,0.0,3.999,9833.571,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333,2.69,-4998.96,5000.0,4998.96,0.0,1.0,13450.0
2019-04-15,1.32,-4999.04,5000.0,4999.04,0.0,1.0,6600.0,31.03,-4992.3,217.391,4992.3,0.0,22.965,6745.652,9.0,-4994.37,714.286,4994.37,0.0,6.992,6428.571,5.35,-4999.54,2500.0,4999.54,0.0,2.0,13375.0,7.746,-4998.737,1250.0,4998.737,0.0,3.999,9682.782,8.65,-4998.0,833.333,4998.0,0.0,5.998,7208.333,2.61,-4998.96,5000.0,4998.96,0.0,1.0,13049.999
2019-04-16,1.28,-4999.04,5000.0,4999.04,0.0,1.0,6400.0,29.87,-4992.3,217.391,4992.3,0.0,22.965,6493.478,8.85,-4994.37,714.286,4994.37,0.0,6.992,6321.429,5.95,-4999.54,2500.0,4999.54,0.0,2.0,14875.0,7.591,-4998.737,1250.0,4998.737,0.0,3.999,9488.912,8.55,-4998.0,833.333,4998.0,0.0,5.998,7125.0,2.58,-4998.96,5000.0,4998.96,0.0,1.0,12900.0
2019-04-17,1.26,-4999.04,5000.0,4999.04,0.0,1.0,6300.0,28.68,-4992.3,217.391,4992.3,0.0,22.965,6234.783,8.72,-4994.37,714.286,4994.37,0.0,6.992,6228.572,5.78,-4999.54,2500.0,4999.54,0.0,2.0,14450.001,7.462,-4998.737,1250.0,4998.737,0.0,3.999,9327.352,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333,2.74,-4998.96,5000.0,4998.96,0.0,1.0,13700.0
