date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2021-07-30,44.29,-4990.56,131.579,4990.56,0.0,37.928,5827.632,8.03,-4999.54,2500.0,4999.54,0.0,2.0,20074.999,16.2,-4998.737,1250.0,4998.737,0.0,3.999,20250.001,63.07,-4997.3,625.0,4997.3,0.0,7.996,39418.75,3.79,-4998.0,833.333,4998.0,0.0,5.998,3158.333
2021-08-02,43.66,-4990.56,131.579,4990.56,0.0,37.928,5744.737,8.15,-4999.54,2500.0,4999.54,0.0,2.0,20374.999,16.01,-4998.737,1250.0,4998.737,0.0,3.999,20012.5,63.1,-4997.3,625.0,4997.3,0.0,7.996,39437.499,3.5,-4998.0,833.333,4998.0,0.0,5.998,2916.667
2021-08-03,45.19,-4990.56,131.579,4990.56,0.0,37.928,5946.052,8.31,-4999.54,2500.0,4999.54,0.0,2.0,20775.001,16.15,-4998.737,1250.0,4998.737,0.0,3.999,20187.5,63.82,-4997.3,625.0,4997.3,0.0,7.996,39887.5,2.95,-4998.0,833.333,4998.0,0.0,5.998,2458.333
2021-08-04,45.73,-4990.56,131.579,4990.56,0.0,37.928,6017.105,8.83,-4999.54,2500.0,4999.54,0.0,2.0,22075.0,15.93,-4998.737,1250.0,4998.737,0.0,3.999,19912.5,63.77,-4997.3,625.0,4997.3,0.0,7.996,39856.25,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-05,46.0,-4990.56,131.579,4990.56,0.0,37.928,6052.632,9.25,-4999.54,2500.0,4999.54,0.0,2.0,23125.0,15.98,-4998.737,1250.0,4998.737,0.0,3.999,19974.999,64.34,-4997.3,625.0,4997.3,0.0,7.996,40212.498,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-06,46.08,-4990.56,131.579,4990.56,0.0,37.928,6063.158,9.17,-4999.54,2500.0,4999.54,0.0,2.0,22925.0,16.17,-4998.737,1250.0,4998.737,0.0,3.999,20212.5,64.56,-4997.3,625.0,4997.3,0.0,7.996,40349.998,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-09,46.37,-4990.56,131.579,4990.56,0.0,37.928,6101.316,9.09,-4999.54,2500.0,4999.54,0.0,2.0,22725.0,16.1,-4998.737,1250.0,4998.737,0.0,3.999,20125.0,67.38,-4997.3,625.0,4997.3,0.0,7.996,42112.498,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-10,45.74,-4990.56,131.579,4990.56,0.0,37.928,6018.421,8.99,-4999.54,2500.0,4999.54,0.0,2.0,22474.999,16.4,-4998.737,1250.0,4998.737,0.0,3.999,20500.0,66.25,-4997.3,625.0,4997.3,0.0,7.996,41406.25,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-11,46.32,-4990.56,131.579,4990.56,0.0,37.928,6094.737,8.92,-4999.54,2500.0,4999.54,0.0,2.0,22300.0,16.18,-4998.737,1250.0,4998.737,0.0,3.999,20225.0,64.38,-4997.3,625.0,4997.3,0.0,7.996,40237.498,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-12,45.76,-4990.56,131.579,4990.56,0.0,37.928,6021.052,9.41,-4999.54,2500.0,4999.54,0.0,2.0,23525.0,16.06,-4998.737,1250.0,4998.737,0.0,3.999,20074.999,64.6,-4997.3,625.0,4997.3,0.0,7.996,40374.999,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
