date,HSBC_adj_close,HSBC_cashflow,HSBC_cml_units,HSBC_cml_cost,HSBC_gain_loss,HSBC_avg_price,HSBC_mktvalue,ENIA_adj_close,ENIA_cashflow,ENIA_cml_units,ENIA_cml_cost,ENIA_gain_loss,ENIA_avg_price,ENIA_mktvalue,BIT_adj_close,BIT_cashflow,BIT_cml_units,BIT_cml_cost,BIT_gain_loss,BIT_avg_price,BIT_mktvalue,DSL_adj_close,DSL_cashflow,DSL_cml_units,DSL_cml_cost,DSL_gain_loss,DSL_avg_price,DSL_mktvalue,PCI_adj_close,PCI_cashflow,PCI_cml_units,PCI_cml_cost,PCI_gain_loss,PCI_avg_price,PCI_mktvalue,BHK_adj_close,BHK_cashflow,BHK_cml_units,BHK_cml_cost,BHK_gain_loss,BHK_avg_price,BHK_mktvalue,TENX_adj_close,TENX_cashflow,TENX_cml_units,TENX_cml_cost,TENX_gain_loss,TENX_avg_price,TENX_mktvalue,CHNR_adj_close,CHNR_cashflow,CHNR_cml_units,CHNR_cml_cost,CHNR_gain_loss,CHNR_avg_price,CHNR_mktvalue,CTHR_adj_close,CTHR_cashflow,CTHR_cml_units,CTHR_cml_cost,CTHR_gain_loss,CTHR_avg_price,CTHR_mktvalue,SEEL_adj_close,SEEL_cashflow,SEEL_cml_units,SEEL_cml_cost,SEEL_gain_loss,SEEL_avg_price,SEEL_mktvalue,ARMP_adj_close,ARMP_cashflow,ARMP_cml_units,ARMP_cml_cost,ARMP_gain_loss,ARMP_avg_price,ARMP_mktvalue,ACUR_adj_close,ACUR_cashflow,ACUR_cml_units,ACUR_cml_cost,ACUR_gain_loss,ACUR_avg_price,ACUR_mktvalue,CHGI_adj_close,CHGI_cashflow,CHGI_cml_units,CHGI_cml_cost,CHGI_gain_loss,CHGI_avg_price,CHGI_mktvalue,CICN_adj_close,CICN_cashflow,CICN_cml_units,CICN_cml_cost,CICN_gain_loss,CICN_avg_price,CICN_mktvalue,DLYT_adj_close,DLYT_cashflow,DLYT_cml_units,DLYT_cml_cost,DLYT_gain_loss,DLYT_avg_price,DLYT_mktvalue,GLAE_adj_close,GLAE_cashflow,GLAE_cml_units,GLAE_cml_cost,GLAE_gain_loss,GLAE_avg_price,GLAE_mktvalue,IMUN_adj_close,IMUN_cashflow,IMUN_cml_units,IMUN_cml_cost,IMUN_gain_loss,IMUN_avg_price,IMUN_mktvalue,KALO_adj_close,KALO_cashflow,KALO_cml_units,KALO_cml_cost,KALO_gain_loss,KALO_avg_price,KALO_mktvalue,QTXB_adj_close,QTXB_cashflow,QTXB_cml_units,QTXB_cml_cost,QTXB_gain_loss,QTXB_avg_price,QTXB_mktvalue
2020-06-15,22.952,-486.33,118.027,4476.78,190.4,37.93,2709.004,7.769,-222.83,487.912,4727.87,216.92,9.69,3790.802,12.559,76.86,331.139,5371.08,-287.96,16.22,4158.814,13.522,33.7,255.904,5051.55,-33.15,19.74,3460.382,16.207,469.62,219.303,5502.32,-23.98,25.09,3554.198,14.233,588.66,375.995,5500.8,38.2,14.63,5351.355,1.15,416.455,4112.543,5213.06,191.431,1.268,4729.425,1.69,1241.05,2888.731,5806.35,434.7,2.01,4881.956,0.781,3010.21,6003.326,8464.69,-170.431,1.41,4689.799,1.29,-4410.1,751.153,638.48,6.94,0.85,968.987,3.58,-271.744,1966.492,6381.66,-1303.724,3.245,7040.042,0.33,4999.92,56121.999,15714.16,-4642.82,0.28,18520.261,0.017,-1666.68,249999.0,4999.98,1666.66,0.02,4224.983,0.015,3048.779,1570583.73,10365.853,731.707,0.007,23558.755,0.18,-4937.5,52.5,26.25,36.25,0.5,9.45,65.0,3715.0,335.162,17596.0,2075.0,52.5,21785.524,13.6,1666.0,1425.783,8554.7,-555.5,6.0,19390.653,0.013,-4437.501,1427466.833,3854.161,-1729.164,0.003,18557.069,0.004,3260.866,3661325.319,13913.036,-869.564,0.004,13180.771
2020-06-16,23.261,-486.33,118.027,4476.78,190.4,37.93,2745.397,7.633,-222.83,487.912,4727.87,216.92,9.69,3724.38,12.648,76.86,331.139,5371.08,-287.96,16.22,4188.185,13.566,33.7,255.904,5051.55,-33.15,19.74,3471.713,16.319,469.62,219.303,5502.32,-23.98,25.09,3578.789,14.288,588.66,375.995,5500.8,38.2,14.63,5372.245,1.18,416.455,4112.543,5213.06,191.431,1.268,4852.801,1.7,1241.05,2888.731,5806.35,434.7,2.01,4910.843,0.764,3010.21,6003.326,8464.69,-170.431,1.41,4587.142,1.35,-4410.1,751.153,638.48,6.94,0.85,1014.056,3.68,-271.744,1966.492,6381.66,-1303.724,3.245,7236.691,0.3,4999.92,56121.999,15714.16,-4642.82,0.28,16836.601,0.021,-1666.68,249999.0,4999.98,1666.66,0.02,5287.479,0.015,3048.779,1570583.73,10365.853,731.707,0.007,23558.755,0.269,-4937.5,52.5,26.25,36.25,0.5,14.149,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,14.2,1666.0,1425.783,8554.7,-555.5,6.0,20246.123,0.008,-4437.501,1427466.833,3854.161,-1729.164,0.003,10848.748,0.004,3260.866,3661325.319,13913.036,-869.564,0.004,13180.771
2020-06-17,23.039,-486.33,118.027,4476.78,190.4,37.93,2719.239,7.546,-222.83,487.912,4727.87,216.92,9.69,3681.68,12.745,76.86,331.139,5371.08,-287.96,16.22,4220.492,13.646,33.7,255.904,5051.55,-33.15,19.74,3492.108,16.345,469.62,219.303,5502.32,-23.98,25.09,3584.463,14.251,588.66,375.995,5500.8,38.2,14.63,5358.318,1.1,416.455,4112.543,5213.06,191.431,1.268,4523.798,1.57,1241.05,2888.731,5806.35,434.7,2.01,4535.308,0.768,3010.21,6003.326,8464.69,-170.431,1.41,4611.755,1.37,-4410.1,751.153,638.48,6.94,0.85,1029.08,4.06,-271.744,1966.492,6381.66,-1303.724,3.245,7983.958,0.31,4999.92,56121.999,15714.16,-4642.82,0.28,17397.82,0.026,-1666.68,249999.0,4999.98,1666.66,0.02,6499.974,0.015,3048.779,1570583.73,10365.853,731.707,0.007,23558.755,0.269,-4937.5,52.5,26.25,36.25,0.5,14.149,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,13.5,1666.0,1425.783,8554.7,-555.5,6.0,19248.075,0.008,-4437.501,1427466.833,3854.161,-1729.164,0.003,10848.748,0.006,3260.866,3661325.319,13913.036,-869.564,0.004,20869.555
2020-06-18,22.837,-486.33,118.027,4476.78,190.4,37.93,2695.356,7.293,-222.83,487.912,4727.87,216.92,9.69,3558.325,12.861,76.86,331.139,5371.08,-287.96,16.22,4258.673,13.823,33.7,255.904,5051.55,-33.15,19.74,3537.431,16.319,469.62,219.303,5502.32,-23.98,25.09,3578.789,14.223,588.66,375.995,5500.8,38.2,14.63,5347.874,1.11,416.455,4112.543,5213.06,191.431,1.268,4564.923,1.45,1241.05,2888.731,5806.35,434.7,2.01,4188.661,0.726,3010.21,6003.326,8464.69,-170.431,1.41,4356.614,1.47,-4410.1,751.153,638.48,6.94,0.85,1104.195,3.54,-271.744,1966.492,6381.66,-1303.724,3.245,6961.382,0.3,4999.92,56121.999,15714.16,-4642.82,0.28,16836.601,0.025,-1666.68,249999.0,4999.98,1666.66,0.02,6249.975,0.018,3048.779,1570583.73,10365.853,731.707,0.007,28270.506,0.369,-4937.5,52.5,26.25,36.25,0.5,19.357,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,13.15,1666.0,1425.783,8554.7,-555.5,6.0,18749.05,0.008,-4437.501,1427466.833,3854.161,-1729.164,0.003,10848.748,0.006,3260.866,3661325.319,13913.036,-869.564,0.004,20503.421
2020-06-19,23.184,-486.33,118.027,4476.78,190.4,37.93,2736.299,7.361,-222.83,487.912,4727.87,216.92,9.69,3591.536,12.843,76.86,331.139,5371.08,-287.96,16.22,4252.799,13.779,33.7,255.904,5051.55,-33.15,19.74,3526.1,16.362,469.62,219.303,5502.32,-23.98,25.09,3588.246,14.353,588.66,375.995,5500.8,38.2,14.63,5396.617,1.08,416.455,4112.543,5213.06,191.431,1.268,4441.547,1.44,1241.05,2888.731,5806.35,434.7,2.01,4159.773,0.705,3010.21,6003.326,8464.69,-170.431,1.41,4231.145,1.46,-4410.1,751.153,638.48,6.94,0.85,1096.683,3.97,-271.744,1966.492,6381.66,-1303.724,3.245,7806.974,0.34,4999.92,56121.999,15714.16,-4642.82,0.28,19081.48,0.025,-1666.68,249999.0,4999.98,1666.66,0.02,6249.975,0.019,3048.779,1570583.73,10365.853,731.707,0.007,29841.09,0.27,-4937.5,52.5,26.25,36.25,0.5,14.172,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,14.25,1666.0,1425.783,8554.7,-555.5,6.0,20317.412,0.009,-4437.501,1427466.833,3854.161,-1729.164,0.003,12847.201,0.006,3260.866,3661325.319,13913.036,-869.564,0.004,20503.421
2020-06-22,22.817,-486.33,118.027,4476.78,190.4,37.93,2693.082,7.429,-222.83,487.912,4727.87,216.92,9.69,3624.747,12.763,76.86,331.139,5371.08,-287.96,16.22,4226.366,13.779,33.7,255.904,5051.55,-33.15,19.74,3526.1,16.259,469.62,219.303,5502.32,-23.98,25.09,3565.547,14.362,588.66,375.995,5500.8,38.2,14.63,5400.098,1.05,416.455,4112.543,5213.06,191.431,1.268,4318.17,1.35,1241.05,2888.731,5806.35,434.7,2.01,3899.787,0.71,3010.21,6003.326,8464.69,-170.431,1.41,4262.362,1.51,-4410.1,751.153,638.48,6.94,0.85,1134.241,3.81,-271.744,1966.492,6381.66,-1303.724,3.245,7492.335,0.3,4999.92,56121.999,15714.16,-4642.82,0.28,16836.601,0.021,-1666.68,249999.0,4999.98,1666.66,0.02,5174.979,0.015,3048.779,1570583.73,10365.853,731.707,0.007,23166.11,0.14,-4937.5,52.5,26.25,36.25,0.5,7.35,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,13.8,1666.0,1425.783,8554.7,-555.5,6.0,19675.81,0.009,-4437.501,1427466.833,3854.161,-1729.164,0.003,12847.201,0.007,3260.866,3661325.319,13913.036,-869.564,0.004,25629.278
2020-06-23,23.261,-486.33,118.027,4476.78,190.4,37.93,2745.397,7.546,-222.83,487.912,4727.87,216.92,9.69,3681.68,12.79,76.86,331.139,5371.08,-287.96,16.22,4235.177,13.77,33.7,255.904,5051.55,-33.15,19.74,3523.834,16.276,469.62,219.303,5502.32,-23.98,25.09,3569.33,14.353,588.66,375.995,5500.8,38.2,14.63,5396.617,1.04,416.455,4112.543,5213.06,191.431,1.268,4277.045,1.13,1241.05,2888.731,5806.35,434.7,2.01,3264.266,0.711,3010.21,6003.326,8464.69,-170.431,1.41,4267.765,1.23,-4410.1,751.153,638.48,6.94,0.85,923.918,3.57,-271.744,1966.492,6381.66,-1303.724,3.245,7020.377,0.3,4999.92,56121.999,15714.16,-4642.82,0.28,16836.601,0.025,-1666.68,249999.0,4999.98,1666.66,0.02,6224.975,0.019,3048.779,1570583.73,10365.853,731.707,0.007,29055.799,0.3,-4937.5,52.5,26.25,36.25,0.5,15.75,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,15.66,1666.0,1425.783,8554.7,-555.5,6.0,22327.766,0.009,-4437.501,1427466.833,3854.161,-1729.164,0.003,12847.201,0.005,3260.866,3661325.319,13913.036,-869.564,0.004,18306.626
2020-06-24,22.663,-486.33,118.027,4476.78,190.4,37.93,2674.885,7.536,-222.83,487.912,4727.87,216.92,9.69,3676.936,12.648,76.86,331.139,5371.08,-287.96,16.22,4188.185,13.611,33.7,255.904,5051.55,-33.15,19.74,3483.043,16.077,469.62,219.303,5502.32,-23.98,25.09,3525.825,14.325,588.66,375.995,5500.8,38.2,14.63,5386.171,1.0,416.455,4112.543,5213.06,191.431,1.268,4112.543,1.32,1241.05,2888.731,5806.35,434.7,2.01,3813.126,0.705,3010.21,6003.326,8464.69,-170.431,1.41,4232.345,1.19,-4410.1,751.153,638.48,6.94,0.85,893.872,3.86,-271.744,1966.492,6381.66,-1303.724,3.245,7590.659,0.3,4999.92,56121.999,15714.16,-4642.82,0.28,16836.601,0.025,-1666.68,249999.0,4999.98,1666.66,0.02,6224.975,0.019,3048.779,1570583.73,10365.853,731.707,0.007,29055.799,0.3,-4937.5,52.5,26.25,36.25,0.5,15.75,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,15.5,1666.0,1425.783,8554.7,-555.5,6.0,22099.641,0.009,-4437.501,1427466.833,3854.161,-1729.164,0.003,12847.201,0.004,3260.866,3661325.319,13913.036,-869.564,0.004,14645.302
2020-06-25,23.184,-486.33,118.027,4476.78,190.4,37.93,2736.299,7.546,-222.83,487.912,4727.87,216.92,9.69,3681.68,12.559,76.86,331.139,5371.08,-287.96,16.22,4158.814,13.593,33.7,255.904,5051.55,-33.15,19.74,3478.511,16.121,469.62,219.303,5502.32,-23.98,25.09,3535.283,14.334,588.66,375.995,5500.8,38.2,14.63,5389.653,0.926,416.455,4112.543,5213.06,191.431,1.268,3808.626,1.23,1241.05,2888.731,5806.35,434.7,2.01,3553.14,0.694,3010.21,6003.326,8464.69,-170.431,1.41,4163.907,1.21,-4410.1,751.153,638.48,6.94,0.85,908.895,3.82,-271.744,1966.492,6381.66,-1303.724,3.245,7512.0,0.34,4999.92,56121.999,15714.16,-4642.82,0.28,19081.48,0.018,-1666.68,249999.0,4999.98,1666.66,0.02,4549.982,0.018,3048.779,1570583.73,10365.853,731.707,0.007,27485.215,0.3,-4937.5,52.5,26.25,36.25,0.5,15.75,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,15.77,1666.0,1425.783,8554.7,-555.5,6.0,22484.603,0.009,-4437.501,1427466.833,3854.161,-1729.164,0.003,12847.201,0.004,3260.866,3661325.319,13913.036,-869.564,0.004,15157.886
2020-06-26,22.509,-486.33,118.027,4476.78,190.4,37.93,2656.689,7.332,-222.83,487.912,4727.87,216.92,9.69,3577.303,12.462,76.86,331.139,5371.08,-287.96,16.22,4126.508,13.451,33.7,255.904,5051.55,-33.15,19.74,3442.253,15.732,469.62,219.303,5502.32,-23.98,25.09,3450.163,14.399,588.66,375.995,5500.8,38.2,14.63,5414.026,0.96,416.455,4112.543,5213.06,191.431,1.268,3948.453,1.12,1241.05,2888.731,5806.35,434.7,2.01,3235.379,0.689,3010.21,6003.326,8464.69,-170.431,1.41,4139.293,1.11,-4410.1,751.153,638.48,6.94,0.85,833.78,4.2,-271.744,1966.492,6381.66,-1303.724,3.245,8259.267,0.32,4999.92,56121.999,15714.16,-4642.82,0.28,17959.039,0.018,-1666.68,249999.0,4999.98,1666.66,0.02,4549.982,0.016,3048.779,1570583.73,10365.853,731.707,0.007,25914.631,0.3,-4937.5,52.5,26.25,36.25,0.5,15.75,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,19.4,1666.0,1425.783,8554.7,-555.5,6.0,27660.195,0.009,-4437.501,1427466.833,3854.161,-1729.164,0.003,12847.201,0.005,3260.866,3661325.319,13913.036,-869.564,0.004,18599.533
2020-06-29,22.731,-486.33,118.027,4476.78,190.4,37.93,2682.846,7.351,-222.83,487.912,4727.87,216.92,9.69,3586.792,12.648,76.86,331.139,5371.08,-287.96,16.22,4188.185,13.487,33.7,255.904,5051.55,-33.15,19.74,3451.318,15.56,469.62,219.303,5502.32,-23.98,25.09,3412.332,14.362,588.66,375.995,5500.8,38.2,14.63,5400.098,0.94,416.455,4112.543,5213.06,191.431,1.268,3866.202,1.115,1241.05,2888.731,5806.35,434.7,2.01,3220.935,0.7,3010.21,6003.326,8464.69,-170.431,1.41,4202.328,1.04,-4410.1,751.153,638.48,6.94,0.85,781.199,4.05,-271.744,1966.492,6381.66,-1303.724,3.245,7964.294,0.35,4999.92,56121.999,15714.16,-4642.82,0.28,19642.699,0.018,-1666.68,249999.0,4999.98,1666.66,0.02,4549.982,0.016,3048.779,1570583.73,10365.853,731.707,0.007,25914.631,0.305,-4937.5,52.5,26.25,36.25,0.5,16.012,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,23.0,1666.0,1425.783,8554.7,-555.5,6.0,32793.016,0.009,-4437.501,1427466.833,3854.161,-1729.164,0.003,12847.201,0.005,3260.866,3661325.319,13913.036,-869.564,0.004,18599.533
2020-06-30,22.48,-486.33,118.027,4476.78,190.4,37.93,2653.277,7.303,-222.83,487.912,4727.87,216.92,9.69,3563.07,12.781,76.86,331.139,5371.08,-287.96,16.22,4232.24,13.611,33.7,255.904,5051.55,-33.15,19.74,3483.043,15.896,469.62,219.303,5502.32,-23.98,25.09,3486.102,14.233,588.66,375.995,5500.8,38.2,14.63,5351.355,0.905,416.455,4112.543,5213.06,191.431,1.268,3721.852,1.19,1241.05,2888.731,5806.35,434.7,2.01,3437.302,0.73,3010.21,6003.326,8464.69,-170.431,1.41,4382.428,1.01,-4410.1,751.153,638.48,6.94,0.85,758.664,3.92,-271.744,1966.492,6381.66,-1303.724,3.245,7708.649,0.35,4999.92,56121.999,15714.16,-4642.82,0.28,19642.699,0.018,-1666.68,249999.0,4999.98,1666.66,0.02,4549.982,0.016,3048.779,1570583.73,10365.853,731.707,0.007,25914.631,0.124,-4937.5,52.5,26.25,36.25,0.5,6.51,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,26.16,1666.0,1425.783,8554.7,-555.5,6.0,37298.491,0.009,-4437.501,1427466.833,3854.161,-1729.164,0.003,12847.201,0.005,3260.866,3661325.319,13913.036,-869.564,0.004,16842.097
2020-07-01,22.355,-486.33,118.027,4476.78,190.4,37.93,2638.492,7.526,-222.83,487.912,4727.87,216.92,9.69,3672.191,12.852,76.86,331.139,5371.08,-287.96,16.22,4255.736,13.912,33.7,255.904,5051.55,-33.15,19.74,3560.092,15.983,469.62,219.303,5502.32,-23.98,25.09,3505.018,14.168,588.66,375.995,5500.8,38.2,14.63,5326.983,0.9,416.455,4112.543,5213.06,191.431,1.268,3701.289,1.17,1241.05,2888.731,5806.35,434.7,2.01,3379.816,0.7,3010.21,6003.326,8464.69,-170.431,1.41,4202.929,1.06,-4410.1,751.153,638.48,6.94,0.85,796.222,3.94,-271.744,1966.492,6381.66,-1303.724,3.245,7747.979,0.348,4999.92,56121.999,15714.16,-4642.82,0.28,19530.455,0.018,-1666.68,249999.0,4999.98,1666.66,0.02,4549.982,0.015,3048.779,1570583.73,10365.853,731.707,0.007,23401.697,0.124,-4937.5,52.5,26.25,36.25,0.5,6.51,90.0,3715.0,335.162,17596.0,2075.0,52.5,30164.571,26.3,1666.0,1425.783,8554.7,-555.5,6.0,37498.1,0.009,-4437.501,1427466.833,3854.161,-1729.164,0.003,12847.201,0.005,3260.866,3661325.319,13913.036,-869.564,0.004,16842.097
