date,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue
2020-03-24,1.11,-4991.0,310.0,4991.0,446.4,16.1,344.1
2020-03-25,1.17,-4991.0,310.0,4991.0,446.4,16.1,362.7
2020-03-26,1.22,-4991.0,310.0,4991.0,446.4,16.1,378.2
2020-03-27,1.17,-4991.0,310.0,4991.0,446.4,16.1,362.7
2020-03-30,1.08,-4991.0,310.0,4991.0,446.4,16.1,334.8
2020-03-31,1.05,-4991.0,310.0,4991.0,446.4,16.1,325.5
2020-04-01,0.98,-4991.0,310.0,4991.0,446.4,16.1,303.8
2020-04-02,0.98,-4991.0,310.0,4991.0,446.4,16.1,303.8
2020-04-03,0.96,-4991.0,310.0,4991.0,446.4,16.1,297.6
2020-04-06,0.95,-4991.0,310.0,4991.0,446.4,16.1,294.5
2020-04-07,1.03,-4991.0,310.0,4991.0,446.4,16.1,319.3
2020-04-08,1.09,-4991.0,310.0,4991.0,446.4,16.1,337.9
2020-04-09,1.82,-4991.0,310.0,4991.0,446.4,16.1,564.2
2020-04-13,2.06,-4991.0,310.0,4991.0,446.4,16.1,638.6
2020-04-14,1.85,-4991.0,310.0,4991.0,446.4,16.1,573.5
2020-04-15,1.62,-4991.0,310.0,4991.0,446.4,16.1,502.2
2020-04-16,1.6,-4991.0,310.0,4991.0,446.4,16.1,496.0
2020-04-17,1.5,-4991.0,310.0,4991.0,446.4,16.1,465.0
2020-04-20,1.46,-4991.0,310.0,4991.0,446.4,16.1,452.6
2020-04-21,1.41,-4991.0,310.0,4991.0,446.4,16.1,437.1
2020-04-22,1.55,-4991.0,310.0,4991.0,446.4,16.1,480.5
2020-04-23,1.68,-4991.0,310.0,4991.0,446.4,16.1,520.8
2020-04-24,1.62,-4991.0,310.0,4991.0,446.4,16.1,502.2
2020-04-27,1.68,-4991.0,310.0,4991.0,446.4,16.1,520.8
2020-04-28,1.8,-4991.0,310.0,4991.0,446.4,16.1,558.0
2020-04-29,1.98,-4991.0,310.0,4991.0,446.4,16.1,613.8
2020-04-30,1.94,-4991.0,310.0,4991.0,446.4,16.1,601.4
2020-05-01,1.76,-4991.0,310.0,4991.0,446.4,16.1,545.6
2020-05-04,1.79,-4991.0,310.0,4991.0,446.4,16.1,554.9
2020-05-05,1.85,-4991.0,310.0,4991.0,446.4,16.1,573.5
2020-05-06,1.8,-4991.0,310.0,4991.0,446.4,16.1,558.0
2020-05-07,1.89,-4991.0,310.0,4991.0,446.4,16.1,585.9
2020-05-08,1.99,-4991.0,310.0,4991.0,446.4,16.1,616.9
2020-05-11,2.1,-4991.0,310.0,4991.0,446.4,16.1,651.0
2020-05-12,2.11,-4991.0,310.0,4991.0,446.4,16.1,654.1
2020-05-13,1.97,-4991.0,310.0,4991.0,446.4,16.1,610.7
2020-05-14,1.98,-4991.0,310.0,4991.0,446.4,16.1,613.8
2020-05-15,2.0,-4991.0,310.0,4991.0,446.4,16.1,620.0
2020-05-18,2.29,-4991.0,310.0,4991.0,446.4,16.1,709.9
2020-05-19,2.4,-4991.0,310.0,4991.0,446.4,16.1,744.0
2020-05-20,2.61,-4991.0,310.0,4991.0,446.4,16.1,809.1
2020-05-21,2.58,-4991.0,310.0,4991.0,446.4,16.1,799.8
2020-05-22,2.57,-4991.0,310.0,4991.0,446.4,16.1,796.7
2020-05-26,2.64,-4991.0,310.0,4991.0,446.4,16.1,818.4
2020-05-27,2.69,-4991.0,310.0,4991.0,446.4,16.1,833.9
2020-05-28,2.66,-4991.0,310.0,4991.0,446.4,16.1,824.6
2020-05-29,2.57,-4991.0,310.0,4991.0,446.4,16.1,796.7
2020-06-01,2.62,-4991.0,310.0,4991.0,446.4,16.1,812.2
2020-06-02,2.64,-4991.0,310.0,4991.0,446.4,16.1,818.4
2020-06-03,2.71,-4991.0,310.0,4991.0,446.4,16.1,840.1
2020-06-04,2.76,-4991.0,310.0,4991.0,446.4,16.1,855.6
2020-06-05,3.1,-4991.0,310.0,4991.0,446.4,16.1,961.0
2020-06-08,3.24,-4991.0,310.0,4991.0,446.4,16.1,1004.4
2020-06-09,2.92,-4991.0,310.0,4991.0,446.4,16.1,905.2
2020-06-10,2.81,-4991.0,310.0,4991.0,446.4,16.1,871.1
2020-06-11,2.48,-4991.0,310.0,4991.0,446.4,16.1,768.8
2020-06-12,2.79,-4991.0,310.0,4991.0,446.4,16.1,864.9
2020-06-15,2.78,-4991.0,310.0,4991.0,446.4,16.1,861.8
2020-06-16,2.84,-4991.0,310.0,4991.0,446.4,16.1,880.4
2020-06-17,2.69,-4991.0,310.0,4991.0,446.4,16.1,833.9
2020-06-18,2.75,-4991.0,310.0,4991.0,446.4,16.1,852.5
2020-06-19,2.71,-4991.0,310.0,4991.0,446.4,16.1,840.1
2020-06-22,2.67,-4991.0,310.0,4991.0,446.4,16.1,827.7
2020-06-23,2.6,-4991.0,310.0,4991.0,446.4,16.1,806.0
2020-06-24,2.4,-4991.0,310.0,4991.0,446.4,16.1,744.0
2020-06-25,2.41,-4991.0,310.0,4991.0,446.4,16.1,747.1
2020-06-26,2.31,-4991.0,310.0,4991.0,446.4,16.1,716.1
2020-06-29,2.3,-4991.0,310.0,4991.0,446.4,16.1,713.0
2020-06-30,2.28,-4991.0,310.0,4991.0,446.4,16.1,706.8
2020-07-01,2.17,-4991.0,310.0,4991.0,446.4,16.1,672.7
2020-07-02,2.13,-4991.0,310.0,4991.0,446.4,16.1,660.3
2020-07-06,2.34,-4991.0,310.0,4991.0,446.4,16.1,725.4
2020-07-07,2.39,-4991.0,310.0,4991.0,446.4,16.1,740.9
2020-07-08,2.41,-4991.0,310.0,4991.0,446.4,16.1,747.1
2020-07-09,2.3,-4991.0,310.0,4991.0,446.4,16.1,713.0
2020-07-10,2.26,-4991.0,310.0,4991.0,446.4,16.1,700.6
2020-07-13,2.41,-4991.0,310.0,4991.0,446.4,16.1,747.1
2020-07-14,2.63,-4991.0,310.0,4991.0,446.4,16.1,815.3
2020-07-15,2.74,-4991.0,310.0,4991.0,446.4,16.1,849.4
2020-07-16,2.68,-4991.0,310.0,4991.0,446.4,16.1,830.8
2020-07-17,2.68,-4991.0,310.0,4991.0,446.4,16.1,830.8
2020-07-20,2.7,-4991.0,310.0,4991.0,446.4,16.1,837.0
2020-07-21,2.82,-4991.0,310.0,4991.0,446.4,16.1,874.2
2020-07-22,2.88,-4991.0,310.0,4991.0,446.4,16.1,892.8
2020-07-23,2.99,-4991.0,310.0,4991.0,446.4,16.1,926.9
2020-07-24,2.88,-4991.0,310.0,4991.0,446.4,16.1,892.8
2020-07-27,2.8,-4991.0,310.0,4991.0,446.4,16.1,868.0
2020-07-28,2.68,-4991.0,310.0,4991.0,446.4,16.1,830.8
2020-07-29,2.69,-4991.0,310.0,4991.0,446.4,16.1,833.9
2020-07-30,2.6,-4991.0,310.0,4991.0,446.4,16.1,806.0
