date,HSBC_adj_close,HSBC_cashflow,HSBC_cml_units,HSBC_cml_cost,HSBC_gain_loss,HSBC_avg_price,HSBC_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,COOP_adj_close,COOP_cashflow,COOP_cml_units,COOP_cml_cost,COOP_gain_loss,COOP_avg_price,COOP_mktvalue,VRME_adj_close,VRME_cashflow,VRME_cml_units,VRME_cml_cost,VRME_gain_loss,VRME_avg_price,VRME_mktvalue,FMCC_adj_close,FMCC_cashflow,FMCC_cml_units,FMCC_cml_cost,FMCC_gain_loss,FMCC_avg_price,FMCC_mktvalue,TMGI_adj_close,TMGI_cashflow,TMGI_cml_units,TMGI_cml_cost,TMGI_gain_loss,TMGI_avg_price,TMGI_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue,FNMA_adj_close,FNMA_cashflow,FNMA_cml_units,FNMA_cml_cost,FNMA_gain_loss,FNMA_avg_price,FNMA_mktvalue
2019-01-15,36.135,-4973.336,138.889,4973.336,0.0,35.808,5018.763,4.662,-4998.737,1250.0,4998.737,0.0,3.999,5826.902,13.79,-4994.76,454.545,4994.76,0.0,10.988,6268.182,12.5,-4993.625,500.0,4993.625,0.0,9.987,6250.0,1.86,-4998.96,5000.0,4998.96,0.0,1.0,9300.0,42.0,-4973.8,131.579,4973.8,0.0,37.801,5526.316,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0,1.87,-4998.96,5000.0,4998.96,0.0,1.0,9350.0
2019-01-16,36.416,-4973.336,138.889,4973.336,0.0,35.808,5057.725,4.903,-4998.737,1250.0,4998.737,0.0,3.999,6128.48,14.03,-4994.76,454.545,4994.76,0.0,10.988,6377.273,12.5,-4993.625,500.0,4993.625,0.0,9.987,6250.0,1.83,-4998.96,5000.0,4998.96,0.0,1.0,9150.0,32.0,-4973.8,131.579,4973.8,0.0,37.801,4210.526,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667,1.84,-4998.96,5000.0,4998.96,0.0,1.0,9200.0
2019-01-17,36.372,-4973.336,138.889,4973.336,0.0,35.808,5051.638,5.11,-4998.737,1250.0,4998.737,0.0,3.999,6386.974,14.09,-4994.76,454.545,4994.76,0.0,10.988,6404.546,13.0,-4993.625,500.0,4993.625,0.0,9.987,6500.0,1.81,-4998.96,5000.0,4998.96,0.0,1.0,9050.0,37.1,-4973.8,131.579,4973.8,0.0,37.801,4881.579,7.75,-4998.0,833.333,4998.0,0.0,5.998,6458.333,1.8,-4998.96,5000.0,4998.96,0.0,1.0,9000.0
2019-01-18,36.749,-4973.336,138.889,4973.336,0.0,35.808,5103.993,5.256,-4998.737,1250.0,4998.737,0.0,3.999,6570.075,14.24,-4994.76,454.545,4994.76,0.0,10.988,6472.727,13.0,-4993.625,500.0,4993.625,0.0,9.987,6500.0,2.38,-4998.96,5000.0,4998.96,0.0,1.0,11900.001,32.0,-4973.8,131.579,4973.8,0.0,37.801,4210.526,7.71,-4998.0,833.333,4998.0,0.0,5.998,6425.0,2.41,-4998.96,5000.0,4998.96,0.0,1.0,12050.0
2019-01-22,36.275,-4973.336,138.889,4973.336,0.0,35.808,5038.244,4.998,-4998.737,1250.0,4998.737,0.0,3.999,6246.957,14.2,-4994.76,454.545,4994.76,0.0,10.988,6454.545,12.045,-4993.625,500.0,4993.625,0.0,9.987,6022.5,2.51,-4998.96,5000.0,4998.96,0.0,1.0,12550.0,30.8,-4973.8,131.579,4973.8,0.0,37.801,4052.631,7.7,-4998.0,833.333,4998.0,0.0,5.998,6416.667,2.57,-4998.96,5000.0,4998.96,0.0,1.0,12850.0
2019-01-23,36.503,-4973.336,138.889,4973.336,0.0,35.808,5069.901,5.084,-4998.737,1250.0,4998.737,0.0,3.999,6354.663,14.1,-4994.76,454.545,4994.76,0.0,10.988,6409.091,10.975,-4993.625,500.0,4993.625,0.0,9.987,5487.5,2.37,-4998.96,5000.0,4998.96,0.0,1.0,11849.999,18.8,-4973.8,131.579,4973.8,0.0,37.801,2473.684,7.9,-4998.0,833.333,4998.0,0.0,5.998,6583.333,2.47,-4998.96,5000.0,4998.96,0.0,1.0,12350.0
2019-01-24,36.302,-4973.336,138.889,4973.336,0.0,35.808,5041.897,5.247,-4998.737,1250.0,4998.737,0.0,3.999,6559.305,14.32,-4994.76,454.545,4994.76,0.0,10.988,6509.091,11.5,-4993.625,500.0,4993.625,0.0,9.987,5750.0,2.83,-4998.96,5000.0,4998.96,0.0,1.0,14150.0,17.692,-4973.8,131.579,4973.8,0.0,37.801,2327.895,8.4,-4998.0,833.333,4998.0,0.0,5.998,7000.0,2.97,-4998.96,5000.0,4998.96,0.0,1.0,14850.0
2019-01-25,36.696,-4973.336,138.889,4973.336,0.0,35.808,5096.687,5.23,-4998.737,1250.0,4998.737,0.0,3.999,6537.763,14.73,-4994.76,454.545,4994.76,0.0,10.988,6695.454,10.5,-4993.625,500.0,4993.625,0.0,9.987,5250.0,2.87,-4998.96,5000.0,4998.96,0.0,1.0,14349.999,19.36,-4973.8,131.579,4973.8,0.0,37.801,2547.369,7.8,-4998.0,833.333,4998.0,0.0,5.998,6500.0,2.98,-4998.96,5000.0,4998.96,0.0,1.0,14900.0
2019-01-28,36.486,-4973.336,138.889,4973.336,0.0,35.808,5067.465,5.161,-4998.737,1250.0,4998.737,0.0,3.999,6451.598,14.99,-4994.76,454.545,4994.76,0.0,10.988,6813.636,10.0,-4993.625,500.0,4993.625,0.0,9.987,5000.0,2.86,-4998.96,5000.0,4998.96,0.0,1.0,14299.999,15.712,-4973.8,131.579,4973.8,0.0,37.801,2067.368,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333,2.99,-4998.96,5000.0,4998.96,0.0,1.0,14950.0
2019-01-29,36.889,-4973.336,138.889,4973.336,0.0,35.808,5123.473,5.394,-4998.737,1250.0,4998.737,0.0,3.999,6742.405,14.94,-4994.76,454.545,4994.76,0.0,10.988,6790.909,10.0,-4993.625,500.0,4993.625,0.0,9.987,5000.0,2.23,-4998.96,5000.0,4998.96,0.0,1.0,11150.0,15.0,-4973.8,131.579,4973.8,0.0,37.801,1973.684,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333,2.3,-4998.96,5000.0,4998.96,0.0,1.0,11500.0
