date,IBN_adj_close,IBN_cashflow,IBN_cml_units,IBN_cml_cost,IBN_gain_loss,IBN_avg_price,IBN_mktvalue,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,BTZ_adj_close,BTZ_cashflow,BTZ_cml_units,BTZ_cml_cost,BTZ_gain_loss,BTZ_avg_price,BTZ_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,FMCC_adj_close,FMCC_cashflow,FMCC_cml_units,FMCC_cml_cost,FMCC_gain_loss,FMCC_avg_price,FMCC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue,FNMA_adj_close,FNMA_cashflow,FNMA_cml_units,FNMA_cml_cost,FNMA_gain_loss,FNMA_avg_price,FNMA_mktvalue
2019-07-02,12.502,-4994.313,500.0,4994.313,0.0,9.989,6250.947,19.954,-4997.067,312.5,4997.067,0.0,15.991,6235.576,24.529,-4997.024,263.158,4997.024,0.0,18.989,6454.954,47.498,-4977.852,142.857,4977.852,0.0,34.845,6785.46,4.26,-4999.02,2500.0,4999.02,0.0,2.0,10650.001,6.935,-4998.036,1000.0,4998.036,0.0,4.998,6934.572,11.054,-4993.819,555.556,4993.819,0.0,8.989,6140.923,8.15,-4999.54,2500.0,4999.54,0.0,2.0,20374.999,6.35,-4998.737,1250.0,4998.737,0.0,3.999,7937.943,10.92,-4997.3,625.0,4997.3,0.0,7.996,6825.0,2.73,-4998.96,5000.0,4998.96,0.0,1.0,13650.0,12.4,-4998.0,833.333,4998.0,0.0,5.998,10333.333,2.84,-4998.96,5000.0,4998.96,0.0,1.0,14200.0
2019-07-03,12.522,-4994.313,500.0,4994.313,0.0,9.989,6260.893,20.176,-4997.067,312.5,4997.067,0.0,15.991,6304.892,24.652,-4997.024,263.158,4997.024,0.0,18.989,6487.352,47.461,-4977.852,142.857,4977.852,0.0,34.845,6780.096,4.16,-4999.02,2500.0,4999.02,0.0,2.0,10400.0,6.952,-4998.036,1000.0,4998.036,0.0,4.998,6952.196,11.096,-4993.819,555.556,4993.819,0.0,8.989,6164.396,8.65,-4999.54,2500.0,4999.54,0.0,2.0,21624.999,6.928,-4998.737,1250.0,4998.737,0.0,3.999,8659.574,10.96,-4997.3,625.0,4997.3,0.0,7.996,6850.0,2.71,-4998.96,5000.0,4998.96,0.0,1.0,13550.0,12.4,-4998.0,833.333,4998.0,0.0,5.998,10333.333,2.83,-4998.96,5000.0,4998.96,0.0,1.0,14150.0
2019-07-05,12.492,-4994.313,500.0,4994.313,0.0,9.989,6245.975,19.803,-4997.067,312.5,4997.067,0.0,15.991,6188.443,24.929,-4997.024,263.158,4997.024,0.0,18.989,6560.243,47.883,-4977.852,142.857,4977.852,0.0,34.845,6840.44,4.18,-4999.02,2500.0,4999.02,0.0,2.0,10450.0,7.252,-4998.036,1000.0,4998.036,0.0,4.998,7251.783,11.087,-4993.819,555.556,4993.819,0.0,8.989,6159.701,8.42,-4999.54,2500.0,4999.54,0.0,2.0,21050.0,6.695,-4998.737,1250.0,4998.737,0.0,3.999,8368.767,11.05,-4997.3,625.0,4997.3,0.0,7.996,6906.25,2.69,-4998.96,5000.0,4998.96,0.0,1.0,13450.0,12.2,-4998.0,833.333,4998.0,0.0,5.998,10166.667,2.8,-4998.96,5000.0,4998.96,0.0,1.0,14000.0
2019-07-08,12.313,-4994.313,500.0,4994.313,0.0,9.989,6156.462,19.652,-4997.067,312.5,4997.067,0.0,15.991,6141.307,24.921,-4997.024,263.158,4997.024,0.0,18.989,6558.219,47.461,-4977.852,142.857,4977.852,0.0,34.845,6780.096,4.16,-4999.02,2500.0,4999.02,0.0,2.0,10400.0,7.076,-4998.036,1000.0,4998.036,0.0,4.998,7075.554,11.028,-4993.819,555.556,4993.819,0.0,8.989,6126.838,8.67,-4999.54,2500.0,4999.54,0.0,2.0,21675.0,6.669,-4998.737,1250.0,4998.737,0.0,3.999,8336.455,10.96,-4997.3,625.0,4997.3,0.0,7.996,6850.0,2.68,-4998.96,5000.0,4998.96,0.0,1.0,13400.0,12.25,-4998.0,833.333,4998.0,0.0,5.998,10208.333,2.8,-4998.96,5000.0,4998.96,0.0,1.0,14000.0
2019-07-09,12.353,-4994.313,500.0,4994.313,0.0,9.989,6176.353,19.732,-4997.067,312.5,4997.067,0.0,15.991,6166.263,24.875,-4997.024,263.158,4997.024,0.0,18.989,6546.07,47.592,-4977.852,142.857,4977.852,0.0,34.845,6798.87,4.17,-4999.02,2500.0,4999.02,0.0,2.0,10425.0,7.164,-4998.036,1000.0,4998.036,0.0,4.998,7163.67,11.037,-4993.819,555.556,4993.819,0.0,8.989,6131.532,8.28,-4999.54,2500.0,4999.54,0.0,2.0,20699.999,6.747,-4998.737,1250.0,4998.737,0.0,3.999,8433.391,11.15,-4997.3,625.0,4997.3,0.0,7.996,6968.75,2.66,-4998.96,5000.0,4998.96,0.0,1.0,13300.0,12.25,-4998.0,833.333,4998.0,0.0,5.998,10208.333,2.75,-4998.96,5000.0,4998.96,0.0,1.0,13750.0
2019-07-10,12.412,-4994.313,500.0,4994.313,0.0,9.989,6206.191,19.794,-4997.067,312.5,4997.067,0.0,15.991,6185.67,24.875,-4997.024,263.158,4997.024,0.0,18.989,6546.07,47.996,-4977.852,142.857,4977.852,0.0,34.845,6856.533,4.33,-4999.02,2500.0,4999.02,0.0,2.0,10825.0,7.164,-4998.036,1000.0,4998.036,0.0,4.998,7163.67,11.104,-4993.819,555.556,4993.819,0.0,8.989,6169.091,8.1,-4999.54,2500.0,4999.54,0.0,2.0,20250.001,6.686,-4998.737,1250.0,4998.737,0.0,3.999,8357.997,11.08,-4997.3,625.0,4997.3,0.0,7.996,6925.0,2.7,-4998.96,5000.0,4998.96,0.0,1.0,13500.0,12.24,-4998.0,833.333,4998.0,0.0,5.998,10200.0,2.82,-4998.96,5000.0,4998.96,0.0,1.0,14100.0
2019-07-11,12.323,-4994.313,500.0,4994.313,0.0,9.989,6161.435,19.59,-4997.067,312.5,4997.067,0.0,15.991,6121.901,24.967,-4997.024,263.158,4997.024,0.0,18.989,6570.367,48.54,-4977.852,142.857,4977.852,0.0,34.845,6934.31,4.4,-4999.02,2500.0,4999.02,0.0,2.0,11000.0,7.128,-4998.036,1000.0,4998.036,0.0,4.998,7128.424,11.121,-4993.819,555.556,4993.819,0.0,8.989,6178.482,7.56,-4999.54,2500.0,4999.54,0.0,2.0,18900.0,6.686,-4998.737,1250.0,4998.737,0.0,3.999,8357.997,10.97,-4997.3,625.0,4997.3,0.0,7.996,6856.25,2.7,-4998.96,5000.0,4998.96,0.0,1.0,13500.0,12.25,-4998.0,833.333,4998.0,0.0,5.998,10208.333,2.82,-4998.96,5000.0,4998.96,0.0,1.0,14100.0
2019-07-12,12.253,-4994.313,500.0,4994.313,0.0,9.989,6126.624,19.759,-4997.067,312.5,4997.067,0.0,15.991,6174.579,25.129,-4997.024,263.158,4997.024,0.0,18.989,6612.887,48.296,-4977.852,142.857,4977.852,0.0,34.845,6899.445,4.64,-4999.02,2500.0,4999.02,0.0,2.0,11600.0,7.049,-4998.036,1000.0,4998.036,0.0,4.998,7049.119,11.076,-4993.819,555.556,4993.819,0.0,8.989,6153.47,6.0,-4999.54,2500.0,4999.54,0.0,2.0,15000.0,6.281,-4998.737,1250.0,4998.737,0.0,3.999,7851.778,10.98,-4997.3,625.0,4997.3,0.0,7.996,6862.5,2.62,-4998.96,5000.0,4998.96,0.0,1.0,13099.999,12.25,-4998.0,833.333,4998.0,0.0,5.998,10208.333,2.75,-4998.96,5000.0,4998.96,0.0,1.0,13750.0
2019-07-15,12.174,-4994.313,500.0,4994.313,0.0,9.989,6086.841,19.954,-4997.067,312.5,4997.067,0.0,15.991,6235.576,25.56,-4997.024,263.158,4997.024,0.0,18.989,6726.275,48.775,-4977.852,142.857,4977.852,0.0,34.845,6967.835,4.88,-4999.02,2500.0,4999.02,0.0,2.0,12200.0,7.137,-4998.036,1000.0,4998.036,0.0,4.998,7137.236,11.127,-4993.819,555.556,4993.819,0.0,8.989,6181.786,6.84,-4999.54,2500.0,4999.54,0.0,2.0,17100.0,6.195,-4998.737,1250.0,4998.737,0.0,3.999,7744.072,10.92,-4997.3,625.0,4997.3,0.0,7.996,6825.0,2.56,-4998.96,5000.0,4998.96,0.0,1.0,12800.0,12.26,-4998.0,833.333,4998.0,0.0,5.998,10216.667,2.7,-4998.96,5000.0,4998.96,0.0,1.0,13500.0
2019-07-16,12.223,-4994.313,500.0,4994.313,0.0,9.989,6111.705,19.723,-4997.067,312.5,4997.067,0.0,15.991,6163.489,25.814,-4997.024,263.158,4997.024,0.0,18.989,6793.091,49.592,-4977.852,142.857,4977.852,0.0,34.845,7084.503,4.83,-4999.02,2500.0,4999.02,0.0,2.0,12075.0,7.19,-4998.036,1000.0,4998.036,0.0,4.998,7190.103,11.085,-4993.819,555.556,4993.819,0.0,8.989,6158.19,6.54,-4999.54,2500.0,4999.54,0.0,2.0,16350.0,6.169,-4998.737,1250.0,4998.737,0.0,3.999,7711.76,11.06,-4997.3,625.0,4997.3,0.0,7.996,6912.5,2.56,-4998.96,5000.0,4998.96,0.0,1.0,12800.0,12.26,-4998.0,833.333,4998.0,0.0,5.998,10216.667,2.7,-4998.96,5000.0,4998.96,0.0,1.0,13500.0
2019-07-17,12.194,-4994.313,500.0,4994.313,0.0,9.989,6096.787,19.422,-4997.067,312.5,4997.067,0.0,15.991,6069.22,25.529,-4997.024,263.158,4997.024,0.0,18.989,6718.175,49.357,-4977.852,142.857,4977.852,0.0,34.845,7050.979,4.73,-4999.02,2500.0,4999.02,0.0,2.0,11825.0,7.234,-4998.036,1000.0,4998.036,0.0,4.998,7234.159,11.153,-4993.819,555.556,4993.819,0.0,8.989,6195.942,6.36,-4999.54,2500.0,4999.54,0.0,2.0,15900.0,6.221,-4998.737,1250.0,4998.737,0.0,3.999,7776.383,10.97,-4997.3,625.0,4997.3,0.0,7.996,6856.25,2.55,-4998.96,5000.0,4998.96,0.0,1.0,12750.0,12.27,-4998.0,833.333,4998.0,0.0,5.998,10225.0,2.67,-4998.96,5000.0,4998.96,0.0,1.0,13350.0
2019-07-18,12.034,-4994.313,500.0,4994.313,0.0,9.989,6017.22,19.51,-4997.067,312.5,4997.067,0.0,15.991,6096.946,25.329,-4997.024,263.158,4997.024,0.0,18.989,6665.531,48.662,-4977.852,142.857,4977.852,0.0,34.845,6951.743,4.65,-4999.02,2500.0,4999.02,0.0,2.0,11625.0,7.128,-4998.036,1000.0,4998.036,0.0,4.998,7128.424,11.178,-4993.819,555.556,4993.819,0.0,8.989,6210.099,6.29,-4999.54,2500.0,4999.54,0.0,2.0,15725.0,6.195,-4998.737,1250.0,4998.737,0.0,3.999,7744.072,10.9,-4997.3,625.0,4997.3,0.0,7.996,6812.5,2.4,-4998.96,5000.0,4998.96,0.0,1.0,12000.0,12.28,-4998.0,833.333,4998.0,0.0,5.998,10233.333,2.52,-4998.96,5000.0,4998.96,0.0,1.0,12600.0
2019-07-19,11.756,-4994.313,500.0,4994.313,0.0,9.989,5877.979,19.2,-4997.067,312.5,4997.067,0.0,15.991,5999.905,25.691,-4997.024,263.158,4997.024,0.0,18.989,6760.694,49.291,-4977.852,142.857,4977.852,0.0,34.845,7041.591,4.69,-4999.02,2500.0,4999.02,0.0,2.0,11725.0,7.146,-4998.036,1000.0,4998.036,0.0,4.998,7146.045,11.161,-4993.819,555.556,4993.819,0.0,8.989,6200.662,6.57,-4999.54,2500.0,4999.54,0.0,2.0,16425.0,6.152,-4998.737,1250.0,4998.737,0.0,3.999,7690.219,10.91,-4997.3,625.0,4997.3,0.0,7.996,6818.75,2.41,-4998.96,5000.0,4998.96,0.0,1.0,12050.0,12.28,-4998.0,833.333,4998.0,0.0,5.998,10233.333,2.52,-4998.96,5000.0,4998.96,0.0,1.0,12600.0
2019-07-22,11.756,-4994.313,500.0,4994.313,0.0,9.989,5877.979,19.138,-4997.067,312.5,4997.067,0.0,15.991,5980.498,25.898,-4997.024,263.158,4997.024,0.0,18.989,6815.364,48.69,-4977.852,142.857,4977.852,0.0,34.845,6955.766,4.59,-4999.02,2500.0,4999.02,0.0,2.0,11475.0,7.172,-4998.036,1000.0,4998.036,0.0,4.998,7172.481,11.212,-4993.819,555.556,4993.819,0.0,8.989,6228.974,6.2,-4999.54,2500.0,4999.54,0.0,2.0,15500.0,6.221,-4998.737,1250.0,4998.737,0.0,3.999,7776.383,10.9,-4997.3,625.0,4997.3,0.0,7.996,6812.5,2.44,-4998.96,5000.0,4998.96,0.0,1.0,12200.0,12.28,-4998.0,833.333,4998.0,0.0,5.998,10233.333,2.52,-4998.96,5000.0,4998.96,0.0,1.0,12600.0
2019-07-23,11.725,-4994.313,500.0,4994.313,0.0,9.989,5862.525,19.04,-4997.067,312.5,4997.067,0.0,15.991,5949.999,25.906,-4997.024,263.158,4997.024,0.0,18.989,6817.389,49.526,-4977.852,142.857,4977.852,0.0,34.845,7075.116,4.6,-4999.02,2500.0,4999.02,0.0,2.0,11500.0,7.172,-4998.036,1000.0,4998.036,0.0,4.998,7172.481,11.221,-4993.819,555.556,4993.819,0.0,8.989,6233.692,6.17,-4999.54,2500.0,4999.54,0.0,2.0,15425.0,6.109,-4998.737,1250.0,4998.737,0.0,3.999,7636.366,10.9,-4997.3,625.0,4997.3,0.0,7.996,6812.5,2.47,-4998.96,5000.0,4998.96,0.0,1.0,12350.0,12.3,-4998.0,833.333,4998.0,0.0,5.998,10250.0,2.56,-4998.96,5000.0,4998.96,0.0,1.0,12800.0
2019-07-24,11.685,-4994.313,500.0,4994.313,0.0,9.989,5842.585,19.031,-4997.067,312.5,4997.067,0.0,15.991,5947.227,25.868,-4997.024,263.158,4997.024,0.0,18.989,6807.265,48.465,-4977.852,142.857,4977.852,0.0,34.845,6923.583,4.63,-4999.02,2500.0,4999.02,0.0,2.0,11575.0,7.155,-4998.036,1000.0,4998.036,0.0,4.998,7154.857,11.195,-4993.819,555.556,4993.819,0.0,8.989,6219.536,6.35,-4999.54,2500.0,4999.54,0.0,2.0,15875.0,5.911,-4998.737,1250.0,4998.737,0.0,3.999,7388.642,10.73,-4997.3,625.0,4997.3,0.0,7.996,6706.25,2.44,-4998.96,5000.0,4998.96,0.0,1.0,12200.0,12.3,-4998.0,833.333,4998.0,0.0,5.998,10250.0,2.51,-4998.96,5000.0,4998.96,0.0,1.0,12550.0
2019-07-25,11.755,-4994.313,500.0,4994.313,0.0,9.989,5877.481,18.88,-4997.067,312.5,4997.067,0.0,15.991,5900.093,25.952,-4997.024,263.158,4997.024,0.0,18.989,6829.537,48.061,-4977.852,142.857,4977.852,0.0,34.845,6865.92,4.56,-4999.02,2500.0,4999.02,0.0,2.0,11400.0,6.943,-4998.036,1000.0,4998.036,0.0,4.998,6943.384,11.076,-4993.819,555.556,4993.819,0.0,8.989,6153.47,6.46,-4999.54,2500.0,4999.54,0.0,2.0,16150.0,6.247,-4998.737,1250.0,4998.737,0.0,3.999,7808.695,10.87,-4997.3,625.0,4997.3,0.0,7.996,6793.75,2.43,-4998.96,5000.0,4998.96,0.0,1.0,12150.0,12.3,-4998.0,833.333,4998.0,0.0,5.998,10250.0,2.51,-4998.96,5000.0,4998.96,0.0,1.0,12550.0
2019-07-26,11.825,-4994.313,500.0,4994.313,0.0,9.989,5912.376,18.96,-4997.067,312.5,4997.067,0.0,15.991,5925.046,26.029,-4997.024,263.158,4997.024,0.0,18.989,6849.785,47.883,-4977.852,142.857,4977.852,0.0,34.845,6840.44,4.63,-4999.02,2500.0,4999.02,0.0,2.0,11575.0,6.979,-4998.036,1000.0,4998.036,0.0,4.998,6978.63,11.255,-4993.819,555.556,4993.819,0.0,8.989,6252.569,7.1,-4999.54,2500.0,4999.54,0.0,2.0,17750.0,6.083,-4998.737,1250.0,4998.737,0.0,3.999,7604.054,10.88,-4997.3,625.0,4997.3,0.0,7.996,6800.0,2.4,-4998.96,5000.0,4998.96,0.0,1.0,12000.0,12.3,-4998.0,833.333,4998.0,0.0,5.998,10250.0,2.49,-4998.96,5000.0,4998.96,0.0,1.0,12450.0
