date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-03-08,18.28,-4997.067,312.5,4997.067,0.0,15.991,5712.464,3.87,-4999.02,2500.0,4999.02,0.0,2.0,9675.0,6.738,-4998.036,1000.0,4998.036,0.0,4.998,6737.83,2.87,-4999.54,2500.0,4999.54,0.0,2.0,7175.0,9.271,-4998.737,1250.0,4998.737,0.0,3.999,11589.181,8.45,-4997.3,625.0,4997.3,0.0,7.996,5281.25,9.0,-4998.0,833.333,4998.0,0.0,5.998,7500.0
2019-03-11,18.548,-4997.067,312.5,4997.067,0.0,15.991,5796.152,4.19,-4999.02,2500.0,4999.02,0.0,2.0,10475.0,6.729,-4998.036,1000.0,4998.036,0.0,4.998,6728.894,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,8.66,-4998.737,1250.0,4998.737,0.0,3.999,10824.468,8.82,-4997.3,625.0,4997.3,0.0,7.996,5512.5,9.0,-4998.0,833.333,4998.0,0.0,5.998,7500.0
2019-03-12,18.539,-4997.067,312.5,4997.067,0.0,15.991,5793.453,4.12,-4999.02,2500.0,4999.02,0.0,2.0,10300.0,6.827,-4998.036,1000.0,4998.036,0.0,4.998,6827.192,2.95,-4999.54,2500.0,4999.54,0.0,2.0,7375.0,8.599,-4998.737,1250.0,4998.737,0.0,3.999,10749.073,8.9,-4997.3,625.0,4997.3,0.0,7.996,5562.5,9.0,-4998.0,833.333,4998.0,0.0,5.998,7500.0
2019-03-13,18.556,-4997.067,312.5,4997.067,0.0,15.991,5798.853,4.0,-4999.02,2500.0,4999.02,0.0,2.0,10000.0,6.747,-4998.036,1000.0,4998.036,0.0,4.998,6746.766,3.04,-4999.54,2500.0,4999.54,0.0,2.0,7600.0,8.28,-4998.737,1250.0,4998.737,0.0,3.999,10350.56,8.95,-4997.3,625.0,4997.3,0.0,7.996,5593.75,9.0,-4998.0,833.333,4998.0,0.0,5.998,7500.0
2019-03-14,18.504,-4997.067,312.5,4997.067,0.0,15.991,5782.655,4.01,-4999.02,2500.0,4999.02,0.0,2.0,10025.001,6.818,-4998.036,1000.0,4998.036,0.0,4.998,6818.254,3.06,-4999.54,2500.0,4999.54,0.0,2.0,7650.0,7.832,-4998.737,1250.0,4998.737,0.0,3.999,9790.488,8.8,-4997.3,625.0,4997.3,0.0,7.996,5500.0,8.2,-4998.0,833.333,4998.0,0.0,5.998,6833.333
2019-03-15,18.608,-4997.067,312.5,4997.067,0.0,15.991,5815.051,4.05,-4999.02,2500.0,4999.02,0.0,2.0,10125.0,6.845,-4998.036,1000.0,4998.036,0.0,4.998,6845.064,2.9,-4999.54,2500.0,4999.54,0.0,2.0,7250.0,7.901,-4998.737,1250.0,4998.737,0.0,3.999,9876.654,8.83,-4997.3,625.0,4997.3,0.0,7.996,5518.75,8.95,-4998.0,833.333,4998.0,0.0,5.998,7458.333
2019-03-18,18.556,-4997.067,312.5,4997.067,0.0,15.991,5798.853,3.92,-4999.02,2500.0,4999.02,0.0,2.0,9800.0,6.97,-4998.036,1000.0,4998.036,0.0,4.998,6970.17,3.02,-4999.54,2500.0,4999.54,0.0,2.0,7550.0,8.479,-4998.737,1250.0,4998.737,0.0,3.999,10598.285,8.85,-4997.3,625.0,4997.3,0.0,7.996,5531.25,8.95,-4998.0,833.333,4998.0,0.0,5.998,7458.333
2019-03-19,18.479,-4997.067,312.5,4997.067,0.0,15.991,5774.556,3.9,-4999.02,2500.0,4999.02,0.0,2.0,9750.0,7.042,-4998.036,1000.0,4998.036,0.0,4.998,7041.658,3.11,-4999.54,2500.0,4999.54,0.0,2.0,7775.0,9.133,-4998.737,1250.0,4998.737,0.0,3.999,11416.851,8.6,-4997.3,625.0,4997.3,0.0,7.996,5375.0,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
2019-03-20,18.53,-4997.067,312.5,4997.067,0.0,15.991,5790.753,3.92,-4999.02,2500.0,4999.02,0.0,2.0,9800.0,7.042,-4998.036,1000.0,4998.036,0.0,4.998,7041.658,3.21,-4999.54,2500.0,4999.54,0.0,2.0,8025.0,9.478,-4998.737,1250.0,4998.737,0.0,3.999,11847.676,8.65,-4997.3,625.0,4997.3,0.0,7.996,5406.25,8.8,-4998.0,833.333,4998.0,0.0,5.998,7333.333
2019-03-21,18.798,-4997.067,312.5,4997.067,0.0,15.991,5874.443,3.92,-4999.02,2500.0,4999.02,0.0,2.0,9800.0,6.979,-4998.036,1000.0,4998.036,0.0,4.998,6979.105,3.16,-4999.54,2500.0,4999.54,0.0,2.0,7900.0,10.012,-4998.737,1250.0,4998.737,0.0,3.999,12515.454,8.78,-4997.3,625.0,4997.3,0.0,7.996,5487.5,8.8,-4998.0,833.333,4998.0,0.0,5.998,7333.333
