date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue
2019-04-25,50.034,-4992.24,33.0,4992.24,1121.257,151.28,1651.121,40.893,-4947.6,42.0,4947.6,889.98,117.8,1717.52
2019-04-26,49.795,-4992.24,33.0,4992.24,1121.257,151.28,1643.238,40.397,-4947.6,42.0,4947.6,889.98,117.8,1696.668
2019-04-29,49.871,-4992.24,33.0,4992.24,1121.257,151.28,1645.732,40.296,-4947.6,42.0,4947.6,889.98,117.8,1692.421
2019-04-30,48.91,-4992.24,33.0,4992.24,1121.257,151.28,1614.041,40.287,-4947.6,42.0,4947.6,889.98,117.8,1692.035
2019-05-01,51.311,-4992.24,33.0,4992.24,1121.257,151.28,1693.268,40.287,-4947.6,42.0,4947.6,889.98,117.8,1692.035
2019-05-02,50.977,-4992.24,33.0,4992.24,1121.257,151.28,1682.248,40.82,-4947.6,42.0,4947.6,889.98,117.8,1714.43
2019-05-03,51.611,-4992.24,33.0,4992.24,1121.257,151.28,1703.161,41.105,-4947.6,42.0,4947.6,889.98,117.8,1726.4
2019-05-06,50.814,-4992.24,33.0,4992.24,1121.257,151.28,1676.859,40.231,-4947.6,42.0,4947.6,889.98,117.8,1689.718
2019-05-07,49.444,-4992.24,33.0,4992.24,1121.257,151.28,1631.656,40.231,-4947.6,42.0,4947.6,889.98,117.8,1689.718
2019-05-08,49.454,-4992.24,33.0,4992.24,1121.257,151.28,1631.978,40.176,-4947.6,42.0,4947.6,889.98,117.8,1687.401
2019-05-09,48.923,-4992.24,33.0,4992.24,1121.257,151.28,1614.444,39.763,-4947.6,42.0,4947.6,889.98,117.8,1670.025
2019-05-10,48.245,-4992.24,33.0,4992.24,1121.257,151.28,1592.078,39.376,-4947.6,42.0,4947.6,889.98,117.8,1653.808
2019-05-13,45.441,-4992.24,33.0,4992.24,1121.257,151.28,1499.547,37.685,-4947.6,42.0,4947.6,889.98,117.8,1582.759
2019-05-14,46.16,-4992.24,33.0,4992.24,1121.257,151.28,1523.286,38.586,-4947.6,42.0,4947.6,889.98,117.8,1620.6
2019-05-15,46.713,-4992.24,33.0,4992.24,1121.257,151.28,1541.533,38.586,-4947.6,42.0,4947.6,889.98,117.8,1620.6
2019-05-16,46.508,-4992.24,33.0,4992.24,1121.257,151.28,1534.751,38.181,-4947.6,42.0,4947.6,889.98,117.8,1603.61
2019-05-17,46.243,-4992.24,33.0,4992.24,1121.257,151.28,1526.031,37.004,-4947.6,42.0,4947.6,889.98,117.8,1554.185
2019-05-20,44.797,-4992.24,33.0,4992.24,1121.257,151.28,1478.312,35.543,-4947.6,42.0,4947.6,889.98,117.8,1492.79
2019-05-21,45.656,-4992.24,33.0,4992.24,1121.257,151.28,1506.653,36.131,-4947.6,42.0,4947.6,889.98,117.8,1517.503
2019-05-22,44.721,-4992.24,33.0,4992.24,1121.257,151.28,1475.809,35.763,-4947.6,42.0,4947.6,889.98,117.8,1502.057
2019-05-23,43.958,-4992.24,33.0,4992.24,1121.257,151.28,1450.617,35.0,-4947.6,42.0,4947.6,889.98,117.8,1470.008
2019-05-24,43.789,-4992.24,33.0,4992.24,1121.257,151.28,1445.046,35.12,-4947.6,42.0,4947.6,889.98,117.8,1475.028
2019-05-28,43.608,-4992.24,33.0,4992.24,1121.257,151.28,1439.071,34.614,-4947.6,42.0,4947.6,889.98,117.8,1453.791
2019-05-29,43.4,-4992.24,33.0,4992.24,1121.257,151.28,1432.208,34.651,-4947.6,42.0,4947.6,889.98,117.8,1455.335
2019-05-30,43.625,-4992.24,33.0,4992.24,1121.257,151.28,1439.636,34.973,-4947.6,42.0,4947.6,889.98,117.8,1468.85
2019-05-31,42.835,-4992.24,33.0,4992.24,1121.257,151.28,1413.557,35.258,-4947.6,42.0,4947.6,889.98,117.8,1480.82
2019-06-03,42.402,-4992.24,33.0,4992.24,1121.257,151.28,1399.265,35.69,-4947.6,42.0,4947.6,889.98,117.8,1498.968
2019-06-04,43.953,-4992.24,33.0,4992.24,1121.257,151.28,1450.456,35.91,-4947.6,42.0,4947.6,889.98,117.8,1508.235
2019-06-05,44.663,-4992.24,33.0,4992.24,1121.257,151.28,1473.871,35.147,-4947.6,42.0,4947.6,889.98,117.8,1476.186
2019-06-06,45.318,-4992.24,33.0,4992.24,1121.257,151.28,1495.51,35.34,-4947.6,42.0,4947.6,889.98,117.8,1484.295
2019-06-07,46.525,-4992.24,33.0,4992.24,1121.257,151.28,1535.316,35.69,-4947.6,42.0,4947.6,889.98,117.8,1498.968
2019-06-10,47.119,-4992.24,33.0,4992.24,1121.257,151.28,1554.937,36.425,-4947.6,42.0,4947.6,889.98,117.8,1529.859
2019-06-11,47.665,-4992.24,33.0,4992.24,1121.257,151.28,1572.942,36.738,-4947.6,42.0,4947.6,889.98,117.8,1542.987
2019-06-12,47.513,-4992.24,33.0,4992.24,1121.257,151.28,1567.936,36.278,-4947.6,42.0,4947.6,889.98,117.8,1523.681
2019-06-13,47.503,-4992.24,33.0,4992.24,1121.257,151.28,1567.613,36.269,-4947.6,42.0,4947.6,889.98,117.8,1523.295
2019-06-14,47.158,-4992.24,33.0,4992.24,1121.257,151.28,1556.229,34.789,-4947.6,42.0,4947.6,889.98,117.8,1461.127
2019-06-17,47.44,-4992.24,33.0,4992.24,1121.257,151.28,1565.514,34.623,-4947.6,42.0,4947.6,889.98,117.8,1454.177
2019-06-18,48.556,-4992.24,33.0,4992.24,1121.257,151.28,1602.332,36.048,-4947.6,42.0,4947.6,889.98,117.8,1514.027
