date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-11-13,44.17,-4989.16,192.308,4989.16,0.0,25.944,8494.23,7.444,-4997.449,1000.0,4997.449,0.0,4.997,7444.396,7.12,-4999.54,2500.0,4999.54,0.0,2.0,17800.0,9.866,-4998.737,1250.0,4998.737,0.0,3.999,12332.354
2019-11-14,44.15,-4989.16,192.308,4989.16,0.0,25.944,8490.385,7.407,-4997.449,1000.0,4997.449,0.0,4.997,7407.451,7.32,-4999.54,2500.0,4999.54,0.0,2.0,18300.0,11.305,-4998.737,1250.0,4998.737,0.0,3.999,14131.047
2019-11-15,44.44,-4989.16,192.308,4989.16,0.0,25.944,8546.154,7.574,-4997.449,1000.0,4997.449,0.0,4.997,7573.702,7.43,-4999.54,2500.0,4999.54,0.0,2.0,18575.0,10.796,-4998.737,1250.0,4998.737,0.0,3.999,13495.58
2019-11-18,44.34,-4989.16,192.308,4989.16,0.0,25.944,8526.923,7.657,-4997.449,1000.0,4997.449,0.0,4.997,7656.828,7.5,-4999.54,2500.0,4999.54,0.0,2.0,18750.0,11.494,-4998.737,1250.0,4998.737,0.0,3.999,14368.0
2019-11-19,44.38,-4989.16,192.308,4989.16,0.0,25.944,8534.616,7.583,-4997.449,1000.0,4997.449,0.0,4.997,7582.939,7.8,-4999.54,2500.0,4999.54,0.0,2.0,19500.0,12.692,-4998.737,1250.0,4998.737,0.0,3.999,15865.115
2019-11-20,43.82,-4989.16,192.308,4989.16,0.0,25.944,8426.923,7.491,-4997.449,1000.0,4997.449,0.0,4.997,7490.575,7.91,-4999.54,2500.0,4999.54,0.0,2.0,19775.0,12.192,-4998.737,1250.0,4998.737,0.0,3.999,15240.419
2019-11-21,43.7,-4989.16,192.308,4989.16,0.0,25.944,8403.846,7.352,-4997.449,1000.0,4997.449,0.0,4.997,7352.033,7.6,-4999.54,2500.0,4999.54,0.0,2.0,19000.0,11.649,-4998.737,1250.0,4998.737,0.0,3.999,14561.871
2019-11-22,43.45,-4989.16,192.308,4989.16,0.0,25.944,8355.769,7.407,-4997.449,1000.0,4997.449,0.0,4.997,7407.451,7.68,-4999.54,2500.0,4999.54,0.0,2.0,19200.0,11.072,-4998.737,1250.0,4998.737,0.0,3.999,13840.24
2019-11-25,43.89,-4989.16,192.308,4989.16,0.0,25.944,8440.384,7.352,-4997.449,1000.0,4997.449,0.0,4.997,7352.033,7.48,-4999.54,2500.0,4999.54,0.0,2.0,18700.0,10.848,-4998.737,1250.0,4998.737,0.0,3.999,13560.203
2019-11-26,43.93,-4989.16,192.308,4989.16,0.0,25.944,8448.077,7.167,-4997.449,1000.0,4997.449,0.0,4.997,7167.309,7.49,-4999.54,2500.0,4999.54,0.0,2.0,18724.999,9.943,-4998.737,1250.0,4998.737,0.0,3.999,12429.289
