date,IBN_adj_close,IBN_cashflow,IBN_cml_units,IBN_cml_cost,IBN_gain_loss,IBN_avg_price,IBN_mktvalue,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CBIO_adj_close,CBIO_cashflow,CBIO_cml_units,CBIO_cml_cost,CBIO_gain_loss,CBIO_avg_price,CBIO_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2021-04-08,15.384,-4994.313,500.0,4994.313,0.0,9.989,7692.071,12.499,-4994.581,384.615,4994.581,0.0,12.986,4807.239,33.079,-4977.852,142.857,4977.852,0.0,34.845,4725.585,2.55,-4999.04,5000.0,4999.04,0.0,1.0,12750.0,6.16,-4998.036,1000.0,4998.036,0.0,4.998,6160.462,5.17,-4994.37,714.286,4994.37,0.0,6.992,3692.857,16.35,-4999.54,2500.0,4999.54,0.0,2.0,40875.001,14.553,-4998.737,1250.0,4998.737,0.0,3.999,18191.568,55.74,-4997.3,625.0,4997.3,0.0,7.996,34837.501,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2021-04-09,15.324,-4994.313,500.0,4994.313,0.0,9.989,7662.16,12.31,-4994.581,384.615,4994.581,0.0,12.986,4734.691,33.099,-4977.852,142.857,4977.852,0.0,34.845,4728.431,2.66,-4999.04,5000.0,4999.04,0.0,1.0,13300.0,6.122,-4998.036,1000.0,4998.036,0.0,4.998,6121.595,5.11,-4994.37,714.286,4994.37,0.0,6.992,3650.0,16.13,-4999.54,2500.0,4999.54,0.0,2.0,40324.998,14.605,-4998.737,1250.0,4998.737,0.0,3.999,18256.192,53.59,-4997.3,625.0,4997.3,0.0,7.996,33493.75,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2021-04-12,14.327,-4994.313,500.0,4994.313,0.0,9.989,7163.647,12.36,-4994.581,384.615,4994.581,0.0,12.986,4753.783,32.312,-4977.852,142.857,4977.852,0.0,34.845,4616.052,2.79,-4999.04,5000.0,4999.04,0.0,1.0,13950.0,6.005,-4998.036,1000.0,4998.036,0.0,4.998,6004.992,5.05,-4994.37,714.286,4994.37,0.0,6.992,3607.143,16.15,-4999.54,2500.0,4999.54,0.0,2.0,40374.999,14.433,-4998.737,1250.0,4998.737,0.0,3.999,18040.779,52.06,-4997.3,625.0,4997.3,0.0,7.996,32537.501,7.95,-4998.0,833.333,4998.0,0.0,5.998,6625.0
2021-04-13,14.606,-4994.313,500.0,4994.313,0.0,9.989,7303.23,12.32,-4994.581,384.615,4994.581,0.0,12.986,4738.51,32.223,-4977.852,142.857,4977.852,0.0,34.845,4603.25,2.63,-4999.04,5000.0,4999.04,0.0,1.0,13150.001,6.054,-4998.036,1000.0,4998.036,0.0,4.998,6053.577,5.0,-4994.37,714.286,4994.37,0.0,6.992,3571.429,15.74,-4999.54,2500.0,4999.54,0.0,2.0,39349.999,14.372,-4998.737,1250.0,4998.737,0.0,3.999,17965.385,51.84,-4997.3,625.0,4997.3,0.0,7.996,32400.0,7.95,-4998.0,833.333,4998.0,0.0,5.998,6625.0
2021-04-14,14.716,-4994.313,500.0,4994.313,0.0,9.989,7358.067,12.668,-4994.581,384.615,4994.581,0.0,12.986,4872.15,32.83,-4977.852,142.857,4977.852,0.0,34.845,4690.023,2.67,-4999.04,5000.0,4999.04,0.0,1.0,13350.0,6.092,-4998.036,1000.0,4998.036,0.0,4.998,6092.443,5.0,-4994.37,714.286,4994.37,0.0,6.992,3571.429,16.79,-4999.54,2500.0,4999.54,0.0,2.0,41975.002,14.553,-4998.737,1250.0,4998.737,0.0,3.999,18191.568,51.38,-4997.3,625.0,4997.3,0.0,7.996,32112.501,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2021-04-15,15.304,-4994.313,500.0,4994.313,0.0,9.989,7652.191,12.707,-4994.581,384.615,4994.581,0.0,12.986,4887.424,33.418,-4977.852,142.857,4977.852,0.0,34.845,4773.951,2.76,-4999.04,5000.0,4999.04,0.0,1.0,13800.0,6.151,-4998.036,1000.0,4998.036,0.0,4.998,6150.744,4.81,-4994.37,714.286,4994.37,0.0,6.992,3435.714,16.47,-4999.54,2500.0,4999.54,0.0,2.0,41174.998,14.812,-4998.737,1250.0,4998.737,0.0,3.999,18514.687,50.22,-4997.3,625.0,4997.3,0.0,7.996,31387.501,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2021-04-16,15.175,-4994.313,500.0,4994.313,0.0,9.989,7587.384,12.757,-4994.581,384.615,4994.581,0.0,12.986,4906.515,33.706,-4977.852,142.857,4977.852,0.0,34.845,4815.204,2.76,-4999.04,5000.0,4999.04,0.0,1.0,13800.0,6.219,-4998.036,1000.0,4998.036,0.0,4.998,6218.762,4.74,-4994.37,714.286,4994.37,0.0,6.992,3385.714,17.47,-4999.54,2500.0,4999.54,0.0,2.0,43674.998,14.484,-4998.737,1250.0,4998.737,0.0,3.999,18105.402,50.61,-4997.3,625.0,4997.3,0.0,7.996,31631.25,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2021-04-19,14.906,-4994.313,500.0,4994.313,0.0,9.989,7452.785,12.787,-4994.581,384.615,4994.581,0.0,12.986,4917.97,32.999,-4977.852,142.857,4977.852,0.0,34.845,4714.206,2.83,-4999.04,5000.0,4999.04,0.0,1.0,14150.0,6.044,-4998.036,1000.0,4998.036,0.0,4.998,6043.859,4.55,-4994.37,714.286,4994.37,0.0,6.992,3250.0,16.77,-4999.54,2500.0,4999.54,0.0,2.0,41925.001,14.441,-4998.737,1250.0,4998.737,0.0,3.999,18051.55,49.34,-4997.3,625.0,4997.3,0.0,7.996,30837.5,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2021-04-20,14.557,-4994.313,500.0,4994.313,0.0,9.989,7278.305,12.44,-4994.581,384.615,4994.581,0.0,12.986,4784.615,32.223,-4977.852,142.857,4977.852,0.0,34.845,4603.25,2.73,-4999.04,5000.0,4999.04,0.0,1.0,13650.0,6.092,-4998.036,1000.0,4998.036,0.0,4.998,6092.443,4.55,-4994.37,714.286,4994.37,0.0,6.992,3250.0,18.71,-4999.54,2500.0,4999.54,0.0,2.0,46774.998,14.2,-4998.737,1250.0,4998.737,0.0,3.999,17749.972,47.42,-4997.3,625.0,4997.3,0.0,7.996,29637.499,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2021-04-21,14.656,-4994.313,500.0,4994.313,0.0,9.989,7328.156,12.51,-4994.581,384.615,4994.581,0.0,12.986,4811.539,32.531,-4977.852,142.857,4977.852,0.0,34.845,4647.347,2.84,-4999.04,5000.0,4999.04,0.0,1.0,14200.0,6.092,-4998.036,1000.0,4998.036,0.0,4.998,6092.443,4.98,-4994.37,714.286,4994.37,0.0,6.992,3557.143,20.05,-4999.54,2500.0,4999.54,0.0,2.0,50124.998,14.493,-4998.737,1250.0,4998.737,0.0,3.999,18116.174,48.96,-4997.3,625.0,4997.3,0.0,7.996,30599.999,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
