date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue
2020-02-25,30.561,-4995.62,42.017,4995.62,0.0,118.896,1284.093
2020-02-26,30.85,-4995.62,42.017,4995.62,0.0,118.896,1296.215
2020-02-27,30.513,-4995.62,42.017,4995.62,0.0,118.896,1282.073
2020-02-28,31.033,-4995.62,42.017,4995.62,0.0,118.896,1303.892
2020-03-02,31.138,-4995.62,42.017,4995.62,0.0,118.896,1308.337
2020-03-03,30.398,-4995.62,42.017,4995.62,0.0,118.896,1277.224
2020-03-04,31.744,-4995.62,42.017,4995.62,0.0,118.896,1333.792
2020-03-05,30.773,-4995.62,42.017,4995.62,0.0,118.896,1292.983
2020-03-06,29.84,-4995.62,42.017,4995.62,0.0,118.896,1253.789
2020-03-09,27.696,-4995.62,42.017,4995.62,0.0,118.896,1163.684
2020-03-10,28.427,-4995.62,42.017,4995.62,0.0,118.896,1194.393
2020-03-11,27.898,-4995.62,42.017,4995.62,0.0,118.896,1172.17
2020-03-12,24.724,-4995.62,42.017,4995.62,0.0,118.896,1038.831
2020-03-13,26.974,-4995.62,42.017,4995.62,0.0,118.896,1133.38
2020-03-16,23.676,-4995.62,42.017,4995.62,0.0,118.896,994.789
2020-03-17,23.589,-4995.62,42.017,4995.62,0.0,118.896,991.152
2020-03-18,22.012,-4995.62,42.017,4995.62,0.0,118.896,924.887
2020-03-19,20.733,-4995.62,42.017,4995.62,0.0,118.896,871.147
2020-03-20,21.676,-4995.62,42.017,4995.62,0.0,118.896,910.745
2020-03-23,20.329,-4995.62,42.017,4995.62,0.0,118.896,854.177
2020-03-24,23.07,-4995.62,42.017,4995.62,0.0,118.896,969.333
2020-03-25,24.791,-4995.62,42.017,4995.62,0.0,118.896,1041.659
2020-03-26,26.494,-4995.62,42.017,4995.62,0.0,118.896,1113.177
2020-03-27,26.494,-4995.62,42.017,4995.62,0.0,118.896,1113.177
2020-03-30,26.696,-4995.62,42.017,4995.62,0.0,118.896,1121.662
2020-03-31,26.147,-4995.62,42.017,4995.62,0.0,118.896,1098.631
2020-04-01,23.868,-4995.62,42.017,4995.62,0.0,118.896,1002.87
2020-04-02,24.541,-4995.62,42.017,4995.62,0.0,118.896,1031.154
2020-04-03,23.926,-4995.62,42.017,4995.62,0.0,118.896,1005.294
2020-04-06,25.744,-4995.62,42.017,4995.62,0.0,118.896,1081.661
2020-04-07,26.003,-4995.62,42.017,4995.62,0.0,118.896,1092.57
2020-04-08,25.397,-4995.62,42.017,4995.62,0.0,118.896,1067.115
2020-04-09,25.58,-4995.62,42.017,4995.62,0.0,118.896,1074.792
2020-04-13,25.772,-4995.62,42.017,4995.62,0.0,118.896,1082.873
2020-04-14,26.042,-4995.62,42.017,4995.62,0.0,118.896,1094.187
2020-04-15,25.109,-4995.62,42.017,4995.62,0.0,118.896,1054.993
2020-04-16,24.388,-4995.62,42.017,4995.62,0.0,118.896,1024.689
2020-04-17,25.388,-4995.62,42.017,4995.62,0.0,118.896,1066.711
2020-04-20,24.455,-4995.62,42.017,4995.62,0.0,118.896,1027.517
2020-04-21,23.916,-4995.62,42.017,4995.62,0.0,118.896,1004.89
2020-04-22,24.493,-4995.62,42.017,4995.62,0.0,118.896,1029.133
2020-04-23,23.714,-4995.62,42.017,4995.62,0.0,118.896,996.405
2020-04-24,24.349,-4995.62,42.017,4995.62,0.0,118.896,1023.073
2020-04-27,26.926,-4995.62,42.017,4995.62,0.0,118.896,1131.36
2020-04-28,26.917,-4995.62,42.017,4995.62,0.0,118.896,1130.956
2020-04-29,27.763,-4995.62,42.017,4995.62,0.0,118.896,1166.513
2020-04-30,27.061,-4995.62,42.017,4995.62,0.0,118.896,1137.017
2020-05-01,26.186,-4995.62,42.017,4995.62,0.0,118.896,1100.247
2020-05-04,25.59,-4995.62,42.017,4995.62,0.0,118.896,1075.196
2020-05-05,25.667,-4995.62,42.017,4995.62,0.0,118.896,1078.428
2020-05-06,25.292,-4995.62,42.017,4995.62,0.0,118.896,1062.67
2020-05-07,25.715,-4995.62,42.017,4995.62,0.0,118.896,1080.449
2020-05-08,25.888,-4995.62,42.017,4995.62,0.0,118.896,1087.722
2020-05-11,25.455,-4995.62,42.017,4995.62,0.0,118.896,1069.539
2020-05-12,24.628,-4995.62,42.017,4995.62,0.0,118.896,1034.79
2020-05-13,24.416,-4995.62,42.017,4995.62,0.0,118.896,1025.901
2020-05-14,24.359,-4995.62,42.017,4995.62,0.0,118.896,1023.477
2020-05-15,24.532,-4995.62,42.017,4995.62,0.0,118.896,1030.75
2020-05-18,25.465,-4995.62,42.017,4995.62,0.0,118.896,1069.943
2020-05-19,24.955,-4995.62,42.017,4995.62,0.0,118.896,1048.528
2020-05-20,25.311,-4995.62,42.017,4995.62,0.0,118.896,1063.478
