date,HSBC_adj_close,HSBC_cashflow,HSBC_cml_units,HSBC_cml_cost,HSBC_gain_loss,HSBC_avg_price,HSBC_mktvalue
2020-04-08,25.063,-486.33,118.027,4476.78,190.4,37.93,2958.068
2020-04-09,25.785,-486.33,118.027,4476.78,190.4,37.93,3043.365
2020-04-13,25.477,-486.33,118.027,4476.78,190.4,37.93,3006.972
2020-04-14,25.872,-486.33,118.027,4476.78,190.4,37.93,3053.6
2020-04-15,24.523,-486.33,118.027,4476.78,190.4,37.93,2894.381
2020-04-16,24.34,-486.33,118.027,4476.78,190.4,37.93,2872.772
2020-04-17,25.014,-486.33,118.027,4476.78,190.4,37.93,2952.382
2020-04-20,24.59,-486.33,118.027,4476.78,190.4,37.93,2902.342
2020-04-21,23.781,-486.33,118.027,4476.78,190.4,37.93,2806.81
2020-04-22,24.06,-486.33,118.027,4476.78,190.4,37.93,2839.791
2020-04-23,24.099,-486.33,118.027,4476.78,190.4,37.93,2844.34
2020-04-24,24.07,-486.33,118.027,4476.78,190.4,37.93,2840.928
2020-04-27,24.879,-486.33,118.027,4476.78,190.4,37.93,2936.46
2020-04-28,24.937,-486.33,118.027,4476.78,190.4,37.93,2943.284
2020-04-29,25.612,-486.33,118.027,4476.78,190.4,37.93,3022.893
2020-04-30,24.793,-486.33,118.027,4476.78,190.4,37.93,2926.224
2020-05-01,24.359,-486.33,118.027,4476.78,190.4,37.93,2875.047
2020-05-04,23.858,-486.33,118.027,4476.78,190.4,37.93,2815.908
2020-05-05,23.983,-486.33,118.027,4476.78,190.4,37.93,2830.693
2020-05-06,23.916,-486.33,118.027,4476.78,190.4,37.93,2822.732
2020-05-07,24.292,-486.33,118.027,4476.78,190.4,37.93,2867.086
2020-05-08,24.696,-486.33,118.027,4476.78,190.4,37.93,2914.852
2020-05-11,24.561,-486.33,118.027,4476.78,190.4,37.93,2898.93
2020-05-12,24.118,-486.33,118.027,4476.78,190.4,37.93,2846.615
2020-05-13,23.8,-486.33,118.027,4476.78,190.4,37.93,2809.085
2020-05-14,23.646,-486.33,118.027,4476.78,190.4,37.93,2790.888
2020-05-15,23.444,-486.33,118.027,4476.78,190.4,37.93,2767.005
2020-05-18,24.34,-486.33,118.027,4476.78,190.4,37.93,2872.772
2020-05-19,23.993,-486.33,118.027,4476.78,190.4,37.93,2831.83
2020-05-20,24.215,-486.33,118.027,4476.78,190.4,37.93,2857.987
2020-05-21,23.511,-486.33,118.027,4476.78,190.4,37.93,2774.966
2020-05-22,22.133,-486.33,118.027,4476.78,190.4,37.93,2612.335
2020-05-26,22.943,-486.33,118.027,4476.78,190.4,37.93,2707.866
2020-05-27,23.29,-486.33,118.027,4476.78,190.4,37.93,2748.809
2020-05-28,22.731,-486.33,118.027,4476.78,190.4,37.93,2682.846
2020-05-29,22.21,-486.33,118.027,4476.78,190.4,37.93,2621.433
2020-06-01,22.952,-486.33,118.027,4476.78,190.4,37.93,2709.004
2020-06-02,23.27,-486.33,118.027,4476.78,190.4,37.93,2746.534
2020-06-03,24.34,-486.33,118.027,4476.78,190.4,37.93,2872.772
