date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,MSFT_adj_close,MSFT_cashflow,MSFT_cml_units,MSFT_cml_cost,MSFT_gain_loss,MSFT_avg_price,MSFT_mktvalue,QCOM_adj_close,QCOM_cashflow,QCOM_cml_units,QCOM_cml_cost,QCOM_gain_loss,QCOM_avg_price,QCOM_mktvalue,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue,ASX_adj_close,ASX_cashflow,ASX_cml_units,ASX_cml_cost,ASX_gain_loss,ASX_avg_price,ASX_mktvalue,TTD_adj_close,TTD_cashflow,TTD_cml_units,TTD_cml_cost,TTD_gain_loss,TTD_avg_price,TTD_mktvalue,VRNS_adj_close,VRNS_cashflow,VRNS_cml_units,VRNS_cml_cost,VRNS_gain_loss,VRNS_avg_price,VRNS_mktvalue,FIVN_adj_close,FIVN_cashflow,FIVN_cml_units,FIVN_cml_cost,FIVN_gain_loss,FIVN_avg_price,FIVN_mktvalue,VHC_adj_close,VHC_cashflow,VHC_cml_units,VHC_cml_cost,VHC_gain_loss,VHC_avg_price,VHC_mktvalue
2020-05-11,78.225,-4992.24,33.0,4992.24,1121.257,151.28,2581.439,184.436,-4704.84,14.0,4704.84,785.82,336.06,2582.098,78.32,-4890.9,30.0,4890.9,939.6,163.03,2349.608,50.923,-4947.6,42.0,4947.6,889.98,117.8,2138.762,4.304,-4995.25,689.0,4995.25,1247.09,7.25,2965.352,30.533,-4935.6,72.0,4935.6,1034.784,68.55,2198.376,24.903,-4978.4,80.0,4978.4,661.6,62.23,1992.267,105.18,-4882.02,33.0,4882.02,721.38,147.94,3470.94,6.021,-4996.56,1146.0,4996.56,1604.4,4.36,6900.55
2020-05-12,77.331,-4992.24,33.0,4992.24,1121.257,151.28,2551.937,180.258,-4704.84,14.0,4704.84,785.82,336.06,2523.608,76.316,-4890.9,30.0,4890.9,939.6,163.03,2289.466,49.66,-4947.6,42.0,4947.6,889.98,117.8,2085.701,4.153,-4995.25,689.0,4995.25,1247.09,7.25,2861.759,31.064,-4935.6,72.0,4935.6,1034.784,68.55,2236.608,24.437,-4978.4,80.0,4978.4,661.6,62.23,1954.933,104.28,-4882.02,33.0,4882.02,721.38,147.94,3441.24,5.927,-4996.56,1146.0,4996.56,1604.4,4.36,6792.422
2020-05-13,76.398,-4992.24,33.0,4992.24,1121.257,151.28,2521.125,177.532,-4704.84,14.0,4704.84,785.82,336.06,2485.445,75.907,-4890.9,30.0,4890.9,939.6,163.03,2277.204,49.485,-4947.6,42.0,4947.6,889.98,117.8,2078.354,4.125,-4995.25,689.0,4995.25,1247.09,7.25,2842.335,29.236,-4935.6,72.0,4935.6,1034.784,68.55,2104.992,23.47,-4978.4,80.0,4978.4,661.6,62.23,1877.6,100.83,-4882.02,33.0,4882.02,721.38,147.94,3327.39,5.987,-4996.56,1146.0,4996.56,1604.4,4.36,6861.231
2020-05-14,76.867,-4992.24,33.0,4992.24,1121.257,151.28,2536.613,178.302,-4704.84,14.0,4704.84,785.82,336.06,2496.231,77.727,-4890.9,30.0,4890.9,939.6,163.03,2331.799,50.631,-4947.6,42.0,4947.6,889.98,117.8,2126.517,4.172,-4995.25,689.0,4995.25,1247.09,7.25,2874.708,29.73,-4935.6,72.0,4935.6,1034.784,68.55,2140.56,24.383,-4978.4,80.0,4978.4,661.6,62.23,1950.667,103.08,-4882.02,33.0,4882.02,721.38,147.94,3401.64,6.03,-4996.56,1146.0,4996.56,1604.4,4.36,6910.38
2020-05-15,76.413,-4992.24,33.0,4992.24,1121.257,151.28,2521.616,180.9,-4704.84,14.0,4704.84,785.82,336.06,2532.596,73.737,-4890.9,30.0,4890.9,939.6,163.03,2212.099,48.396,-4947.6,42.0,4947.6,889.98,117.8,2032.64,4.088,-4995.25,689.0,4995.25,1247.09,7.25,2816.437,30.001,-4935.6,72.0,4935.6,1034.784,68.55,2160.072,24.94,-4978.4,80.0,4978.4,661.6,62.23,1995.2,106.21,-4882.02,33.0,4882.02,721.38,147.94,3504.93,5.83,-4996.56,1146.0,4996.56,1604.4,4.36,6681.18
2020-05-18,78.213,-4992.24,33.0,4992.24,1121.257,151.28,2581.029,182.628,-4704.84,14.0,4704.84,785.82,336.06,2556.794,77.795,-4890.9,30.0,4890.9,939.6,163.03,2333.842,50.408,-4947.6,42.0,4947.6,889.98,117.8,2117.13,4.013,-4995.25,689.0,4995.25,1247.09,7.25,2764.641,29.673,-4935.6,72.0,4935.6,1034.784,68.55,2136.456,25.367,-4978.4,80.0,4978.4,661.6,62.23,2029.333,103.65,-4882.02,33.0,4882.02,721.38,147.94,3420.45,6.4,-4996.56,1146.0,4996.56,1604.4,4.36,7334.4
2020-05-19,77.761,-4992.24,33.0,4992.24,1121.257,151.28,2566.114,181.364,-4704.84,14.0,4704.84,785.82,336.06,2539.095,75.994,-4890.9,30.0,4890.9,939.6,163.03,2279.831,49.378,-4947.6,42.0,4947.6,889.98,117.8,2073.865,3.815,-4995.25,689.0,4995.25,1247.09,7.25,2628.675,29.41,-4935.6,72.0,4935.6,1034.784,68.55,2117.52,25.37,-4978.4,80.0,4978.4,661.6,62.23,2029.6,103.8,-4882.02,33.0,4882.02,721.38,147.94,3425.4,6.0,-4996.56,1146.0,4996.56,1604.4,4.36,6876.0
2020-05-20,79.273,-4992.24,33.0,4992.24,1121.257,151.28,2616.021,183.88,-4704.84,14.0,4704.84,785.82,336.06,2574.314,78.466,-4890.9,30.0,4890.9,939.6,163.03,2353.987,50.379,-4947.6,42.0,4947.6,889.98,117.8,2115.905,3.825,-4995.25,689.0,4995.25,1247.09,7.25,2635.15,29.711,-4935.6,72.0,4935.6,1034.784,68.55,2139.156,26.133,-4978.4,80.0,4978.4,661.6,62.23,2090.667,103.65,-4882.02,33.0,4882.02,721.38,147.94,3420.45,6.45,-4996.56,1146.0,4996.56,1604.4,4.36,7391.7
2020-05-21,78.682,-4992.24,33.0,4992.24,1121.257,151.28,2596.517,181.671,-4704.84,14.0,4704.84,785.82,336.06,2543.393,75.907,-4890.9,30.0,4890.9,939.6,163.03,2277.204,49.319,-4947.6,42.0,4947.6,889.98,117.8,2071.416,3.9,-4995.25,689.0,4995.25,1247.09,7.25,2686.946,30.442,-4935.6,72.0,4935.6,1034.784,68.55,2191.824,26.173,-4978.4,80.0,4978.4,661.6,62.23,2093.867,103.34,-4882.02,33.0,4882.02,721.38,147.94,3410.22,6.81,-4996.56,1146.0,4996.56,1604.4,4.36,7804.26
2020-05-22,79.189,-4992.24,33.0,4992.24,1121.257,151.28,2613.235,181.75,-4704.84,14.0,4704.84,785.82,336.06,2544.503,76.588,-4890.9,30.0,4890.9,939.6,163.03,2297.64,48.396,-4947.6,42.0,4947.6,889.98,117.8,2032.64,3.815,-4995.25,689.0,4995.25,1247.09,7.25,2628.675,30.76,-4935.6,72.0,4935.6,1034.784,68.55,2214.72,26.817,-4978.4,80.0,4978.4,661.6,62.23,2145.333,104.71,-4882.02,33.0,4882.02,721.38,147.94,3455.43,7.19,-4996.56,1146.0,4996.56,1604.4,4.36,8239.74
