date,GLBD_adj_close,GLBD_cashflow,GLBD_cml_units,GLBD_cml_cost,GLBD_gain_loss,GLBD_avg_price,GLBD_mktvalue,MMNT_adj_close,MMNT_cashflow,MMNT_cml_units,MMNT_cml_cost,MMNT_gain_loss,MMNT_avg_price,MMNT_mktvalue,LOMA_adj_close,LOMA_cashflow,LOMA_cml_units,LOMA_cml_cost,LOMA_gain_loss,LOMA_avg_price,LOMA_mktvalue,MLFB_adj_close,MLFB_cashflow,MLFB_cml_units,MLFB_cml_cost,MLFB_gain_loss,MLFB_avg_price,MLFB_mktvalue,IMOS_adj_close,IMOS_cashflow,IMOS_cml_units,IMOS_cml_cost,IMOS_gain_loss,IMOS_avg_price,IMOS_mktvalue,GURE_adj_close,GURE_cashflow,GURE_cml_units,GURE_cml_cost,GURE_gain_loss,GURE_avg_price,GURE_mktvalue,AIHS_adj_close,AIHS_cashflow,AIHS_cml_units,AIHS_cml_cost,AIHS_gain_loss,AIHS_avg_price,AIHS_mktvalue,HOTH_adj_close,HOTH_cashflow,HOTH_cml_units,HOTH_cml_cost,HOTH_gain_loss,HOTH_avg_price,HOTH_mktvalue,VERB_adj_close,VERB_cashflow,VERB_cml_units,VERB_cml_cost,VERB_gain_loss,VERB_avg_price,VERB_mktvalue,UAVS_adj_close,UAVS_cashflow,UAVS_cml_units,UAVS_cml_cost,UAVS_gain_loss,UAVS_avg_price,UAVS_mktvalue,ABQQ_adj_close,ABQQ_cashflow,ABQQ_cml_units,ABQQ_cml_cost,ABQQ_gain_loss,ABQQ_avg_price,ABQQ_mktvalue,AREB_adj_close,AREB_cashflow,AREB_cml_units,AREB_cml_cost,AREB_gain_loss,AREB_avg_price,AREB_mktvalue,BOXS_adj_close,BOXS_cashflow,BOXS_cml_units,BOXS_cml_cost,BOXS_gain_loss,BOXS_avg_price,BOXS_mktvalue,CHUC_adj_close,CHUC_cashflow,CHUC_cml_units,CHUC_cml_cost,CHUC_gain_loss,CHUC_avg_price,CHUC_mktvalue,PGTK_adj_close,PGTK_cashflow,PGTK_cml_units,PGTK_cml_cost,PGTK_gain_loss,PGTK_avg_price,PGTK_mktvalue
2020-04-13,0.75,-1135.85,3225.807,5000.0,-1134.315,1.55,2419.355,0.79,-0.4,15936.224,6374.49,-1374.89,0.4,12589.618,3.48,-2437.76,733.49,4606.32,228.48,6.28,2552.547,0.001,1943.739,1389511.739,15437.476,693.749,0.011,1945.316,16.445,164.2,303.943,5197.42,528.5,17.1,4998.342,3.5,-1830.6,2367.673,6155.95,-3108.45,2.6,8286.856,0.407,-4149.92,8723.272,5757.36,-5589.92,0.66,3550.372,3.08,-645.1,1275.117,6003.25,-492.1,4.708,3927.359,1.419,-3547.3,1369.829,1999.95,-308.45,1.46,1943.787,0.35,-2222.3,14197.133,4259.14,-1388.85,0.3,4968.996,15.95,12776.0,2777.5,22220.0,13332.0,8.0,44301.124,0.11,-1437.785,41444.053,11811.555,-1249.9,0.285,4558.846,0.003,-1923.08,2355766.701,18846.135,-769.23,0.008,7067.3,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,44333.331,2.01,1702.4,2194.983,6475.2,113.6,2.95,4411.916
2020-04-14,0.75,-1135.85,3225.807,5000.0,-1134.315,1.55,2419.355,0.83,-0.4,15936.224,6374.49,-1374.89,0.4,13227.066,3.5,-2437.76,733.49,4606.32,228.48,6.28,2567.216,0.002,1943.739,1389511.739,15437.476,693.749,0.011,2779.024,16.737,164.2,303.943,5197.42,528.5,17.1,5087.004,3.54,-1830.6,2367.673,6155.95,-3108.45,2.6,8381.563,0.455,-4149.92,8723.272,5757.36,-5589.92,0.66,3969.089,3.12,-645.1,1275.117,6003.25,-492.1,4.708,3978.364,1.465,-3547.3,1369.829,1999.95,-308.45,1.46,2006.799,0.34,-2222.3,14197.133,4259.14,-1388.85,0.3,4827.025,15.95,12776.0,2777.5,22220.0,13332.0,8.0,44301.124,0.111,-1437.785,41444.053,11811.555,-1249.9,0.285,4600.29,0.003,-1923.08,2355766.701,18846.135,-769.23,0.008,7067.3,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,37999.999,1.95,1702.4,2194.983,6475.2,113.6,2.95,4280.217
2020-04-15,0.75,-1135.85,3225.807,5000.0,-1134.315,1.55,2419.355,0.86,-0.4,15936.224,6374.49,-1374.89,0.4,13705.153,3.7,-2437.76,733.49,4606.32,228.48,6.28,2713.915,0.002,1943.739,1389511.739,15437.476,693.749,0.011,2501.121,17.238,164.2,303.943,5197.42,528.5,17.1,5239.393,4.09,-1830.6,2367.673,6155.95,-3108.45,2.6,9683.784,0.413,-4149.92,8723.272,5757.36,-5589.92,0.66,3602.711,3.0,-645.1,1275.117,6003.25,-492.1,4.708,3825.35,1.48,-3547.3,1369.829,1999.95,-308.45,1.46,2027.347,1.07,-2222.3,14197.133,4259.14,-1388.85,0.3,15190.933,15.95,12776.0,2777.5,22220.0,13332.0,8.0,44301.124,0.111,-1437.785,41444.053,11811.555,-1249.9,0.285,4600.29,0.003,-1923.08,2355766.701,18846.135,-769.23,0.008,7067.3,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,40111.111,1.9,1702.4,2194.983,6475.2,113.6,2.95,4170.468
2020-04-16,0.75,-1135.85,3225.807,5000.0,-1134.315,1.55,2419.355,0.8,-0.4,15936.224,6374.49,-1374.89,0.4,12748.98,3.57,-2437.76,733.49,4606.32,228.48,6.28,2618.561,0.002,1943.739,1389511.739,15437.476,693.749,0.011,2362.17,17.493,164.2,303.943,5197.42,528.5,17.1,5316.972,3.85,-1830.6,2367.673,6155.95,-3108.45,2.6,9115.542,0.393,-4149.92,8723.272,5757.36,-5589.92,0.66,3428.246,3.0,-645.1,1275.117,6003.25,-492.1,4.708,3825.35,1.49,-3547.3,1369.829,1999.95,-308.45,1.46,2041.045,0.7,-2222.3,14197.133,4259.14,-1388.85,0.3,9937.993,15.95,12776.0,2777.5,22220.0,13332.0,8.0,44301.124,0.102,-1437.785,41444.053,11811.555,-1249.9,0.285,4227.293,0.004,-1923.08,2355766.701,18846.135,-769.23,0.008,9423.067,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,37999.999,1.9,1702.4,2194.983,6475.2,113.6,2.95,4170.468
2020-04-17,0.75,-1135.85,3225.807,5000.0,-1134.315,1.55,2419.355,0.83,-0.4,15936.224,6374.49,-1374.89,0.4,13227.066,3.55,-2437.76,733.49,4606.32,228.48,6.28,2603.891,0.002,1943.739,1389511.739,15437.476,693.749,0.011,2501.121,17.32,164.2,303.943,5197.42,528.5,17.1,5264.329,3.87,-1830.6,2367.673,6155.95,-3108.45,2.6,9162.895,0.392,-4149.92,8723.272,5757.36,-5589.92,0.66,3419.523,3.12,-645.1,1275.117,6003.25,-492.1,4.708,3978.364,1.5,-3547.3,1369.829,1999.95,-308.45,1.46,2054.743,0.56,-2222.3,14197.133,4259.14,-1388.85,0.3,7950.395,15.95,12776.0,2777.5,22220.0,13332.0,8.0,44301.124,0.105,-1437.785,41444.053,11811.555,-1249.9,0.285,4351.625,0.004,-1923.08,2355766.701,18846.135,-769.23,0.008,9423.067,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,35888.889,1.9,1702.4,2194.983,6475.2,113.6,2.95,4170.468
2020-04-20,0.75,-1135.85,3225.807,5000.0,-1134.315,1.55,2419.355,0.87,-0.4,15936.224,6374.49,-1374.89,0.4,13864.515,3.49,-2437.76,733.49,4606.32,228.48,6.28,2559.882,0.002,1943.739,1389511.739,15437.476,693.749,0.011,2640.072,17.539,164.2,303.943,5197.42,528.5,17.1,5330.826,3.82,-1830.6,2367.673,6155.95,-3108.45,2.6,9044.512,0.407,-4149.92,8723.272,5757.36,-5589.92,0.66,3550.372,3.12,-645.1,1275.117,6003.25,-492.1,4.708,3978.364,1.437,-3547.3,1369.829,1999.95,-308.45,1.46,1968.444,0.59,-2222.3,14197.133,4259.14,-1388.85,0.3,8376.308,15.95,12776.0,2777.5,22220.0,13332.0,8.0,44301.124,0.105,-1437.785,41444.053,11811.555,-1249.9,0.285,4351.625,0.004,-1923.08,2355766.701,18846.135,-769.23,0.008,9423.067,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,37999.999,1.8,1702.4,2194.983,6475.2,113.6,2.95,3950.969
2020-04-21,0.75,-1135.85,3225.807,5000.0,-1134.315,1.55,2419.355,0.76,-0.4,15936.224,6374.49,-1374.89,0.4,12111.53,3.35,-2437.76,733.49,4606.32,228.48,6.28,2457.193,0.002,1943.739,1389511.739,15437.476,693.749,0.011,2362.17,16.81,164.2,303.943,5197.42,528.5,17.1,5109.17,3.88,-1830.6,2367.673,6155.95,-3108.45,2.6,9186.572,0.425,-4149.92,8723.272,5757.36,-5589.92,0.66,3707.391,3.12,-645.1,1275.117,6003.25,-492.1,4.708,3978.364,1.38,-3547.3,1369.829,1999.95,-308.45,1.46,1890.364,0.6,-2222.3,14197.133,4259.14,-1388.85,0.3,8518.28,15.95,12776.0,2777.5,22220.0,13332.0,8.0,44301.124,0.105,-1437.785,41444.053,11811.555,-1249.9,0.285,4351.625,0.004,-1923.08,2355766.701,18846.135,-769.23,0.008,9423.067,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,40111.111,1.9,1702.4,2194.983,6475.2,113.6,2.95,4170.468
2020-04-22,0.75,-1135.85,3225.807,5000.0,-1134.315,1.55,2419.355,0.8,-0.4,15936.224,6374.49,-1374.89,0.4,12748.98,3.4,-2437.76,733.49,4606.32,228.48,6.28,2493.867,0.002,1943.739,1389511.739,15437.476,693.749,0.011,3056.926,17.329,164.2,303.943,5197.42,528.5,17.1,5267.1,3.75,-1830.6,2367.673,6155.95,-3108.45,2.6,8878.775,0.425,-4149.92,8723.272,5757.36,-5589.92,0.66,3707.391,4.08,-645.1,1275.117,6003.25,-492.1,4.708,5202.476,1.435,-3547.3,1369.829,1999.95,-308.45,1.46,1965.704,0.59,-2222.3,14197.133,4259.14,-1388.85,0.3,8376.308,15.95,12776.0,2777.5,22220.0,13332.0,8.0,44301.124,0.105,-1437.785,41444.053,11811.555,-1249.9,0.285,4351.625,0.004,-1923.08,2355766.701,18846.135,-769.23,0.008,9423.067,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,40111.111,1.8,1702.4,2194.983,6475.2,113.6,2.95,3950.969
2020-04-23,0.47,-1135.85,3225.807,5000.0,-1134.315,1.55,1516.129,0.699,-0.4,15936.224,6374.49,-1374.89,0.4,11139.421,3.3,-2437.76,733.49,4606.32,228.48,6.28,2420.518,0.002,1943.739,1389511.739,15437.476,693.749,0.011,2501.121,17.101,164.2,303.943,5197.42,528.5,17.1,5197.832,3.78,-1830.6,2367.673,6155.95,-3108.45,2.6,8949.805,0.41,-4149.92,8723.272,5757.36,-5589.92,0.66,3576.541,3.42,-645.1,1275.117,6003.25,-492.1,4.708,4360.899,1.4,-3547.3,1369.829,1999.95,-308.45,1.46,1917.76,0.71,-2222.3,14197.133,4259.14,-1388.85,0.3,10079.964,15.95,12776.0,2777.5,22220.0,13332.0,8.0,44301.124,0.12,-1437.785,41444.053,11811.555,-1249.9,0.285,4973.286,0.002,-1923.08,2355766.701,18846.135,-769.23,0.008,4711.534,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,42222.224,1.75,1702.4,2194.983,6475.2,113.6,2.95,3841.22
2020-04-24,0.47,-1135.85,3225.807,5000.0,-1134.315,1.55,1516.129,0.68,-0.4,15936.224,6374.49,-1374.89,0.4,10836.633,3.33,-2437.76,733.49,4606.32,228.48,6.28,2442.523,0.002,1943.739,1389511.739,15437.476,693.749,0.011,2501.121,17.357,164.2,303.943,5197.42,528.5,17.1,5275.412,3.86,-1830.6,2367.673,6155.95,-3108.45,2.6,9139.219,0.39,-4149.92,8723.272,5757.36,-5589.92,0.66,3402.076,3.41,-645.1,1275.117,6003.25,-492.1,4.708,4348.148,1.38,-3547.3,1369.829,1999.95,-308.45,1.46,1890.364,0.69,-2222.3,14197.133,4259.14,-1388.85,0.3,9796.022,15.95,12776.0,2777.5,22220.0,13332.0,8.0,44301.124,0.112,-1437.785,41444.053,11811.555,-1249.9,0.285,4662.456,0.002,-1923.08,2355766.701,18846.135,-769.23,0.008,4711.534,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,37999.999,1.72,1702.4,2194.983,6475.2,113.6,2.95,3775.371
2020-04-27,0.53,-1135.85,3225.807,5000.0,-1134.315,1.55,1709.677,0.55,-0.4,15936.224,6374.49,-1374.89,0.4,8764.924,3.36,-2437.76,733.49,4606.32,228.48,6.28,2464.528,0.002,1943.739,1389511.739,15437.476,693.749,0.011,2362.17,18.314,164.2,303.943,5197.42,528.5,17.1,5566.335,3.95,-1830.6,2367.673,6155.95,-3108.45,2.6,9352.309,0.398,-4149.92,8723.272,5757.36,-5589.92,0.66,3471.862,3.71,-645.1,1275.117,6003.25,-492.1,4.708,4730.683,1.37,-3547.3,1369.829,1999.95,-308.45,1.46,1876.665,1.01,-2222.3,14197.133,4259.14,-1388.85,0.3,14339.104,21.0,12776.0,2777.5,22220.0,13332.0,8.0,58327.5,0.112,-1437.785,41444.053,11811.555,-1249.9,0.285,4662.456,0.005,-1923.08,2355766.701,18846.135,-769.23,0.008,11778.833,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,40111.111,1.25,1702.4,2194.983,6475.2,113.6,2.95,2743.729
2020-04-28,0.53,-1135.85,3225.807,5000.0,-1134.315,1.55,1709.677,0.536,-0.4,15936.224,6374.49,-1374.89,0.4,8549.784,3.57,-2437.76,733.49,4606.32,228.48,6.28,2618.561,0.003,1943.739,1389511.739,15437.476,693.749,0.011,4029.584,17.767,164.2,303.943,5197.42,528.5,17.1,5400.093,3.88,-1830.6,2367.673,6155.95,-3108.45,2.6,9186.572,0.395,-4149.92,8723.272,5757.36,-5589.92,0.66,3445.693,3.7,-645.1,1275.117,6003.25,-492.1,4.708,4717.932,1.34,-3547.3,1369.829,1999.95,-308.45,1.46,1835.571,0.88,-2222.3,14197.133,4259.14,-1388.85,0.3,12493.477,21.0,12776.0,2777.5,22220.0,13332.0,8.0,58327.5,0.12,-1437.785,41444.053,11811.555,-1249.9,0.285,4973.286,0.005,-1923.08,2355766.701,18846.135,-769.23,0.008,11778.833,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,42222.224,1.41,1702.4,2194.983,6475.2,113.6,2.95,3094.926
2020-04-29,0.53,-1135.85,3225.807,5000.0,-1134.315,1.55,1709.677,0.32,-0.4,15936.224,6374.49,-1374.89,0.4,5099.592,3.64,-2437.76,733.49,4606.32,228.48,6.28,2669.905,0.003,1943.739,1389511.739,15437.476,693.749,0.011,4168.535,18.241,164.2,303.943,5197.42,528.5,17.1,5544.17,3.99,-1830.6,2367.673,6155.95,-3108.45,2.6,9447.016,0.381,-4149.92,8723.272,5757.36,-5589.92,0.66,3323.567,3.81,-645.1,1275.117,6003.25,-492.1,4.708,4858.195,1.31,-3547.3,1369.829,1999.95,-308.45,1.46,1794.476,2.3,-2222.3,14197.133,4259.14,-1388.85,0.3,32653.405,21.0,12776.0,2777.5,22220.0,13332.0,8.0,58327.5,0.121,-1437.785,41444.053,11811.555,-1249.9,0.285,5025.092,0.002,-1923.08,2355766.701,18846.135,-769.23,0.008,4711.534,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,37999.999,1.4,1702.4,2194.983,6475.2,113.6,2.95,3072.976
2020-04-30,0.47,-1135.85,3225.807,5000.0,-1134.315,1.55,1516.129,0.326,-0.4,15936.224,6374.49,-1374.89,0.4,5195.209,3.62,-2437.76,733.49,4606.32,228.48,6.28,2655.235,0.003,1943.739,1389511.739,15437.476,693.749,0.011,4168.535,18.204,164.2,303.943,5197.42,528.5,17.1,5533.087,3.91,-1830.6,2367.673,6155.95,-3108.45,2.6,9257.603,0.375,-4149.92,8723.272,5757.36,-5589.92,0.66,3271.227,3.55,-645.1,1275.117,6003.25,-492.1,4.708,4526.664,1.37,-3547.3,1369.829,1999.95,-308.45,1.46,1876.665,1.45,-2222.3,14197.133,4259.14,-1388.85,0.3,20585.844,21.0,12776.0,2777.5,22220.0,13332.0,8.0,58327.5,0.148,-1437.785,41444.053,11811.555,-1249.9,0.285,6133.72,0.002,-1923.08,2355766.701,18846.135,-769.23,0.008,4711.534,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,40111.111,1.49,1702.4,2194.983,6475.2,113.6,2.95,3270.525
2020-05-01,0.748,-1135.85,3225.807,5000.0,-1134.315,1.55,2412.903,0.26,-0.4,15936.224,6374.49,-1374.89,0.4,4143.418,3.48,-2437.76,733.49,4606.32,228.48,6.28,2552.547,0.004,1943.739,1389511.739,15437.476,693.749,0.011,5141.193,17.867,164.2,303.943,5197.42,528.5,17.1,5430.571,3.89,-1830.6,2367.673,6155.95,-3108.45,2.6,9210.249,0.361,-4149.92,8723.272,5757.36,-5589.92,0.66,3149.101,3.56,-645.1,1275.117,6003.25,-492.1,4.708,4539.415,1.32,-3547.3,1369.829,1999.95,-308.45,1.46,1808.174,1.32,-2222.3,14197.133,4259.14,-1388.85,0.3,18740.216,21.0,12776.0,2777.5,22220.0,13332.0,8.0,58327.5,0.148,-1437.785,41444.053,11811.555,-1249.9,0.285,6133.72,0.008,-1923.08,2355766.701,18846.135,-769.23,0.008,18846.135,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,40111.111,1.41,1702.4,2194.983,6475.2,113.6,2.95,3094.926
2020-05-04,0.748,-1135.85,3225.807,5000.0,-1134.315,1.55,2412.903,0.29,-0.4,15936.224,6374.49,-1374.89,0.4,4619.912,3.35,-2437.76,733.49,4606.32,228.48,6.28,2457.193,0.005,1943.739,1389511.739,15437.476,693.749,0.011,6391.754,18.806,164.2,303.943,5197.42,528.5,17.1,5715.953,3.9,-1830.6,2367.673,6155.95,-3108.45,2.6,9233.926,0.35,-4149.92,8723.272,5757.36,-5589.92,0.66,3053.145,3.36,-645.1,1275.117,6003.25,-492.1,4.708,4284.392,1.33,-3547.3,1369.829,1999.95,-308.45,1.46,1821.872,1.15,-2222.3,14197.133,4259.14,-1388.85,0.3,16326.703,21.0,12776.0,2777.5,22220.0,13332.0,8.0,58327.5,0.148,-1437.785,41444.053,11811.555,-1249.9,0.285,6133.72,0.005,-1923.08,2355766.701,18846.135,-769.23,0.008,11778.833,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,40111.111,1.69,1702.4,2194.983,6475.2,113.6,2.95,3709.521
2020-05-05,0.748,-1135.85,3225.807,5000.0,-1134.315,1.55,2412.903,0.409,-0.4,15936.224,6374.49,-1374.89,0.4,6517.916,3.32,-2437.76,733.49,4606.32,228.48,6.28,2435.188,0.004,1943.739,1389511.739,15437.476,693.749,0.011,5280.145,19.007,164.2,303.943,5197.42,528.5,17.1,5776.908,3.88,-1830.6,2367.673,6155.95,-3108.45,2.6,9186.572,0.378,-4149.92,8723.272,5757.36,-5589.92,0.66,3297.397,3.51,-645.1,1275.117,6003.25,-492.1,4.708,4475.66,1.32,-3547.3,1369.829,1999.95,-308.45,1.46,1808.174,1.3,-2222.3,14197.133,4259.14,-1388.85,0.3,18456.272,21.0,12776.0,2777.5,22220.0,13332.0,8.0,58327.5,0.13,-1437.785,41444.053,11811.555,-1249.9,0.285,5387.727,0.005,-1923.08,2355766.701,18846.135,-769.23,0.008,11778.833,0.002,-1400.0,21111110.795,37999.999,-20400.0,0.002,42222.224,1.68,1702.4,2194.983,6475.2,113.6,2.95,3687.571
