date,IBN_adj_close,IBN_cashflow,IBN_cml_units,IBN_cml_cost,IBN_gain_loss,IBN_avg_price,IBN_mktvalue,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,MAA_adj_close,MAA_cashflow,MAA_cml_units,MAA_cml_cost,MAA_gain_loss,MAA_avg_price,MAA_mktvalue,TGTX_adj_close,TGTX_cashflow,TGTX_cml_units,TGTX_cml_cost,TGTX_gain_loss,TGTX_avg_price,TGTX_mktvalue,AYX_adj_close,AYX_cashflow,AYX_cml_units,AYX_cml_cost,AYX_gain_loss,AYX_avg_price,AYX_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,HASI_adj_close,HASI_cashflow,HASI_cml_units,HASI_cml_cost,HASI_gain_loss,HASI_avg_price,HASI_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,SKY_adj_close,SKY_cashflow,SKY_cml_units,SKY_cml_cost,SKY_gain_loss,SKY_avg_price,SKY_mktvalue,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue
2019-11-13,13.41,-4989.6,240.0,4989.6,1152.0,20.79,3218.407,21.887,-4994.055,171.0,4994.055,1157.67,29.205,3742.614,126.865,-4848.084,24.0,4848.084,867.84,202.004,3044.764,7.9,-4992.12,147.0,4992.12,1029.0,33.96,1161.3,93.46,-4936.48,64.0,4936.48,2598.4,77.132,5981.44,49.29,-4969.84,148.0,4969.84,2470.12,33.58,7294.943,1.11,-4997.558,975.0,4997.558,1784.25,5.126,1082.25,26.58,-4939.888,80.0,4939.888,1050.4,61.749,2126.436,7.444,-4999.54,871.0,4999.54,2456.22,5.74,6484.069,31.12,-4973.8,65.0,4973.8,1105.65,76.52,2022.8,1.84,-4998.92,2659.0,4998.92,2366.51,1.88,4892.56
2019-11-14,13.55,-4989.6,240.0,4989.6,1152.0,20.79,3251.907,22.102,-4994.055,171.0,4994.055,1157.67,29.205,3779.502,128.815,-4848.084,24.0,4848.084,867.84,202.004,3091.571,7.975,-4992.12,147.0,4992.12,1029.0,33.96,1172.325,94.23,-4936.48,64.0,4936.48,2598.4,77.132,6030.72,48.936,-4969.84,148.0,4969.84,2470.12,33.58,7242.562,1.07,-4997.558,975.0,4997.558,1784.25,5.126,1043.25,26.739,-4939.888,80.0,4939.888,1050.4,61.749,2139.098,7.407,-4999.54,871.0,4999.54,2456.22,5.74,6451.889,30.64,-4973.8,65.0,4973.8,1105.65,76.52,1991.6,1.82,-4998.92,2659.0,4998.92,2366.51,1.88,4839.38
2019-11-15,13.699,-4989.6,240.0,4989.6,1152.0,20.79,3287.8,22.147,-4994.055,171.0,4994.055,1157.67,29.205,3787.187,130.332,-4848.084,24.0,4848.084,867.84,202.004,3127.978,8.0,-4992.12,147.0,4992.12,1029.0,33.96,1176.0,97.42,-4936.48,64.0,4936.48,2598.4,77.132,6234.88,49.692,-4969.84,148.0,4969.84,2470.12,33.58,7354.4,1.01,-4997.558,975.0,4997.558,1784.25,5.126,984.75,26.748,-4939.888,80.0,4939.888,1050.4,61.749,2139.843,7.574,-4999.54,871.0,4999.54,2456.22,5.74,6596.695,30.89,-4973.8,65.0,4973.8,1105.65,76.52,2007.85,1.81,-4998.92,2659.0,4998.92,2366.51,1.88,4812.79
2019-11-18,13.589,-4989.6,240.0,4989.6,1152.0,20.79,3261.478,22.075,-4994.055,171.0,4994.055,1157.67,29.205,3774.891,129.711,-4848.084,24.0,4848.084,867.84,202.004,3113.053,7.935,-4992.12,147.0,4992.12,1029.0,33.96,1166.445,98.43,-4936.48,64.0,4936.48,2598.4,77.132,6299.52,49.07,-4969.84,148.0,4969.84,2470.12,33.58,7262.382,1.01,-4997.558,975.0,4997.558,1784.25,5.126,984.75,26.99,-4939.888,80.0,4939.888,1050.4,61.749,2159.208,7.657,-4999.54,871.0,4999.54,2456.22,5.74,6669.097,31.44,-4973.8,65.0,4973.8,1105.65,76.52,2043.6,1.79,-4998.92,2659.0,4998.92,2366.51,1.88,4759.61
2019-11-19,13.58,-4989.6,240.0,4989.6,1152.0,20.79,3259.085,22.003,-4994.055,171.0,4994.055,1157.67,29.205,3762.595,129.447,-4848.084,24.0,4848.084,867.84,202.004,3106.722,7.93,-4992.12,147.0,4992.12,1029.0,33.96,1165.71,104.23,-4936.48,64.0,4936.48,2598.4,77.132,6670.72,48.573,-4969.84,148.0,4969.84,2470.12,33.58,7188.767,1.04,-4997.558,975.0,4997.558,1784.25,5.126,1014.0,27.093,-4939.888,80.0,4939.888,1050.4,61.749,2167.401,7.583,-4999.54,871.0,4999.54,2456.22,5.74,6604.74,31.88,-4973.8,65.0,4973.8,1105.65,76.52,2072.2,1.74,-4998.92,2659.0,4998.92,2366.51,1.88,4626.66
2019-11-20,13.649,-4989.6,240.0,4989.6,1152.0,20.79,3275.835,22.201,-4994.055,171.0,4994.055,1157.67,29.205,3796.409,129.494,-4848.084,24.0,4848.084,867.84,202.004,3107.852,7.8,-4992.12,147.0,4992.12,1029.0,33.96,1146.6,106.48,-4936.48,64.0,4936.48,2598.4,77.132,6814.72,48.506,-4969.84,148.0,4969.84,2470.12,33.58,7178.858,1.01,-4997.558,975.0,4997.558,1784.25,5.126,984.75,27.102,-4939.888,80.0,4939.888,1050.4,61.749,2168.146,7.491,-4999.54,871.0,4999.54,2456.22,5.74,6524.292,32.22,-4973.8,65.0,4973.8,1105.65,76.52,2094.3,1.9,-4998.92,2659.0,4998.92,2366.51,1.88,5052.1
2019-11-21,13.789,-4989.6,240.0,4989.6,1152.0,20.79,3309.335,21.887,-4994.055,171.0,4994.055,1157.67,29.205,3742.614,127.553,-4848.084,24.0,4848.084,867.84,202.004,3061.271,7.835,-4992.12,147.0,4992.12,1029.0,33.96,1151.745,103.24,-4936.48,64.0,4936.48,2598.4,77.132,6607.36,49.022,-4969.84,148.0,4969.84,2470.12,33.58,7255.303,1.06,-4997.558,975.0,4997.558,1784.25,5.126,1033.5,26.739,-4939.888,80.0,4939.888,1050.4,61.749,2139.098,7.352,-4999.54,871.0,4999.54,2456.22,5.74,6403.622,31.41,-4973.8,65.0,4973.8,1105.65,76.52,2041.65,1.91,-4998.92,2659.0,4998.92,2366.51,1.88,5078.69
2019-11-22,13.639,-4989.6,240.0,4989.6,1152.0,20.79,3273.443,21.86,-4994.055,171.0,4994.055,1157.67,29.205,3738.003,126.63,-4848.084,24.0,4848.084,867.84,202.004,3039.11,7.65,-4992.12,147.0,4992.12,1029.0,33.96,1124.55,105.36,-4936.48,64.0,4936.48,2598.4,77.132,6743.04,48.879,-4969.84,148.0,4969.84,2470.12,33.58,7234.068,1.15,-4997.558,975.0,4997.558,1784.25,5.126,1121.25,26.618,-4939.888,80.0,4939.888,1050.4,61.749,2129.416,7.407,-4999.54,871.0,4999.54,2456.22,5.74,6451.889,31.82,-4973.8,65.0,4973.8,1105.65,76.52,2068.3,1.85,-4998.92,2659.0,4998.92,2366.51,1.88,4919.15
2019-11-25,13.759,-4989.6,240.0,4989.6,1152.0,20.79,3302.157,22.003,-4994.055,171.0,4994.055,1157.67,29.205,3762.595,126.403,-4848.084,24.0,4848.084,867.84,202.004,3033.684,7.5,-4992.12,147.0,4992.12,1029.0,33.96,1102.5,107.27,-4936.48,64.0,4936.48,2598.4,77.132,6865.28,48.525,-4969.84,148.0,4969.84,2470.12,33.58,7181.689,1.26,-4997.558,975.0,4997.558,1784.25,5.126,1228.5,27.027,-4939.888,80.0,4939.888,1050.4,61.749,2162.187,7.352,-4999.54,871.0,4999.54,2456.22,5.74,6403.622,32.67,-4973.8,65.0,4973.8,1105.65,76.52,2123.55,1.92,-4998.92,2659.0,4998.92,2366.51,1.88,5105.28
2019-11-26,13.928,-4989.6,240.0,4989.6,1152.0,20.79,3342.836,22.111,-4994.055,171.0,4994.055,1157.67,29.205,3781.039,129.145,-4848.084,24.0,4848.084,867.84,202.004,3099.486,7.57,-4992.12,147.0,4992.12,1029.0,33.96,1112.79,110.84,-4936.48,64.0,4936.48,2598.4,77.132,7093.76,46.803,-4969.84,148.0,4969.84,2470.12,33.58,6926.868,1.28,-4997.558,975.0,4997.558,1784.25,5.126,1248.0,27.139,-4939.888,80.0,4939.888,1050.4,61.749,2171.125,7.167,-4999.54,871.0,4999.54,2456.22,5.74,6242.726,33.38,-4973.8,65.0,4973.8,1105.65,76.52,2169.7,1.87,-4998.92,2659.0,4998.92,2366.51,1.88,4972.33
