date,USO_adj_close,USO_cashflow,USO_cml_units,USO_cml_cost,USO_gain_loss,USO_avg_price,USO_mktvalue,ADAP_adj_close,ADAP_cashflow,ADAP_cml_units,ADAP_cml_cost,ADAP_gain_loss,ADAP_avg_price,ADAP_mktvalue,WINR_adj_close,WINR_cashflow,WINR_cml_units,WINR_cml_cost,WINR_gain_loss,WINR_avg_price,WINR_mktvalue,PETV_adj_close,PETV_cashflow,PETV_cml_units,PETV_cml_cost,PETV_gain_loss,PETV_avg_price,PETV_mktvalue
2020-11-30,30.97,-4919.04,49.02,4919.04,0.0,100.348,1518.137,5.01,-4999.2,5000.0,4999.2,0.0,1.0,25050.001,15.0,-4993.92,625.0,4993.92,0.0,7.99,9375.0,5.32,-4999.072,5000.0,4999.072,0.0,1.0,26600.001
2020-12-01,30.62,-4919.04,49.02,4919.04,0.0,100.348,1500.98,4.75,-4999.2,5000.0,4999.2,0.0,1.0,23750.0,15.0,-4993.92,625.0,4993.92,0.0,7.99,9375.0,5.36,-4999.072,5000.0,4999.072,0.0,1.0,26800.001
2020-12-02,30.97,-4919.04,49.02,4919.04,0.0,100.348,1518.137,4.55,-4999.2,5000.0,4999.2,0.0,1.0,22750.001,16.0,-4993.92,625.0,4993.92,0.0,7.99,10000.0,5.2,-4999.072,5000.0,4999.072,0.0,1.0,25999.999
2020-12-03,31.25,-4919.04,49.02,4919.04,0.0,100.348,1531.863,4.5,-4999.2,5000.0,4999.2,0.0,1.0,22500.0,16.0,-4993.92,625.0,4993.92,0.0,7.99,10000.0,5.48,-4999.072,5000.0,4999.072,0.0,1.0,27400.0
2020-12-04,31.56,-4919.04,49.02,4919.04,0.0,100.348,1547.059,4.47,-4999.2,5000.0,4999.2,0.0,1.0,22349.999,15.5,-4993.92,625.0,4993.92,0.0,7.99,9687.5,7.6,-4999.072,5000.0,4999.072,0.0,1.0,38000.0
2020-12-07,31.4,-4919.04,49.02,4919.04,0.0,100.348,1539.216,4.5,-4999.2,5000.0,4999.2,0.0,1.0,22500.0,15.5,-4993.92,625.0,4993.92,0.0,7.99,9687.5,7.4,-4999.072,5000.0,4999.072,0.0,1.0,37000.0
2020-12-08,31.41,-4919.04,49.02,4919.04,0.0,100.348,1539.706,4.4,-4999.2,5000.0,4999.2,0.0,1.0,22000.0,14.0,-4993.92,625.0,4993.92,0.0,7.99,8750.0,8.8,-4999.072,5000.0,4999.072,0.0,1.0,44000.001
2020-12-09,31.34,-4919.04,49.02,4919.04,0.0,100.348,1536.275,4.14,-4999.2,5000.0,4999.2,0.0,1.0,20699.999,15.55,-4993.92,625.0,4993.92,0.0,7.99,9718.75,10.36,-4999.072,5000.0,4999.072,0.0,1.0,51799.998
2020-12-10,32.11,-4919.04,49.02,4919.04,0.0,100.348,1574.02,4.05,-4999.2,5000.0,4999.2,0.0,1.0,20250.001,15.0,-4993.92,625.0,4993.92,0.0,7.99,9375.0,12.0,-4999.072,5000.0,4999.072,0.0,1.0,60000.0
2020-12-11,31.94,-4919.04,49.02,4919.04,0.0,100.348,1565.686,4.0,-4999.2,5000.0,4999.2,0.0,1.0,20000.0,14.0,-4993.92,625.0,4993.92,0.0,7.99,8750.0,12.08,-4999.072,5000.0,4999.072,0.0,1.0,60400.0
2020-12-14,32.17,-4919.04,49.02,4919.04,0.0,100.348,1576.961,4.1,-4999.2,5000.0,4999.2,0.0,1.0,20500.0,14.75,-4993.92,625.0,4993.92,0.0,7.99,9218.75,12.0,-4999.072,5000.0,4999.072,0.0,1.0,60000.0
2020-12-15,32.54,-4919.04,49.02,4919.04,0.0,100.348,1595.098,4.07,-4999.2,5000.0,4999.2,0.0,1.0,20350.001,15.77,-4993.92,625.0,4993.92,0.0,7.99,9856.25,12.4,-4999.072,5000.0,4999.072,0.0,1.0,61999.998
2020-12-16,32.74,-4919.04,49.02,4919.04,0.0,100.348,1604.902,4.35,-4999.2,5000.0,4999.2,0.0,1.0,21750.0,15.77,-4993.92,625.0,4993.92,0.0,7.99,9856.25,13.2,-4999.072,5000.0,4999.072,0.0,1.0,65999.999
2020-12-17,33.16,-4919.04,49.02,4919.04,0.0,100.348,1625.49,4.38,-4999.2,5000.0,4999.2,0.0,1.0,21900.001,13.85,-4993.92,625.0,4993.92,0.0,7.99,8656.25,11.6,-4999.072,5000.0,4999.072,0.0,1.0,58000.002
2020-12-18,33.48,-4919.04,49.02,4919.04,0.0,100.348,1641.176,4.91,-4999.2,5000.0,4999.2,0.0,1.0,24549.999,14.1,-4993.92,625.0,4993.92,0.0,7.99,8812.5,13.56,-4999.072,5000.0,4999.072,0.0,1.0,67800.002
2020-12-21,32.64,-4919.04,49.02,4919.04,0.0,100.348,1600.0,4.95,-4999.2,5000.0,4999.2,0.0,1.0,24749.999,14.95,-4993.92,625.0,4993.92,0.0,7.99,9343.75,13.2,-4999.072,5000.0,4999.072,0.0,1.0,65999.999
2020-12-22,32.09,-4919.04,49.02,4919.04,0.0,100.348,1573.039,5.32,-4999.2,5000.0,4999.2,0.0,1.0,26600.001,15.9,-4993.92,625.0,4993.92,0.0,7.99,9937.5,13.36,-4999.072,5000.0,4999.072,0.0,1.0,66799.998
2020-12-23,32.75,-4919.04,49.02,4919.04,0.0,100.348,1605.392,5.49,-4999.2,5000.0,4999.2,0.0,1.0,27449.999,19.99,-4993.92,625.0,4993.92,0.0,7.99,12493.75,13.2,-4999.072,5000.0,4999.072,0.0,1.0,65999.999
2020-12-24,32.92,-4919.04,49.02,4919.04,0.0,100.348,1613.725,5.22,-4999.2,5000.0,4999.2,0.0,1.0,26099.999,16.08,-4993.92,625.0,4993.92,0.0,7.99,10050.0,16.0,-4999.072,5000.0,4999.072,0.0,1.0,80000.0
2020-12-28,32.59,-4919.04,49.02,4919.04,0.0,100.348,1597.549,5.28,-4999.2,5000.0,4999.2,0.0,1.0,26400.001,20.2,-4993.92,625.0,4993.92,0.0,7.99,12625.0,14.8,-4999.072,5000.0,4999.072,0.0,1.0,74000.001
2020-12-29,32.78,-4919.04,49.02,4919.04,0.0,100.348,1606.863,5.19,-4999.2,5000.0,4999.2,0.0,1.0,25950.0,20.0,-4993.92,625.0,4993.92,0.0,7.99,12500.0,13.6,-4999.072,5000.0,4999.072,0.0,1.0,68000.002
2020-12-30,32.91,-4919.04,49.02,4919.04,0.0,100.348,1613.235,5.41,-4999.2,5000.0,4999.2,0.0,1.0,27049.999,20.0,-4993.92,625.0,4993.92,0.0,7.99,12500.0,15.0,-4999.072,5000.0,4999.072,0.0,1.0,75000.0
2020-12-31,33.01,-4919.04,49.02,4919.04,0.0,100.348,1618.137,5.39,-4999.2,5000.0,4999.2,0.0,1.0,26949.999,19.75,-4993.92,625.0,4993.92,0.0,7.99,12343.75,13.25,-4999.072,5000.0,4999.072,0.0,1.0,66250.0
2021-01-04,32.38,-4919.04,49.02,4919.04,0.0,100.348,1587.255,6.01,-4999.2,5000.0,4999.2,0.0,1.0,30050.001,19.75,-4993.92,625.0,4993.92,0.0,7.99,12343.75,13.25,-4999.072,5000.0,4999.072,0.0,1.0,66250.0
2021-01-05,33.94,-4919.04,49.02,4919.04,0.0,100.348,1663.725,5.77,-4999.2,5000.0,4999.2,0.0,1.0,28850.0,21.0,-4993.92,625.0,4993.92,0.0,7.99,13125.0,13.5,-4999.072,5000.0,4999.072,0.0,1.0,67500.0
2021-01-06,34.11,-4919.04,49.02,4919.04,0.0,100.348,1672.059,5.61,-4999.2,5000.0,4999.2,0.0,1.0,28050.001,18.0,-4993.92,625.0,4993.92,0.0,7.99,11250.0,15.5,-4999.072,5000.0,4999.072,0.0,1.0,77500.0
2021-01-07,34.53,-4919.04,49.02,4919.04,0.0,100.348,1692.647,5.98,-4999.2,5000.0,4999.2,0.0,1.0,29900.0,18.5,-4993.92,625.0,4993.92,0.0,7.99,11562.5,14.5,-4999.072,5000.0,4999.072,0.0,1.0,72500.0
2021-01-08,35.43,-4919.04,49.02,4919.04,0.0,100.348,1736.765,6.18,-4999.2,5000.0,4999.2,0.0,1.0,30899.999,17.5,-4993.92,625.0,4993.92,0.0,7.99,10937.5,14.47,-4999.072,5000.0,4999.072,0.0,1.0,72350.001
2021-01-11,35.26,-4919.04,49.02,4919.04,0.0,100.348,1728.431,6.23,-4999.2,5000.0,4999.2,0.0,1.0,31150.0,17.5,-4993.92,625.0,4993.92,0.0,7.99,10937.5,13.8,-4999.072,5000.0,4999.072,0.0,1.0,69000.001
2021-01-12,35.9,-4919.04,49.02,4919.04,0.0,100.348,1759.804,5.89,-4999.2,5000.0,4999.2,0.0,1.0,29449.999,17.5,-4993.92,625.0,4993.92,0.0,7.99,10937.5,13.05,-4999.072,5000.0,4999.072,0.0,1.0,65250.001
2021-01-13,35.8,-4919.04,49.02,4919.04,0.0,100.348,1754.902,5.82,-4999.2,5000.0,4999.2,0.0,1.0,29100.001,17.5,-4993.92,625.0,4993.92,0.0,7.99,10937.5,15.95,-4999.072,5000.0,4999.072,0.0,1.0,79749.999
2021-01-14,36.24,-4919.04,49.02,4919.04,0.0,100.348,1776.471,6.1,-4999.2,5000.0,4999.2,0.0,1.0,30500.0,18.0,-4993.92,625.0,4993.92,0.0,7.99,11250.0,14.99,-4999.072,5000.0,4999.072,0.0,1.0,74949.999
