date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,ICCT_adj_close,ICCT_cashflow,ICCT_cml_units,ICCT_cml_cost,ICCT_gain_loss,ICCT_avg_price,ICCT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2020-10-09,33.283,-4995.62,42.017,4995.62,0.0,118.896,1398.442,14.87,-4999.54,2.87,4999.54,0.0,1741.84,42.681,17.009,-4998.737,4.378,4998.737,0.0,1141.712,74.47,0.035,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,12.0,-4998.0,6.803,4998.0,0.0,734.706,81.633
2020-10-12,34.043,-4995.62,42.017,4995.62,0.0,118.896,1430.362,14.8,-4999.54,2.87,4999.54,0.0,1741.84,42.48,17.164,-4998.737,4.378,4998.737,0.0,1141.712,75.149,0.035,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,9.6,-4998.0,6.803,4998.0,0.0,734.706,65.306
2020-10-13,33.427,-4995.62,42.017,4995.62,0.0,118.896,1404.502,15.2,-4999.54,2.87,4999.54,0.0,1741.84,43.628,17.104,-4998.737,4.378,4998.737,0.0,1141.712,74.885,0.04,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.18,-4998.0,6.803,4998.0,0.0,734.706,55.646
2020-10-14,32.571,-4995.62,42.017,4995.62,0.0,118.896,1368.541,15.51,-4999.54,2.87,4999.54,0.0,1741.84,44.518,16.742,-4998.737,4.378,4998.737,0.0,1141.712,73.301,0.04,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.06,-4998.0,6.803,4998.0,0.0,734.706,54.83
2020-10-15,33.071,-4995.62,42.017,4995.62,0.0,118.896,1389.552,16.62,-4999.54,2.87,4999.54,0.0,1741.84,47.704,16.492,-4998.737,4.378,4998.737,0.0,1141.712,72.206,0.06,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.14,-4998.0,6.803,4998.0,0.0,734.706,55.374
2020-10-16,33.283,-4995.62,42.017,4995.62,0.0,118.896,1398.442,16.02,-4999.54,2.87,4999.54,0.0,1741.84,45.982,16.397,-4998.737,4.378,4998.737,0.0,1141.712,71.792,0.06,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.12,-4998.0,6.803,4998.0,0.0,734.706,55.238
2020-10-19,33.773,-4995.62,42.017,4995.62,0.0,118.896,1419.048,15.0,-4999.54,2.87,4999.54,0.0,1741.84,43.054,16.001,-4998.737,4.378,4998.737,0.0,1141.712,70.056,0.045,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.09,-4998.0,6.803,4998.0,0.0,734.706,55.034
2020-10-20,34.264,-4995.62,42.017,4995.62,0.0,118.896,1439.655,13.77,-4999.54,2.87,4999.54,0.0,1741.84,39.524,16.199,-4998.737,4.378,4998.737,0.0,1141.712,70.924,0.045,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.99,-4998.0,6.803,4998.0,0.0,734.706,54.354
2020-10-21,34.995,-4995.62,42.017,4995.62,0.0,118.896,1470.364,12.79,-4999.54,2.87,4999.54,0.0,1741.84,36.711,15.742,-4998.737,4.378,4998.737,0.0,1141.712,68.924,0.05,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.95,-4998.0,6.803,4998.0,0.0,734.706,54.082
2020-10-22,35.543,-4995.62,42.017,4995.62,0.0,118.896,1493.395,13.76,-4999.54,2.87,4999.54,0.0,1741.84,39.495,15.673,-4998.737,4.378,4998.737,0.0,1141.712,68.623,0.052,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.0,-4998.0,6.803,4998.0,0.0,734.706,54.422
2020-10-23,36.177,-4995.62,42.017,4995.62,0.0,118.896,1520.063,13.11,-4999.54,2.87,4999.54,0.0,1741.84,37.629,15.777,-4998.737,4.378,4998.737,0.0,1141.712,69.075,0.045,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.0,-4998.0,6.803,4998.0,0.0,734.706,54.422
2020-10-26,35.716,-4995.62,42.017,4995.62,0.0,118.896,1500.668,12.93,-4999.54,2.87,4999.54,0.0,1741.84,37.113,15.613,-4998.737,4.378,4998.737,0.0,1141.712,68.359,0.055,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.01,-4998.0,6.803,4998.0,0.0,734.706,54.49
2020-10-27,35.158,-4995.62,42.017,4995.62,0.0,118.896,1477.233,13.35,-4999.54,2.87,4999.54,0.0,1741.84,38.318,15.389,-4998.737,4.378,4998.737,0.0,1141.712,67.378,0.045,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.01,-4998.0,6.803,4998.0,0.0,734.706,54.49
2020-10-28,34.745,-4995.62,42.017,4995.62,0.0,118.896,1459.858,12.33,-4999.54,2.87,4999.54,0.0,1741.84,35.39,14.458,-4998.737,4.378,4998.737,0.0,1141.712,63.303,0.045,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.05,-4998.0,6.803,4998.0,0.0,734.706,54.762
2020-10-29,34.668,-4995.62,42.017,4995.62,0.0,118.896,1456.626,12.55,-4999.54,2.87,4999.54,0.0,1741.84,36.022,15.044,-4998.737,4.378,4998.737,0.0,1141.712,65.869,0.047,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.9,-4998.0,6.803,4998.0,0.0,734.706,53.741
2020-10-30,34.36,-4995.62,42.017,4995.62,0.0,118.896,1443.696,12.03,-4999.54,2.87,4999.54,0.0,1741.84,34.529,14.743,-4998.737,4.378,4998.737,0.0,1141.712,64.548,0.038,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.01,-4998.0,6.803,4998.0,0.0,734.706,54.49
2020-11-02,35.879,-4995.62,42.017,4995.62,0.0,118.896,1507.537,11.56,-4999.54,2.87,4999.54,0.0,1741.84,33.18,15.372,-4998.737,4.378,4998.737,0.0,1141.712,67.302,0.04,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.3,-4998.0,6.803,4998.0,0.0,734.706,56.463
2020-11-03,36.774,-4995.62,42.017,4995.62,0.0,118.896,1545.114,11.05,-4999.54,2.87,4999.54,0.0,1741.84,31.716,15.742,-4998.737,4.378,4998.737,0.0,1141.712,68.924,0.04,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.05,-4998.0,6.803,4998.0,0.0,734.706,54.762
2020-11-04,35.601,-4995.62,42.017,4995.62,0.0,118.896,1495.819,11.58,-4999.54,2.87,4999.54,0.0,1741.84,33.238,16.509,-4998.737,4.378,4998.737,0.0,1141.712,72.282,0.04,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,11.05,-4998.0,6.803,4998.0,0.0,734.706,75.17
2020-11-05,36.928,-4995.62,42.017,4995.62,0.0,118.896,1551.579,11.97,-4999.54,2.87,4999.54,0.0,1741.84,34.357,16.742,-4998.737,4.378,4998.737,0.0,1141.712,73.301,0.055,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.43,-4998.0,6.803,4998.0,0.0,734.706,57.347
2020-11-06,36.841,-4995.62,42.017,4995.62,0.0,118.896,1547.943,11.57,-4999.54,2.87,4999.54,0.0,1741.84,33.209,15.984,-4998.737,4.378,4998.737,0.0,1141.712,69.981,0.051,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.25,-4998.0,6.803,4998.0,0.0,734.706,56.122
2020-11-09,38.668,-4995.62,42.017,4995.62,0.0,118.896,1624.714,11.47,-4999.54,2.87,4999.54,0.0,1741.84,32.922,15.872,-4998.737,4.378,4998.737,0.0,1141.712,69.49,0.051,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.25,-4998.0,6.803,4998.0,0.0,734.706,56.122
2020-11-10,38.87,-4995.62,42.017,4995.62,0.0,118.896,1633.199,12.48,-4999.54,2.87,4999.54,0.0,1741.84,35.821,16.802,-4998.737,4.378,4998.737,0.0,1141.712,73.565,0.035,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.05,-4998.0,6.803,4998.0,0.0,734.706,54.762
2020-11-11,40.563,-4995.62,42.017,4995.62,0.0,118.896,1704.313,12.09,-4999.54,2.87,4999.54,0.0,1741.84,34.701,17.0,-4998.737,4.378,4998.737,0.0,1141.712,74.432,0.04,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.18,-4998.0,6.803,4998.0,0.0,734.706,55.646
2020-11-12,39.62,-4995.62,42.017,4995.62,0.0,118.896,1664.715,12.45,-4999.54,2.87,4999.54,0.0,1741.84,35.735,16.621,-4998.737,4.378,4998.737,0.0,1141.712,72.772,0.04,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.19,-4998.0,6.803,4998.0,0.0,734.706,55.714
2020-11-13,39.697,-4995.62,42.017,4995.62,0.0,118.896,1667.948,12.67,-4999.54,2.87,4999.54,0.0,1741.84,36.366,16.837,-4998.737,4.378,4998.737,0.0,1141.712,73.716,0.05,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.2,-4998.0,6.803,4998.0,0.0,734.706,55.782
2020-11-16,39.822,-4995.62,42.017,4995.62,0.0,118.896,1673.2,12.24,-4999.54,2.87,4999.54,0.0,1741.84,35.132,16.725,-4998.737,4.378,4998.737,0.0,1141.712,73.225,0.047,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.35,-4998.0,6.803,4998.0,0.0,734.706,56.803
2020-11-17,40.38,-4995.62,42.017,4995.62,0.0,118.896,1696.636,11.61,-4999.54,2.87,4999.54,0.0,1741.84,33.324,16.492,-4998.737,4.378,4998.737,0.0,1141.712,72.206,0.043,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.18,-4998.0,6.803,4998.0,0.0,734.706,55.646
2020-11-18,40.64,-4995.62,42.017,4995.62,0.0,118.896,1707.545,11.58,-4999.54,2.87,4999.54,0.0,1741.84,33.238,16.311,-4998.737,4.378,4998.737,0.0,1141.712,71.414,0.075,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.05,-4998.0,6.803,4998.0,0.0,734.706,54.762
