date,BAC_adj_close,BAC_cashflow,BAC_cml_units,BAC_cml_cost,BAC_gain_loss,BAC_avg_price,BAC_mktvalue
2020-02-20,33.459,-4969.28,106.0,4969.28,1121.48,46.88,3546.654
2020-02-21,32.989,-4969.28,106.0,4969.28,1121.48,46.88,3496.788
2020-02-24,31.424,-4969.28,106.0,4969.28,1121.48,46.88,3330.904
2020-02-25,29.839,-4969.28,106.0,4969.28,1121.48,46.88,3162.985
2020-02-26,29.407,-4969.28,106.0,4969.28,1121.48,46.88,3117.189
2020-02-27,27.967,-4969.28,106.0,4969.28,1121.48,46.88,2964.535
2020-02-28,27.362,-4969.28,106.0,4969.28,1121.48,46.88,2900.421
2020-03-02,28.198,-4969.28,106.0,4969.28,1121.48,46.88,2988.96
2020-03-03,26.642,-4969.28,106.0,4969.28,1121.48,46.88,2824.094
2020-03-04,27.257,-4969.28,106.0,4969.28,1121.48,46.88,2889.226
2020-03-05,25.875,-4969.28,106.0,4969.28,1121.48,46.88,2742.767
2020-03-06,24.841,-4969.28,106.0,4969.28,1121.48,46.88,2633.18
2020-03-09,21.189,-4969.28,106.0,4969.28,1121.48,46.88,2246.038
2020-03-10,22.812,-4969.28,106.0,4969.28,1121.48,46.88,2418.101
2020-03-11,21.904,-4969.28,106.0,4969.28,1121.48,46.88,2321.828
2020-03-12,19.817,-4969.28,106.0,4969.28,1121.48,46.88,2100.604
2020-03-13,23.344,-4969.28,106.0,4969.28,1121.48,46.88,2474.431
2020-03-16,19.749,-4969.28,106.0,4969.28,1121.48,46.88,2093.434
2020-03-17,21.237,-4969.28,106.0,4969.28,1121.48,46.88,2251.159
2020-03-18,20.088,-4969.28,106.0,4969.28,1121.48,46.88,2129.281
2020-03-19,20.484,-4969.28,106.0,4969.28,1121.48,46.88,2171.272
2020-03-20,19.005,-4969.28,106.0,4969.28,1121.48,46.88,2014.572
2020-03-23,17.469,-4969.28,106.0,4969.28,1121.48,46.88,1851.727
2020-03-24,20.319,-4969.28,106.0,4969.28,1121.48,46.88,2153.861
2020-03-25,20.387,-4969.28,106.0,4969.28,1121.48,46.88,2161.03
2020-03-26,21.952,-4969.28,106.0,4969.28,1121.48,46.88,2326.948
2020-03-27,20.87,-4969.28,106.0,4969.28,1121.48,46.88,2212.24
2020-03-30,21.295,-4969.28,106.0,4969.28,1121.48,46.88,2257.304
2020-03-31,20.513,-4969.28,106.0,4969.28,1121.48,46.88,2174.345
2020-04-01,19.102,-4969.28,106.0,4969.28,1121.48,46.88,2024.814
2020-04-02,19.875,-4969.28,106.0,4969.28,1121.48,46.88,2106.749
2020-04-03,19.353,-4969.28,106.0,4969.28,1121.48,46.88,2051.443
2020-04-06,20.667,-4969.28,106.0,4969.28,1121.48,46.88,2190.732
2020-04-07,21.392,-4969.28,106.0,4969.28,1121.48,46.88,2267.546
2020-04-08,22.658,-4969.28,106.0,4969.28,1121.48,46.88,2401.714
2020-04-09,24.02,-4969.28,106.0,4969.28,1121.48,46.88,2546.124
2020-04-13,23.112,-4969.28,106.0,4969.28,1121.48,46.88,2449.851
2020-04-14,22.928,-4969.28,106.0,4969.28,1121.48,46.88,2430.391
2020-04-15,21.44,-4969.28,106.0,4969.28,1121.48,46.88,2272.667
2020-04-16,20.696,-4969.28,106.0,4969.28,1121.48,46.88,2193.804
2020-04-17,22.493,-4969.28,106.0,4969.28,1121.48,46.88,2384.303
2020-04-20,21.74,-4969.28,106.0,4969.28,1121.48,46.88,2304.417
2020-04-21,20.909,-4969.28,106.0,4969.28,1121.48,46.88,2216.337
2020-04-22,21.063,-4969.28,106.0,4969.28,1121.48,46.88,2232.723
2020-04-23,21.131,-4969.28,106.0,4969.28,1121.48,46.88,2239.893
2020-04-24,21.431,-4969.28,106.0,4969.28,1121.48,46.88,2271.643
2020-04-27,22.677,-4969.28,106.0,4969.28,1121.48,46.88,2403.762
2020-04-28,23.083,-4969.28,106.0,4969.28,1121.48,46.88,2446.778
2020-04-29,23.943,-4969.28,106.0,4969.28,1121.48,46.88,2537.931
2020-04-30,23.237,-4969.28,106.0,4969.28,1121.48,46.88,2463.165
2020-05-01,22.3,-4969.28,106.0,4969.28,1121.48,46.88,2363.819
2020-05-04,22.155,-4969.28,106.0,4969.28,1121.48,46.88,2348.457
2020-05-05,21.894,-4969.28,106.0,4969.28,1121.48,46.88,2320.803
2020-05-06,21.595,-4969.28,106.0,4969.28,1121.48,46.88,2289.054
2020-05-07,22.068,-4969.28,106.0,4969.28,1121.48,46.88,2339.239
2020-05-08,22.774,-4969.28,106.0,4969.28,1121.48,46.88,2414.004
2020-05-11,21.817,-4969.28,106.0,4969.28,1121.48,46.88,2312.61
2020-05-12,21.131,-4969.28,106.0,4969.28,1121.48,46.88,2239.893
2020-05-13,20.165,-4969.28,106.0,4969.28,1121.48,46.88,2137.474
2020-05-14,20.976,-4969.28,106.0,4969.28,1121.48,46.88,2223.506
2020-05-15,20.716,-4969.28,106.0,4969.28,1121.48,46.88,2195.853
2020-05-18,22.155,-4969.28,106.0,4969.28,1121.48,46.88,2348.457
2020-05-19,21.46,-4969.28,106.0,4969.28,1121.48,46.88,2274.715
2020-05-20,22.136,-4969.28,106.0,4969.28,1121.48,46.88,2346.408
2020-05-21,22.126,-4969.28,106.0,4969.28,1121.48,46.88,2345.384
2020-05-22,21.894,-4969.28,106.0,4969.28,1121.48,46.88,2320.803
2020-05-26,23.46,-4969.28,106.0,4969.28,1121.48,46.88,2486.721
2020-05-27,25.102,-4969.28,106.0,4969.28,1121.48,46.88,2660.833
2020-05-28,24.02,-4969.28,106.0,4969.28,1121.48,46.88,2546.124
2020-05-29,23.305,-4969.28,106.0,4969.28,1121.48,46.88,2470.334
2020-06-01,23.778,-4969.28,106.0,4969.28,1121.48,46.88,2520.519
2020-06-02,24.001,-4969.28,106.0,4969.28,1121.48,46.88,2544.076
2020-06-03,25.112,-4969.28,106.0,4969.28,1121.48,46.88,2661.857
2020-06-04,26.056,-4969.28,106.0,4969.28,1121.48,46.88,2761.896
2020-06-05,27.35,-4969.28,106.0,4969.28,1121.48,46.88,2899.062
2020-06-08,27.768,-4969.28,106.0,4969.28,1121.48,46.88,2943.41
2020-06-09,27.457,-4969.28,106.0,4969.28,1121.48,46.88,2910.407
2020-06-10,25.88,-4969.28,106.0,4969.28,1121.48,46.88,2743.332
2020-06-11,23.283,-4969.28,106.0,4969.28,1121.48,46.88,2467.967
2020-06-12,24.11,-4969.28,106.0,4969.28,1121.48,46.88,2555.63
2020-06-15,24.47,-4969.28,106.0,4969.28,1121.48,46.88,2593.789
2020-06-16,25.102,-4969.28,106.0,4969.28,1121.48,46.88,2660.826
2020-06-17,24.324,-4969.28,106.0,4969.28,1121.48,46.88,2578.319
2020-06-18,24.363,-4969.28,106.0,4969.28,1121.48,46.88,2582.445
2020-06-19,24.567,-4969.28,106.0,4969.28,1121.48,46.88,2604.103
2020-06-22,23.954,-4969.28,106.0,4969.28,1121.48,46.88,2539.129
2020-06-23,24.119,-4969.28,106.0,4969.28,1121.48,46.88,2556.662
2020-06-24,23.166,-4969.28,106.0,4969.28,1121.48,46.88,2455.592
2020-06-25,24.051,-4969.28,106.0,4969.28,1121.48,46.88,2549.442
2020-06-26,22.524,-4969.28,106.0,4969.28,1121.48,46.88,2387.524
2020-06-29,22.757,-4969.28,106.0,4969.28,1121.48,46.88,2412.276
2020-06-30,23.108,-4969.28,106.0,4969.28,1121.48,46.88,2449.403
2020-07-01,22.631,-4969.28,106.0,4969.28,1121.48,46.88,2398.868
2020-07-02,22.66,-4969.28,106.0,4969.28,1121.48,46.88,2401.962
2020-07-06,23.02,-4969.28,106.0,4969.28,1121.48,46.88,2440.121
2020-07-07,22.388,-4969.28,106.0,4969.28,1121.48,46.88,2373.085
2020-07-08,22.475,-4969.28,106.0,4969.28,1121.48,46.88,2382.367
2020-07-09,22.154,-4969.28,106.0,4969.28,1121.48,46.88,2348.333
2020-07-10,23.37,-4969.28,106.0,4969.28,1121.48,46.88,2477.249
2020-07-13,23.536,-4969.28,106.0,4969.28,1121.48,46.88,2494.782
2020-07-14,23.487,-4969.28,106.0,4969.28,1121.48,46.88,2489.625
2020-07-15,23.935,-4969.28,106.0,4969.28,1121.48,46.88,2537.066
2020-07-16,23.283,-4969.28,106.0,4969.28,1121.48,46.88,2467.967
2020-07-17,22.592,-4969.28,106.0,4969.28,1121.48,46.88,2394.743
2020-07-20,22.942,-4969.28,106.0,4969.28,1121.48,46.88,2431.871
2020-07-21,23.759,-4969.28,106.0,4969.28,1121.48,46.88,2518.503
2020-07-22,23.652,-4969.28,106.0,4969.28,1121.48,46.88,2507.158
2020-07-23,23.876,-4969.28,106.0,4969.28,1121.48,46.88,2530.879
2020-07-24,23.691,-4969.28,106.0,4969.28,1121.48,46.88,2511.283
2020-07-27,23.487,-4969.28,106.0,4969.28,1121.48,46.88,2489.625
2020-07-28,23.701,-4969.28,106.0,4969.28,1121.48,46.88,2512.315
2020-07-29,24.586,-4969.28,106.0,4969.28,1121.48,46.88,2606.166
2020-07-30,24.168,-4969.28,106.0,4969.28,1121.48,46.88,2561.818
2020-07-31,24.207,-4969.28,106.0,4969.28,1121.48,46.88,2565.943
2020-08-03,24.314,-4969.28,106.0,4969.28,1121.48,46.88,2577.288
2020-08-04,24.333,-4969.28,106.0,4969.28,1121.48,46.88,2579.351
2020-08-05,24.703,-4969.28,106.0,4969.28,1121.48,46.88,2618.541
2020-08-06,24.781,-4969.28,106.0,4969.28,1121.48,46.88,2626.792
2020-08-07,25.404,-4969.28,106.0,4969.28,1121.48,46.88,2692.797
2020-08-10,25.842,-4969.28,106.0,4969.28,1121.48,46.88,2739.207
2020-08-11,26.192,-4969.28,106.0,4969.28,1121.48,46.88,2776.335
2020-08-12,26.007,-4969.28,106.0,4969.28,1121.48,46.88,2756.739
2020-08-13,25.637,-4969.28,106.0,4969.28,1121.48,46.88,2717.549
2020-08-14,25.754,-4969.28,106.0,4969.28,1121.48,46.88,2729.925
2020-08-17,25.199,-4969.28,106.0,4969.28,1121.48,46.88,2671.139
2020-08-18,24.839,-4969.28,106.0,4969.28,1121.48,46.88,2632.98
2020-08-19,24.81,-4969.28,106.0,4969.28,1121.48,46.88,2629.886
2020-08-20,24.421,-4969.28,106.0,4969.28,1121.48,46.88,2588.633
2020-08-21,24.304,-4969.28,106.0,4969.28,1121.48,46.88,2576.257
2020-08-24,24.995,-4969.28,106.0,4969.28,1121.48,46.88,2649.481
2020-08-25,25.297,-4969.28,106.0,4969.28,1121.48,46.88,2681.452
2020-08-26,24.869,-4969.28,106.0,4969.28,1121.48,46.88,2636.074
2020-08-27,25.345,-4969.28,106.0,4969.28,1121.48,46.88,2686.609
2020-08-28,25.589,-4969.28,106.0,4969.28,1121.48,46.88,2712.392
2020-08-31,25.044,-4969.28,106.0,4969.28,1121.48,46.88,2654.638
2020-09-01,25.015,-4969.28,106.0,4969.28,1121.48,46.88,2651.544
2020-09-02,25.316,-4969.28,106.0,4969.28,1121.48,46.88,2683.515
2020-09-03,25.14,-4969.28,106.0,4969.28,1121.48,46.88,2664.822
2020-09-04,26.002,-4969.28,106.0,4969.28,1121.48,46.88,2756.211
2020-09-08,24.963,-4969.28,106.0,4969.28,1121.48,46.88,2646.128
2020-09-09,24.993,-4969.28,106.0,4969.28,1121.48,46.88,2649.244
2020-09-10,24.63,-4969.28,106.0,4969.28,1121.48,46.88,2610.819
2020-09-11,24.983,-4969.28,106.0,4969.28,1121.48,46.88,2648.205
2020-09-14,25.228,-4969.28,106.0,4969.28,1121.48,46.88,2674.168
2020-09-15,24.768,-4969.28,106.0,4969.28,1121.48,46.88,2625.358
2020-09-16,25.081,-4969.28,106.0,4969.28,1121.48,46.88,2658.591
2020-09-17,24.836,-4969.28,106.0,4969.28,1121.48,46.88,2632.628
2020-09-18,24.699,-4969.28,106.0,4969.28,1121.48,46.88,2618.088
2020-09-21,23.974,-4969.28,106.0,4969.28,1121.48,46.88,2541.239
2020-09-22,23.455,-4969.28,106.0,4969.28,1121.48,46.88,2486.198
2020-09-23,22.788,-4969.28,106.0,4969.28,1121.48,46.88,2415.579
2020-09-24,22.867,-4969.28,106.0,4969.28,1121.48,46.88,2423.887
2020-09-25,23.014,-4969.28,106.0,4969.28,1121.48,46.88,2439.465
2020-09-28,23.602,-4969.28,106.0,4969.28,1121.48,46.88,2501.775
2020-09-29,23.288,-4969.28,106.0,4969.28,1121.48,46.88,2468.543
2020-09-30,23.602,-4969.28,106.0,4969.28,1121.48,46.88,2501.775
2020-10-01,23.611,-4969.28,106.0,4969.28,1121.48,46.88,2502.814
2020-10-02,23.719,-4969.28,106.0,4969.28,1121.48,46.88,2514.237
2020-10-05,24.121,-4969.28,106.0,4969.28,1121.48,46.88,2556.816
2020-10-06,23.876,-4969.28,106.0,4969.28,1121.48,46.88,2530.854
2020-10-07,24.376,-4969.28,106.0,4969.28,1121.48,46.88,2583.818
2020-10-08,24.728,-4969.28,106.0,4969.28,1121.48,46.88,2621.204
2020-10-09,24.846,-4969.28,106.0,4969.28,1121.48,46.88,2633.666
2020-10-12,25.159,-4969.28,106.0,4969.28,1121.48,46.88,2666.899
2020-10-13,24.444,-4969.28,106.0,4969.28,1121.48,46.88,2591.087
2020-10-14,23.141,-4969.28,106.0,4969.28,1121.48,46.88,2452.965
2020-10-15,23.66,-4969.28,106.0,4969.28,1121.48,46.88,2508.006
2020-10-16,23.749,-4969.28,106.0,4969.28,1121.48,46.88,2517.353
2020-10-19,23.239,-4969.28,106.0,4969.28,1121.48,46.88,2463.35
2020-10-20,23.651,-4969.28,106.0,4969.28,1121.48,46.88,2506.968
2020-10-21,23.562,-4969.28,106.0,4969.28,1121.48,46.88,2497.621
2020-10-22,24.366,-4969.28,106.0,4969.28,1121.48,46.88,2582.779
2020-10-23,24.395,-4969.28,106.0,4969.28,1121.48,46.88,2585.895
2020-10-26,24.043,-4969.28,106.0,4969.28,1121.48,46.88,2548.508
2020-10-27,23.367,-4969.28,106.0,4969.28,1121.48,46.88,2476.851
2020-10-28,22.994,-4969.28,106.0,4969.28,1121.48,46.88,2437.387
2020-10-29,23.063,-4969.28,106.0,4969.28,1121.48,46.88,2444.657
2020-10-30,23.22,-4969.28,106.0,4969.28,1121.48,46.88,2461.273
2020-11-02,23.592,-4969.28,106.0,4969.28,1121.48,46.88,2500.737
2020-11-03,24.189,-4969.28,106.0,4969.28,1121.48,46.88,2564.086
2020-11-04,23.2,-4969.28,106.0,4969.28,1121.48,46.88,2459.196
2020-11-05,24.111,-4969.28,106.0,4969.28,1121.48,46.88,2555.778
2020-11-06,23.817,-4969.28,106.0,4969.28,1121.48,46.88,2524.623
2020-11-09,27.197,-4969.28,106.0,4969.28,1121.48,46.88,2882.909
2020-11-10,27.099,-4969.28,106.0,4969.28,1121.48,46.88,2872.524
2020-11-11,26.786,-4969.28,106.0,4969.28,1121.48,46.88,2839.292
2020-11-12,26.149,-4969.28,106.0,4969.28,1121.48,46.88,2771.789
2020-11-13,26.453,-4969.28,106.0,4969.28,1121.48,46.88,2803.983
2020-11-16,27.021,-4969.28,106.0,4969.28,1121.48,46.88,2864.216
2020-11-17,26.992,-4969.28,106.0,4969.28,1121.48,46.88,2861.101
2020-11-18,26.433,-4969.28,106.0,4969.28,1121.48,46.88,2801.905
2020-11-19,26.433,-4969.28,106.0,4969.28,1121.48,46.88,2801.905
2020-11-20,26.267,-4969.28,106.0,4969.28,1121.48,46.88,2784.25
2020-11-23,26.835,-4969.28,106.0,4969.28,1121.48,46.88,2844.484
2020-11-24,28.393,-4969.28,106.0,4969.28,1121.48,46.88,3009.608
2020-11-25,28.442,-4969.28,106.0,4969.28,1121.48,46.88,3014.8
2020-11-27,28.402,-4969.28,106.0,4969.28,1121.48,46.88,3010.646
2020-11-30,27.589,-4969.28,106.0,4969.28,1121.48,46.88,2924.45
2020-12-01,28.108,-4969.28,106.0,4969.28,1121.48,46.88,2979.491
2020-12-02,28.471,-4969.28,106.0,4969.28,1121.48,46.88,3017.916
2020-12-03,28.5,-4969.28,106.0,4969.28,1121.48,46.88,3021.051
2020-12-04,28.875,-4969.28,106.0,4969.28,1121.48,46.88,3060.76
2020-12-07,28.678,-4969.28,106.0,4969.28,1121.48,46.88,3039.86
2020-12-08,28.52,-4969.28,106.0,4969.28,1121.48,46.88,3023.141
2020-12-09,28.392,-4969.28,106.0,4969.28,1121.48,46.88,3009.556
2020-12-10,28.698,-4969.28,106.0,4969.28,1121.48,46.88,3041.95
2020-12-11,28.165,-4969.28,106.0,4969.28,1121.48,46.88,2985.521
2020-12-14,27.82,-4969.28,106.0,4969.28,1121.48,46.88,2948.946
2020-12-15,28.234,-4969.28,106.0,4969.28,1121.48,46.88,2992.836
2020-12-16,28.313,-4969.28,106.0,4969.28,1121.48,46.88,3001.196
2020-12-17,28.422,-4969.28,106.0,4969.28,1121.48,46.88,3012.691
2020-12-18,28.264,-4969.28,106.0,4969.28,1121.48,46.88,2995.971
2020-12-21,29.319,-4969.28,106.0,4969.28,1121.48,46.88,3107.784
2020-12-22,28.796,-4969.28,106.0,4969.28,1121.48,46.88,3052.4
2020-12-23,29.624,-4969.28,106.0,4969.28,1121.48,46.88,3140.179
