date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-11-13,21.887,-4996.939,312.5,4996.939,0.0,15.99,6839.572,3.49,-4999.02,2500.0,4999.02,0.0,2.0,8725.0,9.866,-4998.737,1250.0,4998.737,0.0,3.999,12332.354,15.03,-4997.3,625.0,4997.3,0.0,7.996,9393.75,13.45,-4998.0,833.333,4998.0,0.0,5.998,11208.333
2019-11-14,22.102,-4996.939,312.5,4996.939,0.0,15.99,6906.984,3.26,-4999.02,2500.0,4999.02,0.0,2.0,8150.0,11.305,-4998.737,1250.0,4998.737,0.0,3.999,14131.047,14.84,-4997.3,625.0,4997.3,0.0,7.996,9275.0,13.4,-4998.0,833.333,4998.0,0.0,5.998,11166.666
2019-11-15,22.147,-4996.939,312.5,4996.939,0.0,15.99,6921.028,3.41,-4999.02,2500.0,4999.02,0.0,2.0,8525.0,10.796,-4998.737,1250.0,4998.737,0.0,3.999,13495.58,14.71,-4997.3,625.0,4997.3,0.0,7.996,9193.75,13.45,-4998.0,833.333,4998.0,0.0,5.998,11208.333
2019-11-18,22.075,-4996.939,312.5,4996.939,0.0,15.99,6898.558,3.26,-4999.02,2500.0,4999.02,0.0,2.0,8150.0,11.494,-4998.737,1250.0,4998.737,0.0,3.999,14368.0,14.18,-4997.3,625.0,4997.3,0.0,7.996,8862.5,12.95,-4998.0,833.333,4998.0,0.0,5.998,10791.667
2019-11-19,22.003,-4996.939,312.5,4996.939,0.0,15.99,6876.087,3.14,-4999.02,2500.0,4999.02,0.0,2.0,7850.0,12.692,-4998.737,1250.0,4998.737,0.0,3.999,15865.115,14.03,-4997.3,625.0,4997.3,0.0,7.996,8768.75,12.95,-4998.0,833.333,4998.0,0.0,5.998,10791.667
2019-11-20,22.201,-4996.939,312.5,4996.939,0.0,15.99,6937.882,3.05,-4999.02,2500.0,4999.02,0.0,2.0,7625.0,12.192,-4998.737,1250.0,4998.737,0.0,3.999,15240.419,14.24,-4997.3,625.0,4997.3,0.0,7.996,8900.0,12.95,-4998.0,833.333,4998.0,0.0,5.998,10791.667
2019-11-21,21.887,-4996.939,312.5,4996.939,0.0,15.99,6839.572,3.08,-4999.02,2500.0,4999.02,0.0,2.0,7700.0,11.649,-4998.737,1250.0,4998.737,0.0,3.999,14561.871,14.48,-4997.3,625.0,4997.3,0.0,7.996,9050.0,12.4,-4998.0,833.333,4998.0,0.0,5.998,10333.333
2019-11-22,21.86,-4996.939,312.5,4996.939,0.0,15.99,6831.145,3.21,-4999.02,2500.0,4999.02,0.0,2.0,8025.0,11.072,-4998.737,1250.0,4998.737,0.0,3.999,13840.24,14.67,-4997.3,625.0,4997.3,0.0,7.996,9168.75,12.43,-4998.0,833.333,4998.0,0.0,5.998,10358.334
2019-11-25,22.003,-4996.939,312.5,4996.939,0.0,15.99,6876.087,3.06,-4999.02,2500.0,4999.02,0.0,2.0,7650.0,10.848,-4998.737,1250.0,4998.737,0.0,3.999,13560.203,14.86,-4997.3,625.0,4997.3,0.0,7.996,9287.5,11.45,-4998.0,833.333,4998.0,0.0,5.998,9541.667
2019-11-26,22.111,-4996.939,312.5,4996.939,0.0,15.99,6909.794,3.05,-4999.02,2500.0,4999.02,0.0,2.0,7625.0,9.943,-4998.737,1250.0,4998.737,0.0,3.999,12429.289,14.7,-4997.3,625.0,4997.3,0.0,7.996,9187.5,11.45,-4998.0,833.333,4998.0,0.0,5.998,9541.667
