date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue
2019-06-24,168.1,-4933.95,37.0,4933.95,2776.11,133.35,6219.7
2019-06-25,165.8,-4933.95,37.0,4933.95,2776.11,133.35,6134.6
2019-06-26,168.99,-4933.95,37.0,4933.95,2776.11,133.35,6252.63
2019-06-27,170.9,-4933.95,37.0,4933.95,2776.11,133.35,6323.3
2019-06-28,169.45,-4933.95,37.0,4933.95,2776.11,133.35,6269.65
2019-07-01,175.05,-4933.95,37.0,4933.95,2776.11,133.35,6476.85
2019-07-02,175.45,-4933.95,37.0,4933.95,2776.11,133.35,6491.65
2019-07-03,174.67,-4933.95,37.0,4933.95,2776.11,133.35,6462.79
2019-07-05,173.3,-4933.95,37.0,4933.95,2776.11,133.35,6412.1
2019-07-08,168.45,-4933.95,37.0,4933.95,2776.11,133.35,6232.65
2019-07-09,168.8,-4933.95,37.0,4933.95,2776.11,133.35,6245.6
2019-07-10,166.93,-4933.95,37.0,4933.95,2776.11,133.35,6176.41
2019-07-11,166.55,-4933.95,37.0,4933.95,2776.11,133.35,6162.35
2019-07-12,169.07,-4933.95,37.0,4933.95,2776.11,133.35,6255.59
2019-07-15,173.5,-4933.95,37.0,4933.95,2776.11,133.35,6419.5
2019-07-16,174.19,-4933.95,37.0,4933.95,2776.11,133.35,6445.03
2019-07-17,174.82,-4933.95,37.0,4933.95,2776.11,133.35,6468.34
2019-07-18,172.8,-4933.95,37.0,4933.95,2776.11,133.35,6393.6
2019-07-19,172.99,-4933.95,37.0,4933.95,2776.11,133.35,6400.63
2019-07-22,174.0,-4933.95,37.0,4933.95,2776.11,133.35,6438.0
2019-07-23,178.09,-4933.95,37.0,4933.95,2776.11,133.35,6589.33
2019-07-24,178.67,-4933.95,37.0,4933.95,2776.11,133.35,6610.79
2019-07-25,177.29,-4933.95,37.0,4933.95,2776.11,133.35,6559.73
2019-07-26,178.74,-4933.95,37.0,4933.95,2776.11,133.35,6613.38
2019-07-29,177.02,-4933.95,37.0,4933.95,2776.11,133.35,6549.74
2019-07-30,174.1,-4933.95,37.0,4933.95,2776.11,133.35,6441.7
2019-07-31,173.11,-4933.95,37.0,4933.95,2776.11,133.35,6405.07
2019-08-01,165.65,-4933.95,37.0,4933.95,2776.11,133.35,6129.05
2019-08-02,161.0,-4933.95,37.0,4933.95,2776.11,133.35,5957.0
2019-08-05,153.67,-4933.95,37.0,4933.95,2776.11,133.35,5685.79
2019-08-06,157.43,-4933.95,37.0,4933.95,2776.11,133.35,5824.91
2019-08-07,159.17,-4933.95,37.0,4933.95,2776.11,133.35,5889.29
2019-08-08,162.22,-4933.95,37.0,4933.95,2776.11,133.35,6002.14
2019-08-09,159.12,-4933.95,37.0,4933.95,2776.11,133.35,5887.44
2019-08-12,159.31,-4933.95,37.0,4933.95,2776.11,133.35,5894.47
2019-08-13,164.03,-4933.95,37.0,4933.95,2776.11,133.35,6069.11
2019-08-14,162.06,-4933.95,37.0,4933.95,2776.11,133.35,5996.22
2019-08-15,166.97,-4933.95,37.0,4933.95,2776.11,133.35,6177.89
2019-08-16,174.6,-4933.95,37.0,4933.95,2776.11,133.35,6460.2
2019-08-19,178.28,-4933.95,37.0,4933.95,2776.11,133.35,6596.36
2019-08-20,177.21,-4933.95,37.0,4933.95,2776.11,133.35,6556.77
2019-08-21,175.24,-4933.95,37.0,4933.95,2776.11,133.35,6483.88
2019-08-22,171.91,-4933.95,37.0,4933.95,2776.11,133.35,6360.67
2019-08-23,164.54,-4933.95,37.0,4933.95,2776.11,133.35,6087.98
2019-08-26,165.9,-4933.95,37.0,4933.95,2776.11,133.35,6138.3
2019-08-27,166.2,-4933.95,37.0,4933.95,2776.11,133.35,6149.4
2019-08-28,167.48,-4933.95,37.0,4933.95,2776.11,133.35,6196.76
2019-08-29,172.81,-4933.95,37.0,4933.95,2776.11,133.35,6393.97
2019-08-30,175.03,-4933.95,37.0,4933.95,2776.11,133.35,6476.11
2019-09-03,172.41,-4933.95,37.0,4933.95,2776.11,133.35,6379.17
2019-09-04,174.33,-4933.95,37.0,4933.95,2776.11,133.35,6450.21
2019-09-05,178.94,-4933.95,37.0,4933.95,2776.11,133.35,6620.78
2019-09-06,176.69,-4933.95,37.0,4933.95,2776.11,133.35,6537.53
2019-09-09,177.78,-4933.95,37.0,4933.95,2776.11,133.35,6577.86
2019-09-10,174.99,-4933.95,37.0,4933.95,2776.11,133.35,6474.63
2019-09-11,176.09,-4933.95,37.0,4933.95,2776.11,133.35,6515.33
2019-09-12,178.24,-4933.95,37.0,4933.95,2776.11,133.35,6594.88
2019-09-13,179.17,-4933.95,37.0,4933.95,2776.11,133.35,6629.29
2019-09-16,177.07,-4933.95,37.0,4933.95,2776.11,133.35,6551.59
2019-09-17,179.0,-4933.95,37.0,4933.95,2776.11,133.35,6623.0
2019-09-18,180.0,-4933.95,37.0,4933.95,2776.11,133.35,6660.0
2019-09-19,180.46,-4933.95,37.0,4933.95,2776.11,133.35,6677.02
2019-09-20,182.51,-4933.95,37.0,4933.95,2776.11,133.35,6752.87
2019-09-23,176.98,-4933.95,37.0,4933.95,2776.11,133.35,6548.26
2019-09-24,171.55,-4933.95,37.0,4933.95,2776.11,133.35,6347.35
2019-09-25,176.66,-4933.95,37.0,4933.95,2776.11,133.35,6536.42
2019-09-26,175.0,-4933.95,37.0,4933.95,2776.11,133.35,6475.0
2019-09-27,165.98,-4933.95,37.0,4933.95,2776.11,133.35,6141.26
2019-09-30,167.23,-4933.95,37.0,4933.95,2776.11,133.35,6187.51
2019-10-01,165.15,-4933.95,37.0,4933.95,2776.11,133.35,6110.55
2019-10-02,165.77,-4933.95,37.0,4933.95,2776.11,133.35,6133.49
2019-10-03,169.48,-4933.95,37.0,4933.95,2776.11,133.35,6270.76
