date,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-06-28,6.531,-4998.737,1250.0,4998.737,0.0,3.999,8164.126
2019-07-01,6.505,-4998.737,1250.0,4998.737,0.0,3.999,8131.814
2019-07-02,6.35,-4998.737,1250.0,4998.737,0.0,3.999,7937.943
2019-07-03,6.928,-4998.737,1250.0,4998.737,0.0,3.999,8659.574
2019-07-05,6.695,-4998.737,1250.0,4998.737,0.0,3.999,8368.767
2019-07-08,6.669,-4998.737,1250.0,4998.737,0.0,3.999,8336.455
2019-07-09,6.747,-4998.737,1250.0,4998.737,0.0,3.999,8433.391
2019-07-10,6.686,-4998.737,1250.0,4998.737,0.0,3.999,8357.997
2019-07-11,6.686,-4998.737,1250.0,4998.737,0.0,3.999,8357.997
2019-07-12,6.281,-4998.737,1250.0,4998.737,0.0,3.999,7851.778
2019-07-15,6.195,-4998.737,1250.0,4998.737,0.0,3.999,7744.072
2019-07-16,6.169,-4998.737,1250.0,4998.737,0.0,3.999,7711.76
2019-07-17,6.221,-4998.737,1250.0,4998.737,0.0,3.999,7776.383
2019-07-18,6.195,-4998.737,1250.0,4998.737,0.0,3.999,7744.072
2019-07-19,6.152,-4998.737,1250.0,4998.737,0.0,3.999,7690.219
2019-07-22,6.221,-4998.737,1250.0,4998.737,0.0,3.999,7776.383
2019-07-23,6.109,-4998.737,1250.0,4998.737,0.0,3.999,7636.366
2019-07-24,5.911,-4998.737,1250.0,4998.737,0.0,3.999,7388.642
2019-07-25,6.247,-4998.737,1250.0,4998.737,0.0,3.999,7808.695
2019-07-26,6.083,-4998.737,1250.0,4998.737,0.0,3.999,7604.054
2019-07-29,5.971,-4998.737,1250.0,4998.737,0.0,3.999,7464.036
2019-07-30,5.997,-4998.737,1250.0,4998.737,0.0,3.999,7496.347
2019-07-31,6.066,-4998.737,1250.0,4998.737,0.0,3.999,7582.512
2019-08-01,6.273,-4998.737,1250.0,4998.737,0.0,3.999,7841.008
2019-08-02,6.29,-4998.737,1250.0,4998.737,0.0,3.999,7862.549
2019-08-05,5.954,-4998.737,1250.0,4998.737,0.0,3.999,7442.495
2019-08-06,5.997,-4998.737,1250.0,4998.737,0.0,3.999,7496.347
2019-08-07,6.092,-4998.737,1250.0,4998.737,0.0,3.999,7614.825
2019-08-08,6.221,-4998.737,1250.0,4998.737,0.0,3.999,7776.383
2019-08-09,6.109,-4998.737,1250.0,4998.737,0.0,3.999,7636.366
2019-08-12,6.178,-4998.737,1250.0,4998.737,0.0,3.999,7722.53
2019-08-13,6.376,-4998.737,1250.0,4998.737,0.0,3.999,7970.255
2019-08-14,6.661,-4998.737,1250.0,4998.737,0.0,3.999,8325.685
2019-08-15,6.686,-4998.737,1250.0,4998.737,0.0,3.999,8357.997
2019-08-16,7.022,-4998.737,1250.0,4998.737,0.0,3.999,8778.051
2019-08-19,7.427,-4998.737,1250.0,4998.737,0.0,3.999,9284.27
2019-08-20,6.971,-4998.737,1250.0,4998.737,0.0,3.999,8713.427
2019-08-21,7.091,-4998.737,1250.0,4998.737,0.0,3.999,8864.215
2019-08-22,7.41,-4998.737,1250.0,4998.737,0.0,3.999,9262.729
2019-08-23,7.083,-4998.737,1250.0,4998.737,0.0,3.999,8853.446
2019-08-26,6.936,-4998.737,1250.0,4998.737,0.0,3.999,8670.345
2019-08-27,6.885,-4998.737,1250.0,4998.737,0.0,3.999,8605.72
2019-08-28,6.893,-4998.737,1250.0,4998.737,0.0,3.999,8616.492
2019-08-29,6.997,-4998.737,1250.0,4998.737,0.0,3.999,8745.739
2019-08-30,7.195,-4998.737,1250.0,4998.737,0.0,3.999,8993.464
2019-09-03,7.324,-4998.737,1250.0,4998.737,0.0,3.999,9155.023
2019-09-04,7.307,-4998.737,1250.0,4998.737,0.0,3.999,9133.481
2019-09-05,7.402,-4998.737,1250.0,4998.737,0.0,3.999,9251.958
2019-09-06,7.591,-4998.737,1250.0,4998.737,0.0,3.999,9488.912
2019-09-09,7.669,-4998.737,1250.0,4998.737,0.0,3.999,9585.847
2019-09-10,7.763,-4998.737,1250.0,4998.737,0.0,3.999,9704.324
2019-09-11,7.755,-4998.737,1250.0,4998.737,0.0,3.999,9693.553
2019-09-12,7.815,-4998.737,1250.0,4998.737,0.0,3.999,9768.947
2019-09-13,8.358,-4998.737,1250.0,4998.737,0.0,3.999,10447.496
2019-09-16,8.263,-4998.737,1250.0,4998.737,0.0,3.999,10329.019
2019-09-17,8.289,-4998.737,1250.0,4998.737,0.0,3.999,10361.331
2019-09-18,8.28,-4998.737,1250.0,4998.737,0.0,3.999,10350.56
2019-09-19,8.289,-4998.737,1250.0,4998.737,0.0,3.999,10361.331
2019-09-20,8.298,-4998.737,1250.0,4998.737,0.0,3.999,10372.102
2019-09-23,8.927,-4998.737,1250.0,4998.737,0.0,3.999,11158.357
2019-09-24,8.651,-4998.737,1250.0,4998.737,0.0,3.999,10813.696
2019-09-25,8.931,-4998.737,1250.0,4998.737,0.0,3.999,11163.741
2019-09-26,8.5,-4998.737,1250.0,4998.737,0.0,3.999,10625.211
2019-09-27,8.866,-4998.737,1250.0,4998.737,0.0,3.999,11082.963
2019-09-30,9.013,-4998.737,1250.0,4998.737,0.0,3.999,11266.062
2019-10-01,8.737,-4998.737,1250.0,4998.737,0.0,3.999,10921.403
2019-10-02,7.996,-4998.737,1250.0,4998.737,0.0,3.999,9995.13
2019-10-03,8.022,-4998.737,1250.0,4998.737,0.0,3.999,10027.442
2019-10-04,7.712,-4998.737,1250.0,4998.737,0.0,3.999,9639.699
2019-10-07,7.807,-4998.737,1250.0,4998.737,0.0,3.999,9758.177
2019-10-08,7.746,-4998.737,1250.0,4998.737,0.0,3.999,9682.782
2019-10-09,7.178,-4998.737,1250.0,4998.737,0.0,3.999,8971.922
2019-10-10,7.393,-4998.737,1250.0,4998.737,0.0,3.999,9241.187
2019-10-11,7.436,-4998.737,1250.0,4998.737,0.0,3.999,9295.04
2019-10-14,7.358,-4998.737,1250.0,4998.737,0.0,3.999,9198.105
2019-10-15,7.557,-4998.737,1250.0,4998.737,0.0,3.999,9445.829
2019-10-16,7.608,-4998.737,1250.0,4998.737,0.0,3.999,9510.453
2019-10-17,7.841,-4998.737,1250.0,4998.737,0.0,3.999,9801.26
2019-10-18,8.1,-4998.737,1250.0,4998.737,0.0,3.999,10124.377
2019-10-21,8.436,-4998.737,1250.0,4998.737,0.0,3.999,10544.431
