date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,GOOGL_adj_close,GOOGL_cashflow,GOOGL_cml_units,GOOGL_cml_cost,GOOGL_gain_loss,GOOGL_avg_price,GOOGL_mktvalue
2020-06-19,86.845,-453.84,3.0,453.84,101.932,151.28,260.535,1424.64,-8931.12,3.0,8931.12,883.29,2977.04,4273.92
2020-06-22,89.117,-453.84,3.0,453.84,101.932,151.28,267.351,1450.66,-8931.12,3.0,8931.12,883.29,2977.04,4351.98
2020-06-23,91.019,-453.84,3.0,453.84,101.932,151.28,273.058,1463.98,-8931.12,3.0,8931.12,883.29,2977.04,4391.94
2020-06-24,89.413,-453.84,3.0,453.84,101.932,151.28,268.238,1432.7,-8931.12,3.0,8931.12,883.29,2977.04,4298.1
2020-06-25,90.6,-453.84,3.0,453.84,101.932,151.28,271.799,1441.1,-8931.12,3.0,8931.12,883.29,2977.04,4323.3
2020-06-26,87.816,-453.84,3.0,453.84,101.932,151.28,263.447,1362.54,-8931.12,3.0,8931.12,883.29,2977.04,4087.62
2020-06-29,89.84,-453.84,3.0,453.84,101.932,151.28,269.519,1397.17,-8931.12,3.0,8931.12,883.29,2977.04,4191.51
2020-06-30,90.59,-453.84,3.0,453.84,101.932,151.28,271.769,1418.05,-8931.12,3.0,8931.12,883.29,2977.04,4254.15
2020-07-01,90.418,-453.84,3.0,453.84,101.932,151.28,271.255,1442.0,-8931.12,3.0,8931.12,883.29,2977.04,4326.0
2020-07-02,90.418,-453.84,3.0,453.84,101.932,151.28,271.255,1469.93,-8931.12,3.0,8931.12,883.29,2977.04,4409.79
2020-07-06,92.837,-453.84,3.0,453.84,101.932,151.28,278.511,1499.65,-8931.12,3.0,8931.12,883.29,2977.04,4498.95
2020-07-07,92.549,-453.84,3.0,453.84,101.932,151.28,277.647,1489.92,-8931.12,3.0,8931.12,883.29,2977.04,4469.76
2020-07-08,94.704,-453.84,3.0,453.84,101.932,151.28,284.113,1503.6,-8931.12,3.0,8931.12,883.29,2977.04,4510.8
2020-07-09,95.112,-453.84,3.0,453.84,101.932,151.28,285.335,1518.66,-8931.12,3.0,8931.12,883.29,2977.04,4555.98
2020-07-10,95.278,-453.84,3.0,453.84,101.932,151.28,285.834,1539.01,-8931.12,3.0,8931.12,883.29,2977.04,4617.03
2020-07-13,94.838,-453.84,3.0,453.84,101.932,151.28,284.515,1512.23,-8931.12,3.0,8931.12,883.29,2977.04,4536.69
2020-07-14,96.408,-453.84,3.0,453.84,101.932,151.28,289.224,1520.86,-8931.12,3.0,8931.12,883.29,2977.04,4562.58
2020-07-15,97.071,-453.84,3.0,453.84,101.932,151.28,291.213,1516.88,-8931.12,3.0,8931.12,883.29,2977.04,4550.64
2020-07-16,95.876,-453.84,3.0,453.84,101.932,151.28,287.629,1514.92,-8931.12,3.0,8931.12,883.29,2977.04,4544.76
2020-07-17,95.683,-453.84,3.0,453.84,101.932,151.28,287.048,1516.85,-8931.12,3.0,8931.12,883.29,2977.04,4550.55
2020-07-20,97.699,-453.84,3.0,453.84,101.932,151.28,293.098,1563.84,-8931.12,3.0,8931.12,883.29,2977.04,4691.52
2020-07-21,96.351,-453.84,3.0,453.84,101.932,151.28,289.052,1555.92,-8931.12,3.0,8931.12,883.29,2977.04,4667.76
2020-07-22,96.621,-453.84,3.0,453.84,101.932,151.28,289.864,1564.85,-8931.12,3.0,8931.12,883.29,2977.04,4694.55
2020-07-23,92.224,-453.84,3.0,453.84,101.932,151.28,276.671,1516.75,-8931.12,3.0,8931.12,883.29,2977.04,4550.25
2020-07-24,91.995,-453.84,3.0,453.84,101.932,151.28,275.985,1508.21,-8931.12,3.0,8931.12,883.29,2977.04,4524.63
2020-07-27,94.175,-453.84,3.0,453.84,101.932,151.28,282.526,1529.43,-8931.12,3.0,8931.12,883.29,2977.04,4588.29
2020-07-28,92.628,-453.84,3.0,453.84,101.932,151.28,277.885,1503.65,-8931.12,3.0,8931.12,883.29,2977.04,4510.95
2020-07-29,94.404,-453.84,3.0,453.84,101.932,151.28,283.212,1523.51,-8931.12,3.0,8931.12,883.29,2977.04,4570.53
2020-07-30,95.546,-453.84,3.0,453.84,101.932,151.28,286.639,1538.37,-8931.12,3.0,8931.12,883.29,2977.04,4615.11
2020-07-31,105.549,-453.84,3.0,453.84,101.932,151.28,316.646,1487.95,-8931.12,3.0,8931.12,883.29,2977.04,4463.85
2020-08-03,108.208,-453.84,3.0,453.84,101.932,151.28,324.625,1482.76,-8931.12,3.0,8931.12,883.29,2977.04,4448.28
2020-08-04,108.931,-453.84,3.0,453.84,101.932,151.28,326.793,1473.3,-8931.12,3.0,8931.12,883.29,2977.04,4419.9
