date,MAA_adj_close,MAA_cashflow,MAA_cml_units,MAA_cml_cost,MAA_gain_loss,MAA_avg_price,MAA_mktvalue
2019-06-24,110.27,-4920.96,24.0,4920.96,867.84,205.04,2646.487
2019-06-25,108.999,-4920.96,24.0,4920.96,867.84,205.04,2615.972
2019-06-26,107.078,-4920.96,24.0,4920.96,867.84,205.04,2569.867
2019-06-27,107.95,-4920.96,24.0,4920.96,867.84,205.04,2590.804
2019-06-28,109.287,-4920.96,24.0,4920.96,867.84,205.04,2622.877
2019-07-01,110.001,-4920.96,24.0,4920.96,867.84,205.04,2640.027
2019-07-02,111.876,-4920.96,24.0,4920.96,867.84,205.04,2685.019
2019-07-03,112.822,-4920.96,24.0,4920.96,867.84,205.04,2707.738
2019-07-05,112.535,-4920.96,24.0,4920.96,867.84,205.04,2700.833
2019-07-08,113.351,-4920.96,24.0,4920.96,867.84,205.04,2720.433
2019-07-09,113.667,-4920.96,24.0,4920.96,867.84,205.04,2728.006
2019-07-10,114.669,-4920.96,24.0,4920.96,867.84,205.04,2752.061
2019-07-11,113.184,-4920.96,24.0,4920.96,867.84,205.04,2716.424
2019-07-12,112.904,-4920.96,24.0,4920.96,867.84,205.04,2709.689
2019-07-15,113.138,-4920.96,24.0,4920.96,867.84,205.04,2715.302
2019-07-16,113.25,-4920.96,24.0,4920.96,867.84,205.04,2717.996
2019-07-17,113.035,-4920.96,24.0,4920.96,867.84,205.04,2712.832
2019-07-18,113.596,-4920.96,24.0,4920.96,867.84,205.04,2726.302
2019-07-19,111.36,-4920.96,24.0,4920.96,867.84,205.04,2672.647
2019-07-22,110.752,-4920.96,24.0,4920.96,867.84,205.04,2658.055
2019-07-23,111.454,-4920.96,24.0,4920.96,867.84,205.04,2674.892
2019-07-24,111.024,-4920.96,24.0,4920.96,867.84,205.04,2664.565
2019-07-25,110.967,-4920.96,24.0,4920.96,867.84,205.04,2663.218
2019-07-26,111.07,-4920.96,24.0,4920.96,867.84,205.04,2665.688
2019-07-29,111.482,-4920.96,24.0,4920.96,867.84,205.04,2675.566
