date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2021-04-14,28.188,-4996.939,312.5,4996.939,0.0,15.99,8808.751,30.862,-4996.558,263.158,4996.558,0.0,18.987,8121.455,32.825,-4968.993,142.857,4968.993,0.0,34.783,4689.229,5.77,-4999.02,2500.0,4999.02,0.0,2.0,14425.0,6.135,-4997.449,1000.0,4997.449,0.0,4.997,6134.792,14.553,-4998.737,1250.0,4998.737,0.0,3.999,18191.568,51.38,-4997.3,625.0,4997.3,0.0,7.996,32112.501,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2021-04-15,28.794,-4996.939,312.5,4996.939,0.0,15.99,8998.187,31.499,-4996.558,263.158,4996.558,0.0,18.987,8289.163,33.412,-4968.993,142.857,4968.993,0.0,34.783,4773.143,5.84,-4999.02,2500.0,4999.02,0.0,2.0,14600.0,6.193,-4997.449,1000.0,4997.449,0.0,4.997,6193.498,14.812,-4998.737,1250.0,4998.737,0.0,3.999,18514.687,50.22,-4997.3,625.0,4997.3,0.0,7.996,31387.501,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2021-04-16,29.273,-4996.939,312.5,4996.939,0.0,15.99,9147.902,31.696,-4996.558,263.158,4996.558,0.0,18.987,8340.953,33.701,-4968.993,142.857,4968.993,0.0,34.783,4814.389,5.75,-4999.02,2500.0,4999.02,0.0,2.0,14375.0,6.262,-4997.449,1000.0,4997.449,0.0,4.997,6261.989,14.484,-4998.737,1250.0,4998.737,0.0,3.999,18105.402,50.61,-4997.3,625.0,4997.3,0.0,7.996,31631.25,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2021-04-19,29.205,-4996.939,312.5,4996.939,0.0,15.99,9126.514,31.499,-4996.558,263.158,4996.558,0.0,18.987,8289.163,32.994,-4968.993,142.857,4968.993,0.0,34.783,4713.407,5.84,-4999.02,2500.0,4999.02,0.0,2.0,14600.0,6.086,-4997.449,1000.0,4997.449,0.0,4.997,6085.871,14.441,-4998.737,1250.0,4998.737,0.0,3.999,18051.55,49.34,-4997.3,625.0,4997.3,0.0,7.996,30837.5,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2021-04-20,29.479,-4996.939,312.5,4996.939,0.0,15.99,9212.065,31.602,-4996.558,263.158,4996.558,0.0,18.987,8316.292,32.217,-4968.993,142.857,4968.993,0.0,34.783,4602.47,5.73,-4999.02,2500.0,4999.02,0.0,2.0,14325.0,6.135,-4997.449,1000.0,4997.449,0.0,4.997,6134.792,14.2,-4998.737,1250.0,4998.737,0.0,3.999,17749.972,47.42,-4997.3,625.0,4997.3,0.0,7.996,29637.499,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2021-04-21,29.85,-4996.939,312.5,4996.939,0.0,15.99,9328.172,31.611,-4996.558,263.158,4996.558,0.0,18.987,8318.758,32.526,-4968.993,142.857,4968.993,0.0,34.783,4646.561,5.85,-4999.02,2500.0,4999.02,0.0,2.0,14625.0,6.135,-4997.449,1000.0,4997.449,0.0,4.997,6134.792,14.493,-4998.737,1250.0,4998.737,0.0,3.999,18116.174,48.96,-4997.3,625.0,4997.3,0.0,7.996,30599.999,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2021-04-22,29.909,-4996.939,312.5,4996.939,0.0,15.99,9346.504,31.536,-4996.558,263.158,4996.558,0.0,18.987,8299.027,31.998,-4968.993,142.857,4968.993,0.0,34.783,4571.18,5.88,-4999.02,2500.0,4999.02,0.0,2.0,14700.0,6.135,-4997.449,1000.0,4997.449,0.0,4.997,6134.792,14.631,-4998.737,1250.0,4998.737,0.0,3.999,18288.503,47.91,-4997.3,625.0,4997.3,0.0,7.996,29943.75,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2021-04-23,30.114,-4996.939,312.5,4996.939,0.0,15.99,9410.667,31.471,-4996.558,263.158,4996.558,0.0,18.987,8281.763,31.481,-4968.993,142.857,4968.993,0.0,34.783,4497.222,5.78,-4999.02,2500.0,4999.02,0.0,2.0,14450.001,6.115,-4997.449,1000.0,4997.449,0.0,4.997,6115.223,14.57,-4998.737,1250.0,4998.737,0.0,3.999,18213.109,50.56,-4997.3,625.0,4997.3,0.0,7.996,31600.001,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2021-04-26,30.222,-4996.939,312.5,4996.939,0.0,15.99,9444.277,31.621,-4996.558,263.158,4996.558,0.0,18.987,8321.223,31.361,-4968.993,142.857,4968.993,0.0,34.783,4480.155,5.86,-4999.02,2500.0,4999.02,0.0,2.0,14650.0,6.135,-4997.449,1000.0,4997.449,0.0,4.997,6134.792,15.07,-4998.737,1250.0,4998.737,0.0,3.999,18837.805,52.56,-4997.3,625.0,4997.3,0.0,7.996,32850.001,7.01,-4998.0,833.333,4998.0,0.0,5.998,5841.667
2021-04-27,30.447,-4996.939,312.5,4996.939,0.0,15.99,9514.551,31.789,-4996.558,263.158,4996.558,0.0,18.987,8365.616,31.729,-4968.993,142.857,4968.993,0.0,34.783,4532.779,6.07,-4999.02,2500.0,4999.02,0.0,2.0,15175.0,6.135,-4997.449,1000.0,4997.449,0.0,4.997,6134.792,15.01,-4998.737,1250.0,4998.737,0.0,3.999,18762.411,51.19,-4997.3,625.0,4997.3,0.0,7.996,31993.749,7.1,-4998.0,833.333,4998.0,0.0,5.998,5916.667
