date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue
2020-11-17,256.8,-4878.3,23.585,4878.3,0.0,206.84,6056.603,41.99,-4964.4,121.951,4964.4,0.0,40.708,5120.732,29.182,-4954.851,96.154,4954.851,0.0,51.53,2805.977,4.779,-4998.686,625.0,4998.686,0.0,7.998,2986.826,12.83,-4997.2,416.667,4997.2,0.0,11.993,5345.833
2020-11-18,255.83,-4878.3,23.585,4878.3,0.0,206.84,6033.726,42.26,-4964.4,121.951,4964.4,0.0,40.708,5153.658,29.803,-4954.851,96.154,4954.851,0.0,51.53,2865.678,4.827,-4998.686,625.0,4998.686,0.0,7.998,3016.635,12.72,-4997.2,416.667,4997.2,0.0,11.993,5300.0
2020-11-19,259.89,-4878.3,23.585,4878.3,0.0,206.84,6129.481,41.44,-4964.4,121.951,4964.4,0.0,40.708,5053.658,29.438,-4954.851,96.154,4954.851,0.0,51.53,2830.616,4.827,-4998.686,625.0,4998.686,0.0,7.998,3016.635,12.09,-4997.2,416.667,4997.2,0.0,11.993,5037.5
2020-11-20,270.74,-4878.3,23.585,4878.3,0.0,206.84,6385.377,41.4,-4964.4,121.951,4964.4,0.0,40.708,5048.781,29.744,-4954.851,96.154,4954.851,0.0,51.53,2859.993,4.922,-4998.686,625.0,4998.686,0.0,7.998,3076.252,12.75,-4997.2,416.667,4997.2,0.0,11.993,5312.5
2020-11-23,270.11,-4878.3,23.585,4878.3,0.0,206.84,6370.519,41.79,-4964.4,121.951,4964.4,0.0,40.708,5096.342,29.951,-4954.851,96.154,4954.851,0.0,51.53,2879.893,5.141,-4998.686,625.0,4998.686,0.0,7.998,3213.373,11.95,-4997.2,416.667,4997.2,0.0,11.993,4979.167
2020-11-24,279.96,-4878.3,23.585,4878.3,0.0,206.84,6602.83,42.47,-4964.4,121.951,4964.4,0.0,40.708,5179.268,30.887,-4954.851,96.154,4954.851,0.0,51.53,2969.919,5.342,-4998.686,625.0,4998.686,0.0,7.998,3338.568,11.61,-4997.2,416.667,4997.2,0.0,11.993,4837.5
2020-11-25,277.72,-4878.3,23.585,4878.3,0.0,206.84,6550.0,43.39,-4964.4,121.951,4964.4,0.0,40.708,5291.463,30.404,-4954.851,96.154,4954.851,0.0,51.53,2923.485,5.246,-4998.686,625.0,4998.686,0.0,7.998,3278.951,12.65,-4997.2,416.667,4997.2,0.0,11.993,5270.833
2020-11-27,276.48,-4878.3,23.585,4878.3,0.0,206.84,6520.755,43.61,-4964.4,121.951,4964.4,0.0,40.708,5318.293,30.345,-4954.851,96.154,4954.851,0.0,51.53,2917.799,5.349,-4998.686,625.0,4998.686,0.0,7.998,3343.056,12.68,-4997.2,416.667,4997.2,0.0,11.993,5283.333
2020-11-30,263.36,-4878.3,23.585,4878.3,0.0,206.84,6211.32,41.59,-4964.4,121.951,4964.4,0.0,40.708,5071.951,30.01,-4954.851,96.154,4954.851,0.0,51.53,2885.579,5.435,-4998.686,625.0,4998.686,0.0,7.998,3396.977,12.38,-4997.2,416.667,4997.2,0.0,11.993,5158.333
2020-12-01,264.01,-4878.3,23.585,4878.3,0.0,206.84,6226.651,42.04,-4964.4,121.951,4964.4,0.0,40.708,5126.829,31.833,-4954.851,96.154,4954.851,0.0,51.53,3060.893,5.627,-4998.686,625.0,4998.686,0.0,7.998,3516.799,12.09,-4997.2,416.667,4997.2,0.0,11.993,5037.5
2020-12-02,261.32,-4878.3,23.585,4878.3,0.0,206.84,6163.208,42.75,-4964.4,121.951,4964.4,0.0,40.708,5213.415,32.464,-4954.851,96.154,4954.851,0.0,51.53,3121.543,5.79,-4998.686,625.0,4998.686,0.0,7.998,3618.649,12.0,-4997.2,416.667,4997.2,0.0,11.993,5000.0
2020-12-03,266.91,-4878.3,23.585,4878.3,0.0,206.84,6295.047,43.2,-4964.4,121.951,4964.4,0.0,40.708,5268.293,32.927,-4954.851,96.154,4954.851,0.0,51.53,3166.082,5.876,-4998.686,625.0,4998.686,0.0,7.998,3672.57,11.94,-4997.2,416.667,4997.2,0.0,11.993,4975.0
