date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,MSFT_adj_close,MSFT_cashflow,MSFT_cml_units,MSFT_cml_cost,MSFT_gain_loss,MSFT_avg_price,MSFT_mktvalue,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue
2020-02-11,78.92,-4992.24,33.0,4992.24,1121.257,151.28,2604.355,181.321,-4704.84,14.0,4704.84,785.82,336.06,2538.489,56.476,-4947.6,42.0,4947.6,889.98,117.8,2371.999
2020-02-12,80.794,-4992.24,33.0,4992.24,1121.257,151.28,2666.203,181.586,-4704.84,14.0,4704.84,785.82,336.06,2542.204,57.41,-4947.6,42.0,4947.6,889.98,117.8,2411.222
2020-02-13,80.219,-4992.24,33.0,4992.24,1121.257,151.28,2647.216,180.603,-4704.84,14.0,4704.84,785.82,336.06,2528.442,57.121,-4947.6,42.0,4947.6,889.98,117.8,2399.091
2020-02-14,80.238,-4992.24,33.0,4992.24,1121.257,151.28,2647.869,182.215,-4704.84,14.0,4704.84,785.82,336.06,2551.013,56.024,-4947.6,42.0,4947.6,889.98,117.8,2352.994
2020-02-18,78.769,-4992.24,33.0,4992.24,1121.257,151.28,2599.385,184.063,-4704.84,14.0,4704.84,785.82,336.06,2576.888,54.088,-4947.6,42.0,4947.6,889.98,117.8,2271.717
2020-02-19,79.91,-4992.24,33.0,4992.24,1121.257,151.28,2637.031,184.615,-4704.84,14.0,4704.84,785.82,336.06,2584.616,55.494,-4947.6,42.0,4947.6,889.98,117.8,2330.754
2020-02-20,79.09,-4992.24,33.0,4992.24,1121.257,151.28,2609.977,181.796,-4704.84,14.0,4704.84,785.82,336.06,2545.146,54.377,-4947.6,42.0,4947.6,889.98,117.8,2283.848
2020-02-21,77.3,-4992.24,33.0,4992.24,1121.257,151.28,2550.901,176.049,-4704.84,14.0,4704.84,785.82,336.06,2464.687,53.52,-4947.6,42.0,4947.6,889.98,117.8,2247.859
2020-02-24,73.628,-4992.24,33.0,4992.24,1121.257,151.28,2429.732,168.459,-4704.84,14.0,4704.84,785.82,336.06,2358.421,52.105,-4947.6,42.0,4947.6,889.98,117.8,2188.418
2020-02-25,71.134,-4992.24,33.0,4992.24,1121.257,151.28,2347.431,165.679,-4704.84,14.0,4704.84,785.82,336.06,2319.503,51.855,-4947.6,42.0,4947.6,889.98,117.8,2177.905
2020-02-26,72.263,-4992.24,33.0,4992.24,1121.257,151.28,2384.67,167.749,-4704.84,14.0,4704.84,785.82,336.06,2348.484,52.981,-4947.6,42.0,4947.6,889.98,117.8,2225.215
2020-02-27,67.539,-4992.24,33.0,4992.24,1121.257,151.28,2228.789,155.929,-4704.84,14.0,4704.84,785.82,336.06,2183.013,51.306,-4947.6,42.0,4947.6,889.98,117.8,2154.856
2020-02-28,67.5,-4992.24,33.0,4992.24,1121.257,151.28,2227.485,159.705,-4704.84,14.0,4704.84,785.82,336.06,2235.87,51.836,-4947.6,42.0,4947.6,889.98,117.8,2177.096
2020-03-02,73.784,-4992.24,33.0,4992.24,1121.257,151.28,2434.866,170.332,-4704.84,14.0,4704.84,785.82,336.06,2384.642,53.896,-4947.6,42.0,4947.6,889.98,117.8,2263.629
2020-03-03,71.44,-4992.24,33.0,4992.24,1121.257,151.28,2357.536,162.169,-4704.84,14.0,4704.84,785.82,336.06,2270.372,52.837,-4947.6,42.0,4947.6,889.98,117.8,2219.149
2020-03-04,74.754,-4992.24,33.0,4992.24,1121.257,151.28,2466.889,168.123,-4704.84,14.0,4704.84,785.82,336.06,2353.729,54.955,-4947.6,42.0,4947.6,889.98,117.8,2308.11
2020-03-05,72.329,-4992.24,33.0,4992.24,1121.257,151.28,2386.871,163.904,-4704.84,14.0,4704.84,785.82,336.06,2294.661,53.655,-4947.6,42.0,4947.6,889.98,117.8,2253.521
2020-03-06,71.369,-4992.24,33.0,4992.24,1121.257,151.28,2355.173,159.271,-4704.84,14.0,4704.84,785.82,336.06,2229.798,53.02,-4947.6,42.0,4947.6,889.98,117.8,2226.832
2020-03-09,65.724,-4992.24,33.0,4992.24,1121.257,151.28,2168.897,148.477,-4704.84,14.0,4704.84,785.82,336.06,2078.678,49.9,-4947.6,42.0,4947.6,889.98,117.8,2095.818
2020-03-10,70.458,-4992.24,33.0,4992.24,1121.257,151.28,2325.104,158.631,-4704.84,14.0,4704.84,785.82,336.06,2220.827,52.481,-4947.6,42.0,4947.6,889.98,117.8,2204.188
2020-03-11,68.011,-4992.24,33.0,4992.24,1121.257,151.28,2244.353,151.444,-4704.84,14.0,4704.84,785.82,336.06,2120.219,50.295,-4947.6,42.0,4947.6,889.98,117.8,2112.397
2020-03-12,61.294,-4992.24,33.0,4992.24,1121.257,151.28,2022.712,137.081,-4704.84,14.0,4704.84,785.82,336.06,1919.141,46.877,-4947.6,42.0,4947.6,889.98,117.8,1968.848
2020-03-13,68.638,-4992.24,33.0,4992.24,1121.257,151.28,2265.05,156.57,-4704.84,14.0,4704.84,785.82,336.06,2191.984,50.286,-4947.6,42.0,4947.6,889.98,117.8,2111.993
