date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2020-07-10,73.56,-4989.16,192.308,4989.16,0.0,25.944,14146.153,20.398,-4996.558,263.158,4996.558,0.0,18.987,5367.78,2.26,-4999.02,2500.0,4999.02,0.0,2.0,5650.0,4.395,-4997.448,1000.0,4997.448,0.0,4.997,4395.475,14.3,-4999.54,2500.0,4999.54,0.0,2.0,35750.0,12.761,-4998.737,1250.0,4998.737,0.0,3.999,15951.281,11.0,-4998.0,833.333,4998.0,0.0,5.998,9166.667
2020-07-13,73.18,-4989.16,192.308,4989.16,0.0,25.944,14073.077,20.037,-4996.558,263.158,4996.558,0.0,18.987,5272.895,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,4.414,-4997.448,1000.0,4997.448,0.0,4.997,4414.421,13.86,-4999.54,2500.0,4999.54,0.0,2.0,34649.999,12.365,-4998.737,1250.0,4998.737,0.0,3.999,15455.832,11.0,-4998.0,833.333,4998.0,0.0,5.998,9166.667
2020-07-14,71.95,-4989.16,192.308,4989.16,0.0,25.944,13836.538,19.865,-4996.558,263.158,4996.558,0.0,18.987,5227.712,2.63,-4999.02,2500.0,4999.02,0.0,2.0,6575.0,4.424,-4997.448,1000.0,4997.448,0.0,4.997,4423.894,13.86,-4999.54,2500.0,4999.54,0.0,2.0,34649.999,13.045,-4998.737,1250.0,4998.737,0.0,3.999,16306.71,11.15,-4998.0,833.333,4998.0,0.0,5.998,9291.666
2020-07-15,74.05,-4989.16,192.308,4989.16,0.0,25.944,14240.385,20.355,-4996.558,263.158,4996.558,0.0,18.987,5356.484,2.74,-4999.02,2500.0,4999.02,0.0,2.0,6850.0,4.49,-4997.448,1000.0,4997.448,0.0,4.997,4490.205,13.83,-4999.54,2500.0,4999.54,0.0,2.0,34575.0,13.088,-4998.737,1250.0,4998.737,0.0,3.999,16360.563,12.1,-4998.0,833.333,4998.0,0.0,5.998,10083.334
2020-07-16,72.64,-4989.16,192.308,4989.16,0.0,25.944,13969.231,20.243,-4996.558,263.158,4996.558,0.0,18.987,5327.115,2.68,-4999.02,2500.0,4999.02,0.0,2.0,6700.0,4.509,-4997.448,1000.0,4997.448,0.0,4.997,4509.151,14.4,-4999.54,2500.0,4999.54,0.0,2.0,35999.999,13.45,-4998.737,1250.0,4998.737,0.0,3.999,16812.929,12.2,-4998.0,833.333,4998.0,0.0,5.998,10166.667
2020-07-17,73.76,-4989.16,192.308,4989.16,0.0,25.944,14184.616,19.943,-4996.558,263.158,4996.558,0.0,18.987,5248.044,2.68,-4999.02,2500.0,4999.02,0.0,2.0,6700.0,4.462,-4997.448,1000.0,4997.448,0.0,4.997,4461.786,14.46,-4999.54,2500.0,4999.54,0.0,2.0,36150.0,13.063,-4998.737,1250.0,4998.737,0.0,3.999,16328.251,12.15,-4998.0,833.333,4998.0,0.0,5.998,10125.0
2020-07-20,77.04,-4989.16,192.308,4989.16,0.0,25.944,14815.385,20.252,-4996.558,263.158,4996.558,0.0,18.987,5329.375,2.7,-4999.02,2500.0,4999.02,0.0,2.0,6750.0,4.358,-4997.448,1000.0,4997.448,0.0,4.997,4357.583,13.4,-4999.54,2500.0,4999.54,0.0,2.0,33499.999,13.175,-4998.737,1250.0,4998.737,0.0,3.999,16468.27,12.16,-4998.0,833.333,4998.0,0.0,5.998,10133.333
2020-07-21,78.45,-4989.16,192.308,4989.16,0.0,25.944,15086.538,21.256,-4996.558,263.158,4996.558,0.0,18.987,5593.697,2.82,-4999.02,2500.0,4999.02,0.0,2.0,7050.0,4.557,-4997.448,1000.0,4997.448,0.0,4.997,4556.517,13.25,-4999.54,2500.0,4999.54,0.0,2.0,33125.0,13.855,-4998.737,1250.0,4998.737,0.0,3.999,17319.148,12.2,-4998.0,833.333,4998.0,0.0,5.998,10166.667
2020-07-22,78.31,-4989.16,192.308,4989.16,0.0,25.944,15059.615,21.222,-4996.558,263.158,4996.558,0.0,18.987,5584.66,2.88,-4999.02,2500.0,4999.02,0.0,2.0,7200.0,4.575,-4997.448,1000.0,4997.448,0.0,4.997,4575.461,13.13,-4999.54,2500.0,4999.54,0.0,2.0,32825.0,15.113,-4998.737,1250.0,4998.737,0.0,3.999,18891.659,12.3,-4998.0,833.333,4998.0,0.0,5.998,10250.0
2020-07-23,74.31,-4989.16,192.308,4989.16,0.0,25.944,14290.384,21.273,-4996.558,263.158,4996.558,0.0,18.987,5598.215,2.99,-4999.02,2500.0,4999.02,0.0,2.0,7475.0,4.566,-4997.448,1000.0,4997.448,0.0,4.997,4565.989,13.02,-4999.54,2500.0,4999.54,0.0,2.0,32550.001,13.976,-4998.737,1250.0,4998.737,0.0,3.999,17469.935,12.4,-4998.0,833.333,4998.0,0.0,5.998,10333.333
