date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue
2019-02-25,35.53,-4997.58,978.0,4997.58,21046.56,5.11,34748.339
2019-02-26,35.43,-4997.58,978.0,4997.58,21046.56,5.11,34650.54
2019-02-27,35.52,-4997.58,978.0,4997.58,21046.56,5.11,34738.56
2019-02-28,35.6,-4997.58,978.0,4997.58,21046.56,5.11,34816.799
2019-03-01,35.5,-4997.58,978.0,4997.58,21046.56,5.11,34719.0
2019-03-04,36.3,-4997.58,978.0,4997.58,21046.56,5.11,35501.399
2019-03-05,36.06,-4997.58,978.0,4997.58,21046.56,5.11,35266.681
2019-03-06,35.55,-4997.58,978.0,4997.58,21046.56,5.11,34767.899
2019-03-07,34.64,-4997.58,978.0,4997.58,21046.56,5.11,33877.919
2019-03-08,34.75,-4997.58,978.0,4997.58,21046.56,5.11,33985.5
2019-03-11,36.06,-4997.58,978.0,4997.58,21046.56,5.11,35266.681
2019-03-12,33.68,-4997.58,978.0,4997.58,21046.56,5.11,32939.04
2019-03-13,34.19,-4997.58,978.0,4997.58,21046.56,5.11,33437.819
2019-03-14,32.99,-4997.58,978.0,4997.58,21046.56,5.11,32264.222
2019-03-15,34.03,-4997.58,978.0,4997.58,21046.56,5.11,33281.339
2019-03-18,34.5,-4997.58,978.0,4997.58,21046.56,5.11,33741.0
2019-03-19,35.51,-4997.58,978.0,4997.58,21046.56,5.11,34728.778
2019-03-20,36.21,-4997.58,978.0,4997.58,21046.56,5.11,35413.379
2019-03-21,35.66,-4997.58,978.0,4997.58,21046.56,5.11,34875.48
2019-03-22,34.82,-4997.58,978.0,4997.58,21046.56,5.11,34053.96
2019-03-25,35.82,-4997.58,978.0,4997.58,21046.56,5.11,35031.96
2019-03-26,35.99,-4997.58,978.0,4997.58,21046.56,5.11,35198.222
2019-03-27,35.53,-4997.58,978.0,4997.58,21046.56,5.11,34748.339
2019-03-28,35.72,-4997.58,978.0,4997.58,21046.56,5.11,34934.161
2019-03-29,36.08,-4997.58,978.0,4997.58,21046.56,5.11,35286.242
2019-04-01,36.03,-4997.58,978.0,4997.58,21046.56,5.11,35237.339
2019-04-02,36.37,-4997.58,978.0,4997.58,21046.56,5.11,35569.859
2019-04-03,36.71,-4997.58,978.0,4997.58,21046.56,5.11,35902.379
