date,GWRE_adj_close,GWRE_cashflow,GWRE_cml_units,GWRE_cml_cost,GWRE_gain_loss,GWRE_avg_price,GWRE_mktvalue,VIV_adj_close,VIV_cashflow,VIV_cml_units,VIV_cml_cost,VIV_gain_loss,VIV_avg_price,VIV_mktvalue,PAM_adj_close,PAM_cashflow,PAM_cml_units,PAM_cml_cost,PAM_gain_loss,PAM_avg_price,PAM_mktvalue,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue
2019-09-06,109.41,-4915.56,39.0,4915.56,1152.06,126.04,4266.99,12.495,-4992.225,555.0,4992.225,1326.45,8.995,6934.68,14.95,-4987.71,261.0,4987.71,-4014.18,19.11,3901.95,1.74,-4999.54,2747.0,4999.54,2444.83,1.82,4779.78
2019-09-09,104.14,-4915.56,39.0,4915.56,1152.06,126.04,4061.46,12.075,-4992.225,555.0,4992.225,1326.45,8.995,6701.799,14.89,-4987.71,261.0,4987.71,-4014.18,19.11,3886.29,1.8,-4999.54,2747.0,4999.54,2444.83,1.82,4944.6
2019-09-10,106.47,-4915.56,39.0,4915.56,1152.06,126.04,4152.33,11.954,-4992.225,555.0,4992.225,1326.45,8.995,6634.522,15.1,-4987.71,261.0,4987.71,-4014.18,19.11,3941.1,1.8,-4999.54,2747.0,4999.54,2444.83,1.82,4944.6
2019-09-11,109.09,-4915.56,39.0,4915.56,1152.06,126.04,4254.51,12.206,-4992.225,555.0,4992.225,1326.45,8.995,6774.251,15.58,-4987.71,261.0,4987.71,-4014.18,19.11,4066.38,1.82,-4999.54,2747.0,4999.54,2444.83,1.82,4999.54
2019-09-12,107.49,-4915.56,39.0,4915.56,1152.06,126.04,4192.11,12.225,-4992.225,555.0,4992.225,1326.45,8.995,6784.602,15.39,-4987.71,261.0,4987.71,-4014.18,19.11,4016.79,1.83,-4999.54,2747.0,4999.54,2444.83,1.82,5027.01
2019-09-13,105.9,-4915.56,39.0,4915.56,1152.06,126.04,4130.1,11.861,-4992.225,555.0,4992.225,1326.45,8.995,6582.771,14.84,-4987.71,261.0,4987.71,-4014.18,19.11,3873.24,1.86,-4999.54,2747.0,4999.54,2444.83,1.82,5109.42
2019-09-16,106.62,-4915.56,39.0,4915.56,1152.06,126.04,4158.18,11.973,-4992.225,555.0,4992.225,1326.45,8.995,6644.873,16.25,-4987.71,261.0,4987.71,-4014.18,19.11,4241.25,1.91,-4999.54,2747.0,4999.54,2444.83,1.82,5246.77
2019-09-17,107.82,-4915.56,39.0,4915.56,1152.06,126.04,4204.98,12.187,-4992.225,555.0,4992.225,1326.45,8.995,6763.901,15.96,-4987.71,261.0,4987.71,-4014.18,19.11,4165.56,1.93,-4999.54,2747.0,4999.54,2444.83,1.82,5301.71
2019-09-18,108.55,-4915.56,39.0,4915.56,1152.06,126.04,4233.45,12.103,-4992.225,555.0,4992.225,1326.45,8.995,6717.324,15.92,-4987.71,261.0,4987.71,-4014.18,19.11,4155.12,1.99,-4999.54,2747.0,4999.54,2444.83,1.82,5466.53
2019-09-19,108.0,-4915.56,39.0,4915.56,1152.06,126.04,4212.0,12.122,-4992.225,555.0,4992.225,1326.45,8.995,6727.675,16.4,-4987.71,261.0,4987.71,-4014.18,19.11,4280.4,2.12,-4999.54,2747.0,4999.54,2444.83,1.82,5823.64
2019-09-20,109.24,-4915.56,39.0,4915.56,1152.06,126.04,4260.36,12.122,-4992.225,555.0,4992.225,1326.45,8.995,6727.675,16.02,-4987.71,261.0,4987.71,-4014.18,19.11,4181.22,2.04,-4999.54,2747.0,4999.54,2444.83,1.82,5603.88
2019-09-23,108.81,-4915.56,39.0,4915.56,1152.06,126.04,4243.59,12.038,-4992.225,555.0,4992.225,1326.45,8.995,6681.099,15.94,-4987.71,261.0,4987.71,-4014.18,19.11,4160.34,2.03,-4999.54,2747.0,4999.54,2444.83,1.82,5576.41
2019-09-24,106.62,-4915.56,39.0,4915.56,1152.06,126.04,4158.18,11.982,-4992.225,555.0,4992.225,1326.45,8.995,6650.047,15.64,-4987.71,261.0,4987.71,-4014.18,19.11,4082.04,1.89,-4999.54,2747.0,4999.54,2444.83,1.82,5191.83
2019-09-25,107.37,-4915.56,39.0,4915.56,1152.06,126.04,4187.43,12.057,-4992.225,555.0,4992.225,1326.45,8.995,6691.449,16.17,-4987.71,261.0,4987.71,-4014.18,19.11,4220.37,1.92,-4999.54,2747.0,4999.54,2444.83,1.82,5274.24
2019-09-26,104.55,-4915.56,39.0,4915.56,1152.06,126.04,4077.45,12.234,-4992.225,555.0,4992.225,1326.45,8.995,6789.776,16.12,-4987.71,261.0,4987.71,-4014.18,19.11,4207.32,1.94,-4999.54,2747.0,4999.54,2444.83,1.82,5329.18
2019-09-27,101.86,-4915.56,39.0,4915.56,1152.06,126.04,3972.54,12.234,-4992.225,555.0,4992.225,1326.45,8.995,6789.776,16.7,-4987.71,261.0,4987.71,-4014.18,19.11,4358.7,1.89,-4999.54,2747.0,4999.54,2444.83,1.82,5191.83
2019-09-30,105.38,-4915.56,39.0,4915.56,1152.06,126.04,4109.82,12.28,-4992.225,555.0,4992.225,1326.45,8.995,6815.652,17.36,-4987.71,261.0,4987.71,-4014.18,19.11,4530.96,1.83,-4999.54,2747.0,4999.54,2444.83,1.82,5027.01
2019-10-01,105.26,-4915.56,39.0,4915.56,1152.06,126.04,4105.14,12.038,-4992.225,555.0,4992.225,1326.45,8.995,6681.099,17.19,-4987.71,261.0,4987.71,-4014.18,19.11,4486.59,1.83,-4999.54,2747.0,4999.54,2444.83,1.82,5027.01
2019-10-02,104.04,-4915.56,39.0,4915.56,1152.06,126.04,4057.56,11.87,-4992.225,555.0,4992.225,1326.45,8.995,6587.946,17.54,-4987.71,261.0,4987.71,-4014.18,19.11,4577.94,1.88,-4999.54,2747.0,4999.54,2444.83,1.82,5164.36
2019-10-03,103.99,-4915.56,39.0,4915.56,1152.06,126.04,4055.61,11.982,-4992.225,555.0,4992.225,1326.45,8.995,6650.047,17.86,-4987.71,261.0,4987.71,-4014.18,19.11,4661.46,1.91,-4999.54,2747.0,4999.54,2444.83,1.82,5246.77
2019-10-04,106.08,-4915.56,39.0,4915.56,1152.06,126.04,4137.12,12.308,-4992.225,555.0,4992.225,1326.45,8.995,6831.177,18.52,-4987.71,261.0,4987.71,-4014.18,19.11,4833.72,1.98,-4999.54,2747.0,4999.54,2444.83,1.82,5439.06
2019-10-07,106.9,-4915.56,39.0,4915.56,1152.06,126.04,4169.1,11.982,-4992.225,555.0,4992.225,1326.45,8.995,6650.047,17.9,-4987.71,261.0,4987.71,-4014.18,19.11,4671.9,2.03,-4999.54,2747.0,4999.54,2444.83,1.82,5576.41
2019-10-08,103.97,-4915.56,39.0,4915.56,1152.06,126.04,4054.83,11.982,-4992.225,555.0,4992.225,1326.45,8.995,6650.047,16.76,-4987.71,261.0,4987.71,-4014.18,19.11,4374.36,1.95,-4999.54,2747.0,4999.54,2444.83,1.82,5356.65
2019-10-09,104.88,-4915.56,39.0,4915.56,1152.06,126.04,4090.32,11.973,-4992.225,555.0,4992.225,1326.45,8.995,6644.873,16.34,-4987.71,261.0,4987.71,-4014.18,19.11,4264.74,2.0,-4999.54,2747.0,4999.54,2444.83,1.82,5494.0
2019-10-10,105.59,-4915.56,39.0,4915.56,1152.06,126.04,4118.01,12.038,-4992.225,555.0,4992.225,1326.45,8.995,6681.099,17.2,-4987.71,261.0,4987.71,-4014.18,19.11,4489.2,2.05,-4999.54,2747.0,4999.54,2444.83,1.82,5631.35
2019-10-11,108.0,-4915.56,39.0,4915.56,1152.06,126.04,4212.0,12.169,-4992.225,555.0,4992.225,1326.45,8.995,6753.55,17.0,-4987.71,261.0,4987.71,-4014.18,19.11,4437.0,1.95,-4999.54,2747.0,4999.54,2444.83,1.82,5356.65
2019-10-14,109.07,-4915.56,39.0,4915.56,1152.06,126.04,4253.73,12.066,-4992.225,555.0,4992.225,1326.45,8.995,6696.623,16.39,-4987.71,261.0,4987.71,-4014.18,19.11,4277.79,1.9,-4999.54,2747.0,4999.54,2444.83,1.82,5219.3
2019-10-15,110.3,-4915.56,39.0,4915.56,1152.06,126.04,4301.7,11.991,-4992.225,555.0,4992.225,1326.45,8.995,6655.223,16.78,-4987.71,261.0,4987.71,-4014.18,19.11,4379.58,1.92,-4999.54,2747.0,4999.54,2444.83,1.82,5274.24
2019-10-16,109.48,-4915.56,39.0,4915.56,1152.06,126.04,4269.72,12.252,-4992.225,555.0,4992.225,1326.45,8.995,6800.127,16.18,-4987.71,261.0,4987.71,-4014.18,19.11,4222.98,1.85,-4999.54,2747.0,4999.54,2444.83,1.82,5081.95
2019-10-17,111.16,-4915.56,39.0,4915.56,1152.06,126.04,4335.24,12.225,-4992.225,555.0,4992.225,1326.45,8.995,6784.602,15.72,-4987.71,261.0,4987.71,-4014.18,19.11,4102.92,1.73,-4999.54,2747.0,4999.54,2444.83,1.82,4752.31
2019-10-18,109.25,-4915.56,39.0,4915.56,1152.06,126.04,4260.75,12.336,-4992.225,555.0,4992.225,1326.45,8.995,6846.703,15.38,-4987.71,261.0,4987.71,-4014.18,19.11,4014.18,1.78,-4999.54,2747.0,4999.54,2444.83,1.82,4889.66
2019-10-21,110.2,-4915.56,39.0,4915.56,1152.06,126.04,4297.8,12.262,-4992.225,555.0,4992.225,1326.45,8.995,6805.302,15.77,-4987.71,261.0,4987.71,-4014.18,19.11,4115.97,1.85,-4999.54,2747.0,4999.54,2444.83,1.82,5081.95
2019-10-22,109.21,-4915.56,39.0,4915.56,1152.06,126.04,4259.19,12.439,-4992.225,555.0,4992.225,1326.45,8.995,6903.629,15.4,-4987.71,261.0,4987.71,-4014.18,19.11,4019.4,1.83,-4999.54,2747.0,4999.54,2444.83,1.82,5027.01
2019-10-23,108.89,-4915.56,39.0,4915.56,1152.06,126.04,4246.71,12.542,-4992.225,555.0,4992.225,1326.45,8.995,6960.556,15.15,-4987.71,261.0,4987.71,-4014.18,19.11,3954.15,1.97,-4999.54,2747.0,4999.54,2444.83,1.82,5411.59
2019-10-24,111.0,-4915.56,39.0,4915.56,1152.06,126.04,4329.0,12.439,-4992.225,555.0,4992.225,1326.45,8.995,6903.629,15.2,-4987.71,261.0,4987.71,-4014.18,19.11,3967.2,2.17,-4999.54,2747.0,4999.54,2444.83,1.82,5960.99
2019-10-25,111.32,-4915.56,39.0,4915.56,1152.06,126.04,4341.48,12.411,-4992.225,555.0,4992.225,1326.45,8.995,6888.104,15.58,-4987.71,261.0,4987.71,-4014.18,19.11,4066.38,2.1,-4999.54,2747.0,4999.54,2444.83,1.82,5768.7
2019-10-28,112.9,-4915.56,39.0,4915.56,1152.06,126.04,4403.1,12.402,-4992.225,555.0,4992.225,1326.45,8.995,6882.928,14.46,-4987.71,261.0,4987.71,-4014.18,19.11,3774.06,2.09,-4999.54,2747.0,4999.54,2444.83,1.82,5741.23
2019-10-29,112.36,-4915.56,39.0,4915.56,1152.06,126.04,4382.04,12.327,-4992.225,555.0,4992.225,1326.45,8.995,6841.527,15.14,-4987.71,261.0,4987.71,-4014.18,19.11,3951.54,2.01,-4999.54,2747.0,4999.54,2444.83,1.82,5521.47
2019-10-30,112.95,-4915.56,39.0,4915.56,1152.06,126.04,4405.05,12.392,-4992.225,555.0,4992.225,1326.45,8.995,6877.753,15.49,-4987.71,261.0,4987.71,-4014.18,19.11,4042.89,2.0,-4999.54,2747.0,4999.54,2444.83,1.82,5494.0
2019-10-31,112.74,-4915.56,39.0,4915.56,1152.06,126.04,4396.86,12.28,-4992.225,555.0,4992.225,1326.45,8.995,6815.652,15.57,-4987.71,261.0,4987.71,-4014.18,19.11,4063.77,1.95,-4999.54,2747.0,4999.54,2444.83,1.82,5356.65
2019-11-01,114.14,-4915.56,39.0,4915.56,1152.06,126.04,4451.46,12.476,-4992.225,555.0,4992.225,1326.45,8.995,6924.331,15.79,-4987.71,261.0,4987.71,-4014.18,19.11,4121.19,1.97,-4999.54,2747.0,4999.54,2444.83,1.82,5411.59
2019-11-04,114.75,-4915.56,39.0,4915.56,1152.06,126.04,4475.25,12.392,-4992.225,555.0,4992.225,1326.45,8.995,6877.753,16.46,-4987.71,261.0,4987.71,-4014.18,19.11,4296.06,1.9,-4999.54,2747.0,4999.54,2444.83,1.82,5219.3
2019-11-05,113.59,-4915.56,39.0,4915.56,1152.06,126.04,4430.01,12.448,-4992.225,555.0,4992.225,1326.45,8.995,6908.805,16.44,-4987.71,261.0,4987.71,-4014.18,19.11,4290.84,1.86,-4999.54,2747.0,4999.54,2444.83,1.82,5109.42
2019-11-06,113.11,-4915.56,39.0,4915.56,1152.06,126.04,4411.29,12.42,-4992.225,555.0,4992.225,1326.45,8.995,6893.278,15.43,-4987.71,261.0,4987.71,-4014.18,19.11,4027.23,1.8,-4999.54,2747.0,4999.54,2444.83,1.82,4944.6
2019-11-07,114.29,-4915.56,39.0,4915.56,1152.06,126.04,4457.31,12.392,-4992.225,555.0,4992.225,1326.45,8.995,6877.753,15.65,-4987.71,261.0,4987.71,-4014.18,19.11,4084.65,1.91,-4999.54,2747.0,4999.54,2444.83,1.82,5246.77
2019-11-08,118.44,-4915.56,39.0,4915.56,1152.06,126.04,4619.16,12.047,-4992.225,555.0,4992.225,1326.45,8.995,6686.273,14.03,-4987.71,261.0,4987.71,-4014.18,19.11,3661.83,1.9,-4999.54,2747.0,4999.54,2444.83,1.82,5219.3
2019-11-11,117.74,-4915.56,39.0,4915.56,1152.06,126.04,4591.86,12.141,-4992.225,555.0,4992.225,1326.45,8.995,6738.026,13.54,-4987.71,261.0,4987.71,-4014.18,19.11,3533.94,1.86,-4999.54,2747.0,4999.54,2444.83,1.82,5109.42
2019-11-12,117.87,-4915.56,39.0,4915.56,1152.06,126.04,4596.93,12.01,-4992.225,555.0,4992.225,1326.45,8.995,6665.573,13.72,-4987.71,261.0,4987.71,-4014.18,19.11,3580.92,1.89,-4999.54,2747.0,4999.54,2444.83,1.82,5191.83
