date,WETF_adj_close,WETF_cashflow,WETF_cml_units,WETF_cml_cost,WETF_gain_loss,WETF_avg_price,WETF_mktvalue,IMOS_adj_close,IMOS_cashflow,IMOS_cml_units,IMOS_cml_cost,IMOS_gain_loss,IMOS_avg_price,IMOS_mktvalue,DYSL_adj_close,DYSL_cashflow,DYSL_cml_units,DYSL_cml_cost,DYSL_gain_loss,DYSL_avg_price,DYSL_mktvalue,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue,COOP_adj_close,COOP_cashflow,COOP_cml_units,COOP_cml_cost,COOP_gain_loss,COOP_avg_price,COOP_mktvalue,GLBD_adj_close,GLBD_cashflow,GLBD_cml_units,GLBD_cml_cost,GLBD_gain_loss,GLBD_avg_price,GLBD_mktvalue,KDOZF_adj_close,KDOZF_cashflow,KDOZF_cml_units,KDOZF_cml_cost,KDOZF_gain_loss,KDOZF_avg_price,KDOZF_mktvalue,MMNT_adj_close,MMNT_cashflow,MMNT_cml_units,MMNT_cml_cost,MMNT_gain_loss,MMNT_avg_price,MMNT_mktvalue,SCND_adj_close,SCND_cashflow,SCND_cml_units,SCND_cml_cost,SCND_gain_loss,SCND_avg_price,SCND_mktvalue
2020-07-30,3.432,-10000.0,1386.715,5000.0,-963.668,3.606,4758.713,21.069,-10000.0,250.454,5000.0,438.874,19.964,5276.851,1.01,-10000.0,4424.779,5000.0,136.35,1.13,4469.027,12.906,-15000.0,344.737,5000.0,35.632,14.504,4449.223,10.69,-15000.0,467.727,5000.0,97.5,10.69,5000.0,15.98,-10000.0,380.517,5000.0,4659.9,13.14,6080.669,0.348,-5000.0,14285.715,5000.0,0.0,0.35,4971.429,0.19,-10000.0,20000.0,5000.0,1249.95,0.25,3800.0,0.22,-15000.0,18518.518,5000.0,5749.54,0.27,4074.074,8.0,-5000.0,509.684,5000.0,0.0,9.81,4077.472
2020-07-31,3.48,-10000.0,1386.715,5000.0,-963.668,3.606,4825.737,20.982,-10000.0,250.454,5000.0,438.874,19.964,5255.145,1.08,-10000.0,4424.779,5000.0,136.35,1.13,4778.761,12.269,-15000.0,344.737,5000.0,35.632,14.504,4229.427,10.59,-15000.0,467.727,5000.0,97.5,10.69,4953.228,16.33,-10000.0,380.517,5000.0,4659.9,13.14,6213.851,0.348,-5000.0,14285.715,5000.0,0.0,0.35,4971.429,0.19,-10000.0,20000.0,5000.0,1249.95,0.25,3800.0,0.2,-15000.0,18518.518,5000.0,5749.54,0.27,3703.704,8.0,-5000.0,509.684,5000.0,0.0,9.81,4077.472
2020-08-03,3.354,-10000.0,1386.715,5000.0,-963.668,3.606,4651.474,21.108,-10000.0,250.454,5000.0,438.874,19.964,5286.497,1.05,-10000.0,4424.779,5000.0,136.35,1.13,4646.018,12.723,-15000.0,344.737,5000.0,35.632,14.504,4385.948,11.33,-15000.0,467.727,5000.0,97.5,10.69,5299.345,17.88,-10000.0,380.517,5000.0,4659.9,13.14,6803.652,0.348,-5000.0,14285.715,5000.0,0.0,0.35,4971.429,0.19,-10000.0,20000.0,5000.0,1249.95,0.25,3800.0,0.2,-15000.0,18518.518,5000.0,5749.54,0.27,3703.704,8.0,-5000.0,509.684,5000.0,0.0,9.81,4077.472
2020-08-04,3.374,-10000.0,1386.715,5000.0,-963.668,3.606,4678.284,21.06,-10000.0,250.454,5000.0,438.874,19.964,5274.439,1.06,-10000.0,4424.779,5000.0,136.35,1.13,4690.265,12.839,-15000.0,344.737,5000.0,35.632,14.504,4425.911,12.03,-15000.0,467.727,5000.0,97.5,10.69,5626.754,18.13,-10000.0,380.517,5000.0,4659.9,13.14,6898.782,0.348,-5000.0,14285.715,5000.0,0.0,0.35,4971.429,0.18,-10000.0,20000.0,5000.0,1249.95,0.25,3600.0,0.2,-15000.0,18518.518,5000.0,5749.54,0.27,3703.704,8.75,-5000.0,509.684,5000.0,0.0,9.81,4459.735
2020-08-05,3.615,-10000.0,1386.715,5000.0,-963.668,3.606,5013.405,21.348,-10000.0,250.454,5000.0,438.874,19.964,5346.791,1.06,-10000.0,4424.779,5000.0,136.35,1.13,4690.265,13.138,-15000.0,344.737,5000.0,35.632,14.504,4529.149,12.22,-15000.0,467.727,5000.0,97.5,10.69,5715.622,18.59,-10000.0,380.517,5000.0,4659.9,13.14,7073.82,0.348,-5000.0,14285.715,5000.0,0.0,0.35,4971.429,0.18,-10000.0,20000.0,5000.0,1249.95,0.25,3600.0,0.2,-15000.0,18518.518,5000.0,5749.54,0.27,3703.704,8.75,-5000.0,509.684,5000.0,0.0,9.81,4459.735
2020-08-06,3.693,-10000.0,1386.715,5000.0,-963.668,3.606,5120.643,21.04,-10000.0,250.454,5000.0,438.874,19.964,5269.615,1.0,-10000.0,4424.779,5000.0,136.35,1.13,4424.779,13.302,-15000.0,344.737,5000.0,35.632,14.504,4585.764,11.68,-15000.0,467.727,5000.0,97.5,10.69,5463.05,18.25,-10000.0,380.517,5000.0,4659.9,13.14,6944.444,0.348,-5000.0,14285.715,5000.0,0.0,0.35,4971.429,0.16,-10000.0,20000.0,5000.0,1249.95,0.25,3200.0,0.21,-15000.0,18518.518,5000.0,5749.54,0.27,3888.889,8.75,-5000.0,509.684,5000.0,0.0,9.81,4459.735
2020-08-07,4.147,-10000.0,1386.715,5000.0,-963.668,3.606,5750.67,20.925,-10000.0,250.454,5000.0,438.874,19.964,5240.675,1.0,-10000.0,4424.779,5000.0,136.35,1.13,4424.779,13.428,-15000.0,344.737,5000.0,35.632,14.504,4629.058,11.935,-15000.0,467.727,5000.0,97.5,10.69,5582.32,17.98,-10000.0,380.517,5000.0,4659.9,13.14,6841.704,0.348,-5000.0,14285.715,5000.0,0.0,0.35,4971.429,0.16,-10000.0,20000.0,5000.0,1249.95,0.25,3200.0,0.2,-15000.0,18518.518,5000.0,5749.54,0.27,3703.704,8.75,-5000.0,509.684,5000.0,0.0,9.81,4459.735
2020-08-10,4.128,-10000.0,1386.715,5000.0,-963.668,3.606,5723.86,21.406,-10000.0,250.454,5000.0,438.874,19.964,5361.261,1.0,-10000.0,4424.779,5000.0,136.35,1.13,4424.779,14.181,-15000.0,344.737,5000.0,35.632,14.504,4888.818,12.05,-15000.0,467.727,5000.0,97.5,10.69,5636.109,18.76,-10000.0,380.517,5000.0,4659.9,13.14,7138.508,0.348,-5000.0,14285.715,5000.0,0.0,0.35,4971.429,0.16,-10000.0,20000.0,5000.0,1249.95,0.25,3200.0,0.2,-15000.0,18518.518,5000.0,5749.54,0.27,3703.704,8.75,-5000.0,509.684,5000.0,0.0,9.81,4459.735
2020-08-11,4.128,-10000.0,1386.715,5000.0,-963.668,3.606,5723.86,20.366,-10000.0,250.454,5000.0,438.874,19.964,5100.795,1.0,-10000.0,4424.779,5000.0,136.35,1.13,4424.779,14.587,-15000.0,344.737,5000.0,35.632,14.504,5028.688,12.61,-15000.0,467.727,5000.0,97.5,10.69,5898.036,18.94,-10000.0,380.517,5000.0,4659.9,13.14,7207.002,0.348,-5000.0,14285.715,5000.0,0.0,0.35,4971.429,0.16,-10000.0,20000.0,5000.0,1249.95,0.25,3200.0,0.2,-15000.0,18518.518,5000.0,5749.54,0.27,3703.704,8.75,-5000.0,509.684,5000.0,0.0,9.81,4459.735
2020-08-12,3.991,-10000.0,1386.715,5000.0,-963.668,3.606,5534.865,21.146,-10000.0,250.454,5000.0,438.874,19.964,5296.144,1.0,-10000.0,4424.779,5000.0,136.35,1.13,4424.779,14.664,-15000.0,344.737,5000.0,35.632,14.504,5055.33,12.54,-15000.0,467.727,5000.0,97.5,10.69,5865.295,18.9,-10000.0,380.517,5000.0,4659.9,13.14,7191.78,0.348,-5000.0,14285.715,5000.0,0.0,0.35,4971.429,0.16,-10000.0,20000.0,5000.0,1249.95,0.25,3200.0,0.126,-15000.0,18518.518,5000.0,5749.54,0.27,2334.259,8.0,-5000.0,509.684,5000.0,0.0,9.81,4077.472
