date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,SKM_adj_close,SKM_cashflow,SKM_cml_units,SKM_cml_cost,SKM_gain_loss,SKM_avg_price,SKM_mktvalue,KEP_adj_close,KEP_cashflow,KEP_cml_units,KEP_cml_cost,KEP_gain_loss,KEP_avg_price,KEP_mktvalue,PKX_adj_close,PKX_cashflow,PKX_cml_units,PKX_cml_cost,PKX_gain_loss,PKX_avg_price,PKX_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,JP_adj_close,JP_cashflow,JP_cml_units,JP_cml_cost,JP_gain_loss,JP_avg_price,JP_mktvalue,IBA_adj_close,IBA_cashflow,IBA_cml_units,IBA_cml_cost,IBA_gain_loss,IBA_avg_price,IBA_mktvalue,MUFG_adj_close,MUFG_cashflow,MUFG_cml_units,MUFG_cml_cost,MUFG_gain_loss,MUFG_avg_price,MUFG_mktvalue,TAK_adj_close,TAK_cashflow,TAK_cml_units,TAK_cml_cost,TAK_gain_loss,TAK_avg_price,TAK_mktvalue,AMIH_adj_close,AMIH_cashflow,AMIH_cml_units,AMIH_cml_cost,AMIH_gain_loss,AMIH_avg_price,AMIH_mktvalue
2019-08-15,166.97,-4934.52,36.496,4934.52,0.0,135.206,6093.796,31.84,-4989.16,192.308,4989.16,0.0,25.944,6123.077,13.901,-4995.214,384.615,4995.214,0.0,12.988,5346.57,21.89,-4984.8,192.308,4984.8,0.0,25.921,4209.615,10.34,-4985.5,357.143,4985.5,0.0,13.959,3692.857,41.55,-4999.54,92.593,4999.54,0.0,53.995,3847.222,6.515,-4997.449,1000.0,4997.449,0.0,4.997,6514.736,2.01,-4995.82,1250.0,4995.82,0.0,3.997,2512.5,49.662,-4977.545,135.135,4977.545,0.0,36.834,6711.099,4.69,-4996.62,1250.0,4996.62,0.0,3.997,5862.5,16.86,-4995.54,312.5,4995.54,0.0,15.986,5268.75,1.0,-4999.2,2500.0,4999.2,0.0,2.0,2500.0
2019-08-16,174.6,-4934.52,36.496,4934.52,0.0,135.206,6372.263,32.88,-4989.16,192.308,4989.16,0.0,25.944,6323.077,14.149,-4995.214,384.615,4995.214,0.0,12.988,5441.862,21.3,-4984.8,192.308,4984.8,0.0,25.921,4096.154,10.34,-4985.5,357.143,4985.5,0.0,13.959,3692.857,42.38,-4999.54,92.593,4999.54,0.0,53.995,3924.074,6.588,-4997.449,1000.0,4997.449,0.0,4.997,6587.729,1.99,-4995.82,1250.0,4995.82,0.0,3.997,2487.5,49.21,-4977.545,135.135,4977.545,0.0,36.834,6649.947,4.77,-4996.62,1250.0,4996.62,0.0,3.997,5962.5,16.72,-4995.54,312.5,4995.54,0.0,15.986,5225.0,1.0,-4999.2,2500.0,4999.2,0.0,2.0,2500.0
2019-08-19,178.28,-4934.52,36.496,4934.52,0.0,135.206,6506.569,33.48,-4989.16,192.308,4989.16,0.0,25.944,6438.461,14.255,-4995.214,384.615,4995.214,0.0,12.988,5482.702,21.42,-4984.8,192.308,4984.8,0.0,25.921,4119.231,10.71,-4985.5,357.143,4985.5,0.0,13.959,3825.0,42.97,-4999.54,92.593,4999.54,0.0,53.995,3978.704,6.542,-4997.449,1000.0,4997.449,0.0,4.997,6542.108,1.75,-4995.82,1250.0,4995.82,0.0,3.997,2187.5,49.614,-4977.545,135.135,4977.545,0.0,36.834,6704.593,4.78,-4996.62,1250.0,4996.62,0.0,3.997,5975.0,16.8,-4995.54,312.5,4995.54,0.0,15.986,5250.0,1.35,-4999.2,2500.0,4999.2,0.0,2.0,3375.0
2019-08-20,177.21,-4934.52,36.496,4934.52,0.0,135.206,6467.518,33.52,-4989.16,192.308,4989.16,0.0,25.944,6446.154,14.167,-4995.214,384.615,4995.214,0.0,12.988,5448.669,21.51,-4984.8,192.308,4984.8,0.0,25.921,4136.539,10.62,-4985.5,357.143,4985.5,0.0,13.959,3792.857,43.22,-4999.54,92.593,4999.54,0.0,53.995,4001.852,6.661,-4997.449,1000.0,4997.449,0.0,4.997,6660.723,1.89,-4995.82,1250.0,4995.82,0.0,3.997,2362.5,50.124,-4977.545,135.135,4977.545,0.0,36.834,6773.551,4.76,-4996.62,1250.0,4996.62,0.0,3.997,5950.0,16.77,-4995.54,312.5,4995.54,0.0,15.986,5240.625,1.463,-4999.2,2500.0,4999.2,0.0,2.0,3657.5
2019-08-21,175.24,-4934.52,36.496,4934.52,0.0,135.206,6395.621,34.21,-4989.16,192.308,4989.16,0.0,25.944,6578.846,14.379,-4995.214,384.615,4995.214,0.0,12.988,5530.348,22.1,-4984.8,192.308,4984.8,0.0,25.921,4250.0,10.79,-4985.5,357.143,4985.5,0.0,13.959,3853.571,43.53,-4999.54,92.593,4999.54,0.0,53.995,4030.555,6.816,-4997.449,1000.0,4997.449,0.0,4.997,6815.835,1.82,-4995.82,1250.0,4995.82,0.0,3.997,2275.0,50.74,-4977.545,135.135,4977.545,0.0,36.834,6856.822,4.69,-4996.62,1250.0,4996.62,0.0,3.997,5862.5,16.51,-4995.54,312.5,4995.54,0.0,15.986,5159.375,1.463,-4999.2,2500.0,4999.2,0.0,2.0,3657.5
2019-08-22,171.91,-4934.52,36.496,4934.52,0.0,135.206,6274.088,34.23,-4989.16,192.308,4989.16,0.0,25.944,6582.692,14.034,-4995.214,384.615,4995.214,0.0,12.988,5397.619,21.73,-4984.8,192.308,4984.8,0.0,25.921,4178.846,10.79,-4985.5,357.143,4985.5,0.0,13.959,3853.571,42.88,-4999.54,92.593,4999.54,0.0,53.995,3970.37,6.679,-4997.449,1000.0,4997.449,0.0,4.997,6678.973,1.86,-4995.82,1250.0,4995.82,0.0,3.997,2325.0,50.346,-4977.545,135.135,4977.545,0.0,36.834,6803.477,4.71,-4996.62,1250.0,4996.62,0.0,3.997,5887.5,16.6,-4995.54,312.5,4995.54,0.0,15.986,5187.5,1.5,-4999.2,2500.0,4999.2,0.0,2.0,3750.0
2019-08-23,164.54,-4934.52,36.496,4934.52,0.0,135.206,6005.109,33.95,-4989.16,192.308,4989.16,0.0,25.944,6528.846,13.529,-4995.214,384.615,4995.214,0.0,12.988,5203.632,21.36,-4984.8,192.308,4984.8,0.0,25.921,4107.692,10.44,-4985.5,357.143,4985.5,0.0,13.959,3728.571,41.22,-4999.54,92.593,4999.54,0.0,53.995,3816.667,6.524,-4997.449,1000.0,4997.449,0.0,4.997,6523.86,1.76,-4995.82,1250.0,4995.82,0.0,3.997,2200.0,50.818,-4977.545,135.135,4977.545,0.0,36.834,6867.231,4.63,-4996.62,1250.0,4996.62,0.0,3.997,5787.5,16.46,-4995.54,312.5,4995.54,0.0,15.986,5143.75,1.5,-4999.2,2500.0,4999.2,0.0,2.0,3750.0
2019-08-26,165.9,-4934.52,36.496,4934.52,0.0,135.206,6054.744,34.05,-4989.16,192.308,4989.16,0.0,25.944,6548.077,13.706,-4995.214,384.615,4995.214,0.0,12.988,5271.697,21.5,-4984.8,192.308,4984.8,0.0,25.921,4134.615,10.41,-4985.5,357.143,4985.5,0.0,13.959,3717.857,41.94,-4999.54,92.593,4999.54,0.0,53.995,3883.333,6.56,-4997.449,1000.0,4997.449,0.0,4.997,6560.356,1.77,-4995.82,1250.0,4995.82,0.0,3.997,2212.5,51.588,-4977.545,135.135,4977.545,0.0,36.834,6971.32,4.73,-4996.62,1250.0,4996.62,0.0,3.997,5912.5,16.35,-4995.54,312.5,4995.54,0.0,15.986,5109.375,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-08-27,166.2,-4934.52,36.496,4934.52,0.0,135.206,6065.693,35.09,-4989.16,192.308,4989.16,0.0,25.944,6748.077,13.538,-4995.214,384.615,4995.214,0.0,12.988,5207.035,21.53,-4984.8,192.308,4984.8,0.0,25.921,4140.385,10.43,-4985.5,357.143,4985.5,0.0,13.959,3725.0,42.11,-4999.54,92.593,4999.54,0.0,53.995,3899.074,6.387,-4997.449,1000.0,4997.449,0.0,4.997,6386.995,1.88,-4995.82,1250.0,4995.82,0.0,3.997,2350.0,50.375,-4977.545,135.135,4977.545,0.0,36.834,6807.38,4.7,-4996.62,1250.0,4996.62,0.0,3.997,5875.0,16.15,-4995.54,312.5,4995.54,0.0,15.986,5046.875,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-08-28,167.48,-4934.52,36.496,4934.52,0.0,135.206,6112.409,35.5,-4989.16,192.308,4989.16,0.0,25.944,6826.923,13.529,-4995.214,384.615,4995.214,0.0,12.988,5203.632,21.69,-4984.8,192.308,4984.8,0.0,25.921,4171.154,10.52,-4985.5,357.143,4985.5,0.0,13.959,3757.143,42.64,-4999.54,92.593,4999.54,0.0,53.995,3948.148,6.478,-4997.449,1000.0,4997.449,0.0,4.997,6478.238,1.82,-4995.82,1250.0,4995.82,0.0,3.997,2275.0,49.893,-4977.545,135.135,4977.545,0.0,36.834,6742.325,4.72,-4996.62,1250.0,4996.62,0.0,3.997,5900.0,16.43,-4995.54,312.5,4995.54,0.0,15.986,5134.375,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-08-29,172.81,-4934.52,36.496,4934.52,0.0,135.206,6306.934,35.83,-4989.16,192.308,4989.16,0.0,25.944,6890.385,13.777,-4995.214,384.615,4995.214,0.0,12.988,5298.924,21.95,-4984.8,192.308,4984.8,0.0,25.921,4221.154,10.57,-4985.5,357.143,4985.5,0.0,13.959,3775.0,42.88,-4999.54,92.593,4999.54,0.0,53.995,3970.37,6.7,-4997.449,1000.0,4997.449,0.0,4.997,6700.046,1.91,-4995.82,1250.0,4995.82,0.0,3.997,2387.5,50.76,-4977.545,135.135,4977.545,0.0,36.834,6859.425,4.78,-4996.62,1250.0,4996.62,0.0,3.997,5975.0,16.56,-4995.54,312.5,4995.54,0.0,15.986,5175.0,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-08-30,175.03,-4934.52,36.496,4934.52,0.0,135.206,6387.956,35.63,-4989.16,192.308,4989.16,0.0,25.944,6851.923,13.972,-4995.214,384.615,4995.214,0.0,12.988,5373.796,21.9,-4984.8,192.308,4984.8,0.0,25.921,4211.538,10.63,-4985.5,357.143,4985.5,0.0,13.959,3796.429,43.62,-4999.54,92.593,4999.54,0.0,53.995,4038.889,6.718,-4997.449,1000.0,4997.449,0.0,4.997,6718.376,1.95,-4995.82,1250.0,4995.82,0.0,3.997,2437.5,52.965,-4977.545,135.135,4977.545,0.0,36.834,7157.377,4.82,-4996.62,1250.0,4996.62,0.0,3.997,6025.0,16.86,-4995.54,312.5,4995.54,0.0,15.986,5268.75,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-09-03,172.41,-4934.52,36.496,4934.52,0.0,135.206,6292.336,34.81,-4989.16,192.308,4989.16,0.0,25.944,6694.231,13.91,-4995.214,384.615,4995.214,0.0,12.988,5349.973,21.96,-4984.8,192.308,4984.8,0.0,25.921,4223.077,10.24,-4985.5,357.143,4985.5,0.0,13.959,3657.143,43.28,-4999.54,92.593,4999.54,0.0,53.995,4007.407,6.737,-4997.449,1000.0,4997.449,0.0,4.997,6736.708,1.9,-4995.82,1250.0,4995.82,0.0,3.997,2375.0,52.724,-4977.545,135.135,4977.545,0.0,36.834,7124.849,4.81,-4996.62,1250.0,4996.62,0.0,3.997,6012.5,17.38,-4995.54,312.5,4995.54,0.0,15.986,5431.25,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-09-04,174.33,-4934.52,36.496,4934.52,0.0,135.206,6362.409,34.53,-4989.16,192.308,4989.16,0.0,25.944,6640.384,14.273,-4995.214,384.615,4995.214,0.0,12.988,5489.508,22.17,-4984.8,192.308,4984.8,0.0,25.921,4263.462,10.57,-4985.5,357.143,4985.5,0.0,13.959,3775.0,44.43,-4999.54,92.593,4999.54,0.0,53.995,4113.889,6.792,-4997.449,1000.0,4997.449,0.0,4.997,6791.7,1.98,-4995.82,1250.0,4995.82,0.0,3.997,2475.0,54.313,-4977.545,135.135,4977.545,0.0,36.834,7339.532,4.85,-4996.62,1250.0,4996.62,0.0,3.997,6062.5,17.6,-4995.54,312.5,4995.54,0.0,15.986,5500.0,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-09-05,178.94,-4934.52,36.496,4934.52,0.0,135.206,6530.657,35.7,-4989.16,192.308,4989.16,0.0,25.944,6865.385,14.636,-4995.214,384.615,4995.214,0.0,12.988,5629.044,22.0,-4984.8,192.308,4984.8,0.0,25.921,4230.769,10.46,-4985.5,357.143,4985.5,0.0,13.959,3735.714,45.2,-4999.54,92.593,4999.54,0.0,53.995,4185.185,6.838,-4997.449,1000.0,4997.449,0.0,4.997,6837.529,2.015,-4995.82,1250.0,4995.82,0.0,3.997,2518.75,52.907,-4977.545,135.135,4977.545,0.0,36.834,7149.571,4.89,-4996.62,1250.0,4996.62,0.0,3.997,6112.5,17.48,-4995.54,312.5,4995.54,0.0,15.986,5462.5,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-09-06,176.69,-4934.52,36.496,4934.52,0.0,135.206,6448.54,35.6,-4989.16,192.308,4989.16,0.0,25.944,6846.154,14.848,-4995.214,384.615,4995.214,0.0,12.988,5710.722,22.05,-4984.8,192.308,4984.8,0.0,25.921,4240.384,10.49,-4985.5,357.143,4985.5,0.0,13.959,3746.428,45.16,-4999.54,92.593,4999.54,0.0,53.995,4181.481,6.847,-4997.449,1000.0,4997.449,0.0,4.997,6846.694,2.185,-4995.82,1250.0,4995.82,0.0,3.997,2731.25,53.61,-4977.545,135.135,4977.545,0.0,36.834,7244.551,4.89,-4996.62,1250.0,4996.62,0.0,3.997,6112.5,17.24,-4995.54,312.5,4995.54,0.0,15.986,5387.5,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-09-09,177.78,-4934.52,36.496,4934.52,0.0,135.206,6488.321,35.56,-4989.16,192.308,4989.16,0.0,25.944,6838.462,14.998,-4995.214,384.615,4995.214,0.0,12.988,5768.578,22.16,-4984.8,192.308,4984.8,0.0,25.921,4261.538,10.5,-4985.5,357.143,4985.5,0.0,13.959,3750.0,45.72,-4999.54,92.593,4999.54,0.0,53.995,4233.333,6.828,-4997.449,1000.0,4997.449,0.0,4.997,6828.363,2.07,-4995.82,1250.0,4995.82,0.0,3.997,2587.5,53.302,-4977.545,135.135,4977.545,0.0,36.834,7202.917,4.95,-4996.62,1250.0,4996.62,0.0,3.997,6187.5,17.06,-4995.54,312.5,4995.54,0.0,15.986,5331.25,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-09-10,174.99,-4934.52,36.496,4934.52,0.0,135.206,6386.497,33.91,-4989.16,192.308,4989.16,0.0,25.944,6521.154,15.193,-4995.214,384.615,4995.214,0.0,12.988,5843.45,22.3,-4984.8,192.308,4984.8,0.0,25.921,4288.461,10.65,-4985.5,357.143,4985.5,0.0,13.959,3803.571,47.12,-4999.54,92.593,4999.54,0.0,53.995,4362.963,6.783,-4997.449,1000.0,4997.449,0.0,4.997,6782.536,2.13,-4995.82,1250.0,4995.82,0.0,3.997,2662.5,53.215,-4977.545,135.135,4977.545,0.0,36.834,7191.206,5.11,-4996.62,1250.0,4996.62,0.0,3.997,6387.5,17.07,-4995.54,312.5,4995.54,0.0,15.986,5334.375,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-09-11,176.09,-4934.52,36.496,4934.52,0.0,135.206,6426.642,34.37,-4989.16,192.308,4989.16,0.0,25.944,6609.615,15.122,-4995.214,384.615,4995.214,0.0,12.988,5816.224,22.48,-4984.8,192.308,4984.8,0.0,25.921,4323.077,10.76,-4985.5,357.143,4985.5,0.0,13.959,3842.857,48.57,-4999.54,92.593,4999.54,0.0,53.995,4497.222,6.929,-4997.449,1000.0,4997.449,0.0,4.997,6929.184,2.26,-4995.82,1250.0,4995.82,0.0,3.997,2825.0,53.119,-4977.545,135.135,4977.545,0.0,36.834,7178.194,5.29,-4996.62,1250.0,4996.62,0.0,3.997,6612.5,17.4,-4995.54,312.5,4995.54,0.0,15.986,5437.5,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-09-12,178.24,-4934.52,36.496,4934.52,0.0,135.206,6505.11,34.76,-4989.16,192.308,4989.16,0.0,25.944,6684.615,15.45,-4995.214,384.615,4995.214,0.0,12.988,5942.146,22.45,-4984.8,192.308,4984.8,0.0,25.921,4317.308,10.96,-4985.5,357.143,4985.5,0.0,13.959,3914.286,49.18,-4999.54,92.593,4999.54,0.0,53.995,4553.704,7.03,-4997.449,1000.0,4997.449,0.0,4.997,7030.006,2.28,-4995.82,1250.0,4995.82,0.0,3.997,2850.0,53.918,-4977.545,135.135,4977.545,0.0,36.834,7286.187,5.23,-4996.62,1250.0,4996.62,0.0,3.997,6537.5,17.18,-4995.54,312.5,4995.54,0.0,15.986,5368.75,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
2019-09-13,179.17,-4934.52,36.496,4934.52,0.0,135.206,6539.051,35.26,-4989.16,192.308,4989.16,0.0,25.944,6780.769,15.211,-4995.214,384.615,4995.214,0.0,12.988,5850.257,22.53,-4984.8,192.308,4984.8,0.0,25.921,4332.692,10.96,-4985.5,357.143,4985.5,0.0,13.959,3914.286,50.03,-4999.54,92.593,4999.54,0.0,53.995,4632.407,6.993,-4997.449,1000.0,4997.449,0.0,4.997,6993.344,2.32,-4995.82,1250.0,4995.82,0.0,3.997,2900.0,53.812,-4977.545,135.135,4977.545,0.0,36.834,7271.874,5.29,-4996.62,1250.0,4996.62,0.0,3.997,6612.5,17.38,-4995.54,312.5,4995.54,0.0,15.986,5431.25,1.65,-4999.2,2500.0,4999.2,0.0,2.0,4125.0
