date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue
2020-04-27,9.67,-4995.9,390.0,4995.9,1591.2,12.81,3771.172
2020-04-28,10.196,-4995.9,390.0,4995.9,1591.2,12.81,3976.38
2020-04-29,10.553,-4995.9,390.0,4995.9,1591.2,12.81,4115.766
2020-04-30,10.375,-4995.9,390.0,4995.9,1591.2,12.81,4046.073
2020-05-01,9.342,-4995.9,390.0,4995.9,1591.2,12.81,3643.402
2020-05-04,9.809,-4995.9,390.0,4995.9,1591.2,12.81,3825.378
2020-05-05,9.997,-4995.9,390.0,4995.9,1591.2,12.81,3898.943
2020-05-06,9.69,-4995.9,390.0,4995.9,1591.2,12.81,3778.916
2020-05-07,9.948,-4995.9,390.0,4995.9,1591.2,12.81,3879.584
2020-05-08,10.633,-4995.9,390.0,4995.9,1591.2,12.81,4146.741
2020-05-11,10.474,-4995.9,390.0,4995.9,1591.2,12.81,4084.791
2020-05-12,10.206,-4995.9,390.0,4995.9,1591.2,12.81,3980.252
2020-05-13,9.64,-4995.9,390.0,4995.9,1591.2,12.81,3759.557
2020-05-14,9.719,-4995.9,390.0,4995.9,1591.2,12.81,3790.531
2020-05-15,9.858,-4995.9,390.0,4995.9,1591.2,12.81,3844.737
2020-05-18,10.474,-4995.9,390.0,4995.9,1591.2,12.81,4084.791
2020-05-19,10.226,-4995.9,390.0,4995.9,1591.2,12.81,3987.995
2020-05-20,10.583,-4995.9,390.0,4995.9,1591.2,12.81,4127.381
2020-05-21,10.464,-4995.9,390.0,4995.9,1591.2,12.81,4080.919
2020-05-22,10.444,-4995.9,390.0,4995.9,1591.2,12.81,4073.176
2020-05-26,10.553,-4995.9,390.0,4995.9,1591.2,12.81,4115.766
2020-05-27,10.702,-4995.9,390.0,4995.9,1591.2,12.81,4173.843
2020-05-28,10.464,-4995.9,390.0,4995.9,1591.2,12.81,4080.919
2020-05-29,10.335,-4995.9,390.0,4995.9,1591.2,12.81,4030.585
2020-06-01,10.692,-4995.9,390.0,4995.9,1591.2,12.81,4169.972
2020-06-02,11.208,-4995.9,390.0,4995.9,1591.2,12.81,4371.308
2020-06-03,11.844,-4995.9,390.0,4995.9,1591.2,12.81,4619.105
2020-06-04,11.913,-4995.9,390.0,4995.9,1591.2,12.81,4646.208
2020-06-05,13.055,-4995.9,390.0,4995.9,1591.2,12.81,5091.469
2020-06-08,13.383,-4995.9,390.0,4995.9,1591.2,12.81,5219.24
2020-06-09,12.995,-4995.9,390.0,4995.9,1591.2,12.81,5068.239
2020-06-10,12.479,-4995.9,390.0,4995.9,1591.2,12.81,4866.903
2020-06-11,10.911,-4995.9,390.0,4995.9,1591.2,12.81,4255.152
2020-06-12,11.268,-4995.9,390.0,4995.9,1591.2,12.81,4394.538
2020-06-15,11.119,-4995.9,390.0,4995.9,1591.2,12.81,4336.461
2020-06-16,11.864,-4995.9,390.0,4995.9,1591.2,12.81,4626.849
2020-06-17,11.367,-4995.9,390.0,4995.9,1591.2,12.81,4433.257
2020-06-18,11.248,-4995.9,390.0,4995.9,1591.2,12.81,4386.795
2020-06-19,11.228,-4995.9,390.0,4995.9,1591.2,12.81,4379.051
2020-06-22,11.129,-4995.9,390.0,4995.9,1591.2,12.81,4340.333
2020-06-23,11.546,-4995.9,390.0,4995.9,1591.2,12.81,4502.95
2020-06-24,10.95,-4995.9,390.0,4995.9,1591.2,12.81,4270.639
2020-06-25,11.218,-4995.9,390.0,4995.9,1591.2,12.81,4375.179
2020-06-26,10.911,-4995.9,390.0,4995.9,1591.2,12.81,4255.152
2020-06-29,11.05,-4995.9,390.0,4995.9,1591.2,12.81,4309.358
2020-06-30,11.05,-4995.9,390.0,4995.9,1591.2,12.81,4309.358
2020-07-01,11.02,-4995.9,390.0,4995.9,1591.2,12.81,4297.743
2020-07-02,11.298,-4995.9,390.0,4995.9,1591.2,12.81,4406.154
2020-07-06,11.467,-4995.9,390.0,4995.9,1591.2,12.81,4471.975
2020-07-07,11.189,-4995.9,390.0,4995.9,1591.2,12.81,4363.564
2020-07-08,11.338,-4995.9,390.0,4995.9,1591.2,12.81,4421.641
2020-07-09,11.089,-4995.9,390.0,4995.9,1591.2,12.81,4324.845
2020-07-10,11.347,-4995.9,390.0,4995.9,1591.2,12.81,4425.513
2020-07-13,11.377,-4995.9,390.0,4995.9,1591.2,12.81,4437.129
2020-07-14,11.824,-4995.9,390.0,4995.9,1591.2,12.81,4611.361
2020-07-15,11.804,-4995.9,390.0,4995.9,1591.2,12.81,4603.618
2020-07-16,11.764,-4995.9,390.0,4995.9,1591.2,12.81,4588.131
2020-07-17,11.993,-4995.9,390.0,4995.9,1591.2,12.81,4677.183
2020-07-20,11.635,-4995.9,390.0,4995.9,1591.2,12.81,4537.797
2020-07-21,12.291,-4995.9,390.0,4995.9,1591.2,12.81,4793.338
2020-07-22,12.162,-4995.9,390.0,4995.9,1591.2,12.81,4743.004
2020-07-23,12.042,-4995.9,390.0,4995.9,1591.2,12.81,4696.542
2020-07-24,11.983,-4995.9,390.0,4995.9,1591.2,12.81,4673.311
2020-07-27,12.112,-4995.9,390.0,4995.9,1591.2,12.81,4723.645
2020-07-28,11.804,-4995.9,390.0,4995.9,1591.2,12.81,4603.618
2020-07-29,12.032,-4995.9,390.0,4995.9,1591.2,12.81,4692.67
2020-07-30,11.665,-4995.9,390.0,4995.9,1591.2,12.81,4549.412
2020-07-31,11.556,-4995.9,390.0,4995.9,1591.2,12.81,4506.822
2020-08-03,11.377,-4995.9,390.0,4995.9,1591.2,12.81,4437.129
2020-08-04,11.556,-4995.9,390.0,4995.9,1591.2,12.81,4506.822
2020-08-05,11.616,-4995.9,390.0,4995.9,1591.2,12.81,4530.053
2020-08-06,11.506,-4995.9,390.0,4995.9,1591.2,12.81,4487.463
2020-08-07,11.377,-4995.9,390.0,4995.9,1591.2,12.81,4437.129
2020-08-10,11.467,-4995.9,390.0,4995.9,1591.2,12.81,4471.975
2020-08-11,11.506,-4995.9,390.0,4995.9,1591.2,12.81,4487.463
2020-08-12,11.755,-4995.9,390.0,4995.9,1591.2,12.81,4584.258
2020-08-13,11.486,-4995.9,390.0,4995.9,1591.2,12.81,4479.719
2020-08-14,11.447,-4995.9,390.0,4995.9,1591.2,12.81,4464.231
2020-08-17,11.377,-4995.9,390.0,4995.9,1591.2,12.81,4437.129
2020-08-18,11.486,-4995.9,390.0,4995.9,1591.2,12.81,4479.719
2020-08-19,11.467,-4995.9,390.0,4995.9,1591.2,12.81,4471.975
2020-08-20,11.258,-4995.9,390.0,4995.9,1591.2,12.81,4390.667
2020-08-21,11.199,-4995.9,390.0,4995.9,1591.2,12.81,4367.435
2020-08-24,11.447,-4995.9,390.0,4995.9,1591.2,12.81,4464.231
2020-08-25,11.516,-4995.9,390.0,4995.9,1591.2,12.81,4491.334
2020-08-26,11.328,-4995.9,390.0,4995.9,1591.2,12.81,4417.769
2020-08-27,11.189,-4995.9,390.0,4995.9,1591.2,12.81,4363.564
2020-08-28,11.586,-4995.9,390.0,4995.9,1591.2,12.81,4518.438
2020-08-31,11.308,-4995.9,390.0,4995.9,1591.2,12.81,4410.026
2020-09-01,11.834,-4995.9,390.0,4995.9,1591.2,12.81,4615.233
2020-09-02,11.755,-4995.9,390.0,4995.9,1591.2,12.81,4584.258
2020-09-03,11.655,-4995.9,390.0,4995.9,1591.2,12.81,4545.54
2020-09-04,11.486,-4995.9,390.0,4995.9,1591.2,12.81,4479.719
2020-09-08,10.931,-4995.9,390.0,4995.9,1591.2,12.81,4262.896
2020-09-09,11.109,-4995.9,390.0,4995.9,1591.2,12.81,4332.589
2020-09-10,10.762,-4995.9,390.0,4995.9,1591.2,12.81,4197.075
2020-09-11,10.821,-4995.9,390.0,4995.9,1591.2,12.81,4220.305
2020-09-14,10.772,-4995.9,390.0,4995.9,1591.2,12.81,4200.947
2020-09-15,10.871,-4995.9,390.0,4995.9,1591.2,12.81,4239.665
2020-09-16,11.02,-4995.9,390.0,4995.9,1591.2,12.81,4297.743
2020-09-17,11.01,-4995.9,390.0,4995.9,1591.2,12.81,4293.871
2020-09-18,11.01,-4995.9,390.0,4995.9,1591.2,12.81,4293.871
2020-09-21,10.523,-4995.9,390.0,4995.9,1591.2,12.81,4104.151
2020-09-22,10.444,-4995.9,390.0,4995.9,1591.2,12.81,4073.176
2020-09-23,10.136,-4995.9,390.0,4995.9,1591.2,12.81,3953.149
2020-09-24,10.087,-4995.9,390.0,4995.9,1591.2,12.81,3933.789
2020-09-25,9.858,-4995.9,390.0,4995.9,1591.2,12.81,3844.737
2020-09-28,10.077,-4995.9,390.0,4995.9,1591.2,12.81,3929.918
2020-09-29,9.719,-4995.9,390.0,4995.9,1591.2,12.81,3790.531
2020-09-30,9.769,-4995.9,390.0,4995.9,1591.2,12.81,3809.891
2020-10-01,9.62,-4995.9,390.0,4995.9,1591.2,12.81,3751.813
2020-10-02,9.729,-4995.9,390.0,4995.9,1591.2,12.81,3794.403
2020-10-05,9.948,-4995.9,390.0,4995.9,1591.2,12.81,3879.584
2020-10-06,9.858,-4995.9,390.0,4995.9,1591.2,12.81,3844.737
2020-10-07,9.848,-4995.9,390.0,4995.9,1591.2,12.81,3840.865
2020-10-08,10.106,-4995.9,390.0,4995.9,1591.2,12.81,3941.533
2020-10-09,9.977,-4995.9,390.0,4995.9,1591.2,12.81,3891.199
2020-10-12,9.848,-4995.9,390.0,4995.9,1591.2,12.81,3840.865
2020-10-13,9.64,-4995.9,390.0,4995.9,1591.2,12.81,3759.557
2020-10-14,9.739,-4995.9,390.0,4995.9,1591.2,12.81,3798.275
2020-10-15,9.65,-4995.9,390.0,4995.9,1591.2,12.81,3763.428
2020-10-16,9.59,-4995.9,390.0,4995.9,1591.2,12.81,3740.198
2020-10-19,9.64,-4995.9,390.0,4995.9,1591.2,12.81,3759.557
2020-10-20,9.769,-4995.9,390.0,4995.9,1591.2,12.81,3809.891
2020-10-21,9.65,-4995.9,390.0,4995.9,1591.2,12.81,3763.428
2020-10-22,9.809,-4995.9,390.0,4995.9,1591.2,12.81,3825.378
2020-10-23,9.709,-4995.9,390.0,4995.9,1591.2,12.81,3786.659
2020-10-26,9.501,-4995.9,390.0,4995.9,1591.2,12.81,3705.351
2020-10-27,9.461,-4995.9,390.0,4995.9,1591.2,12.81,3689.863
2020-10-28,8.856,-4995.9,390.0,4995.9,1591.2,12.81,3453.681
2020-10-29,8.985,-4995.9,390.0,4995.9,1591.2,12.81,3504.015
2020-10-30,9.183,-4995.9,390.0,4995.9,1591.2,12.81,3581.452
2020-11-02,9.292,-4995.9,390.0,4995.9,1591.2,12.81,3624.042
2020-11-03,9.471,-4995.9,390.0,4995.9,1591.2,12.81,3693.735
2020-11-04,9.66,-4995.9,390.0,4995.9,1591.2,12.81,3767.3
2020-11-05,9.729,-4995.9,390.0,4995.9,1591.2,12.81,3794.403
2020-11-06,9.729,-4995.9,390.0,4995.9,1591.2,12.81,3794.403
2020-11-09,10.523,-4995.9,390.0,4995.9,1591.2,12.81,4104.151
2020-11-10,10.901,-4995.9,390.0,4995.9,1591.2,12.81,4251.28
2020-11-11,10.99,-4995.9,390.0,4995.9,1591.2,12.81,4286.127
2020-11-12,10.702,-4995.9,390.0,4995.9,1591.2,12.81,4173.843
2020-11-13,10.911,-4995.9,390.0,4995.9,1591.2,12.81,4255.152
2020-11-16,11.586,-4995.9,390.0,4995.9,1591.2,12.81,4518.438
2020-11-17,11.725,-4995.9,390.0,4995.9,1591.2,12.81,4572.643
2020-11-18,11.526,-4995.9,390.0,4995.9,1591.2,12.81,4495.206
2020-11-19,11.755,-4995.9,390.0,4995.9,1591.2,12.81,4584.258
2020-11-20,11.784,-4995.9,390.0,4995.9,1591.2,12.81,4595.874
2020-11-23,12.042,-4995.9,390.0,4995.9,1591.2,12.81,4696.542
