date,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue
2020-07-09,26.925,-4954.851,96.154,4954.851,0.0,51.53,2588.977,4.366,-4998.685,625.0,4998.685,0.0,7.998,2728.501
2020-07-10,27.373,-4954.851,96.154,4954.851,0.0,51.53,2632.049,4.375,-4998.685,625.0,4998.685,0.0,7.998,2734.395
2020-07-13,26.604,-4954.851,96.154,4954.851,0.0,51.53,2558.079,4.394,-4998.685,625.0,4998.685,0.0,7.998,2746.18
2020-07-14,26.195,-4954.851,96.154,4954.851,0.0,51.53,2518.752,4.403,-4998.685,625.0,4998.685,0.0,7.998,2752.073
2020-07-15,26.38,-4954.851,96.154,4954.851,0.0,51.53,2536.542,4.469,-4998.685,625.0,4998.685,0.0,7.998,2793.325
2020-07-16,26.487,-4954.851,96.154,4954.851,0.0,51.53,2546.842,4.488,-4998.685,625.0,4998.685,0.0,7.998,2805.111
2020-07-17,25.883,-4954.851,96.154,4954.851,0.0,51.53,2488.789,4.441,-4998.685,625.0,4998.685,0.0,7.998,2775.646
2020-07-20,25.124,-4954.851,96.154,4954.851,0.0,51.53,2415.755,4.337,-4998.685,625.0,4998.685,0.0,7.998,2710.822
2020-07-21,26.76,-4954.851,96.154,4954.851,0.0,51.53,2573.06,4.535,-4998.685,625.0,4998.685,0.0,7.998,2834.577
2020-07-22,27.071,-4954.851,96.154,4954.851,0.0,51.53,2603.023,4.554,-4998.685,625.0,4998.685,0.0,7.998,2846.363
2020-07-23,27.247,-4954.851,96.154,4954.851,0.0,51.53,2619.877,4.545,-4998.685,625.0,4998.685,0.0,7.998,2840.47
2020-07-24,27.11,-4954.851,96.154,4954.851,0.0,51.53,2606.768,4.46,-4998.685,625.0,4998.685,0.0,7.998,2787.432
2020-07-27,27.899,-4954.851,96.154,4954.851,0.0,51.53,2682.612,4.507,-4998.685,625.0,4998.685,0.0,7.998,2816.898
2020-07-28,27.461,-4954.851,96.154,4954.851,0.0,51.53,2640.476,4.46,-4998.685,625.0,4998.685,0.0,7.998,2787.432
2020-07-29,27.763,-4954.851,96.154,4954.851,0.0,51.53,2669.503,4.479,-4998.685,625.0,4998.685,0.0,7.998,2799.218
2020-07-30,27.539,-4954.851,96.154,4954.851,0.0,51.53,2647.967,4.413,-4998.685,625.0,4998.685,0.0,7.998,2757.966
2020-07-31,27.188,-4954.851,96.154,4954.851,0.0,51.53,2614.259,4.309,-4998.685,625.0,4998.685,0.0,7.998,2693.143
2020-08-03,26.39,-4954.851,96.154,4954.851,0.0,51.53,2537.479,4.262,-4998.685,625.0,4998.685,0.0,7.998,2663.677
2020-08-04,25.747,-4954.851,96.154,4954.851,0.0,51.53,2475.68,4.243,-4998.685,625.0,4998.685,0.0,7.998,2651.891
2020-08-05,25.698,-4954.851,96.154,4954.851,0.0,51.53,2470.999,4.252,-4998.685,625.0,4998.685,0.0,7.998,2657.784
2020-08-06,25.552,-4954.851,96.154,4954.851,0.0,51.53,2456.954,4.252,-4998.685,625.0,4998.685,0.0,7.998,2657.784
2020-08-07,24.501,-4954.851,96.154,4954.851,0.0,51.53,2355.829,4.177,-4998.685,625.0,4998.685,0.0,7.998,2610.639
2020-08-10,25.854,-4954.851,96.154,4954.851,0.0,51.53,2485.98,4.224,-4998.685,625.0,4998.685,0.0,7.998,2640.105
2020-08-11,25.922,-4954.851,96.154,4954.851,0.0,51.53,2492.535,4.337,-4998.685,625.0,4998.685,0.0,7.998,2710.822
2020-08-12,25.562,-4954.851,96.154,4954.851,0.0,51.53,2457.89,4.262,-4998.685,625.0,4998.685,0.0,7.998,2663.677
2020-08-13,25.844,-4954.851,96.154,4954.851,0.0,51.53,2485.044,4.337,-4998.685,625.0,4998.685,0.0,7.998,2710.822
2020-08-14,25.601,-4954.851,96.154,4954.851,0.0,51.53,2461.636,4.271,-4998.685,625.0,4998.685,0.0,7.998,2669.57
2020-08-17,24.988,-4954.851,96.154,4954.851,0.0,51.53,2402.646,4.186,-4998.685,625.0,4998.685,0.0,7.998,2616.532
2020-08-18,25.786,-4954.851,96.154,4954.851,0.0,51.53,2479.426,4.234,-4998.685,625.0,4998.685,0.0,7.998,2645.998
2020-08-19,25.913,-4954.851,96.154,4954.851,0.0,51.53,2491.598,4.356,-4998.685,625.0,4998.685,0.0,7.998,2722.608
2020-08-20,26.137,-4954.851,96.154,4954.851,0.0,51.53,2513.134,4.356,-4998.685,625.0,4998.685,0.0,7.998,2722.608
2020-08-21,25.893,-4954.851,96.154,4954.851,0.0,51.53,2489.726,4.328,-4998.685,625.0,4998.685,0.0,7.998,2704.929
2020-08-24,26.594,-4954.851,96.154,4954.851,0.0,51.53,2557.142,4.45,-4998.685,625.0,4998.685,0.0,7.998,2781.539
2020-08-25,27.159,-4954.851,96.154,4954.851,0.0,51.53,2611.45,4.564,-4998.685,625.0,4998.685,0.0,7.998,2852.256
2020-08-26,27.451,-4954.851,96.154,4954.851,0.0,51.53,2639.54,4.564,-4998.685,625.0,4998.685,0.0,7.998,2852.256
2020-08-27,27.373,-4954.851,96.154,4954.851,0.0,51.53,2632.049,4.554,-4998.685,625.0,4998.685,0.0,7.998,2846.363
2020-08-28,28.006,-4954.851,96.154,4954.851,0.0,51.53,2692.911,4.686,-4998.685,625.0,4998.685,0.0,7.998,2928.866
2020-08-31,27.325,-4954.851,96.154,4954.851,0.0,51.53,2627.367,4.592,-4998.685,625.0,4998.685,0.0,7.998,2869.935
2020-09-01,29.399,-4954.851,96.154,4954.851,0.0,51.53,2826.808,4.799,-4998.685,625.0,4998.685,0.0,7.998,2999.583
2020-09-02,29.438,-4954.851,96.154,4954.851,0.0,51.53,2830.553,4.894,-4998.685,625.0,4998.685,0.0,7.998,3058.514
2020-09-03,29.009,-4954.851,96.154,4954.851,0.0,51.53,2789.354,4.828,-4998.685,625.0,4998.685,0.0,7.998,3017.262
2020-09-04,29.107,-4954.851,96.154,4954.851,0.0,51.53,2798.718,4.799,-4998.685,625.0,4998.685,0.0,7.998,2999.583
2020-09-08,28.376,-4954.851,96.154,4954.851,0.0,51.53,2728.492,4.658,-4998.685,625.0,4998.685,0.0,7.998,2911.187
2020-09-09,28.815,-4954.851,96.154,4954.851,0.0,51.53,2770.627,4.696,-4998.685,625.0,4998.685,0.0,7.998,2934.759
2020-09-10,27.743,-4954.851,96.154,4954.851,0.0,51.53,2667.63,4.63,-4998.685,625.0,4998.685,0.0,7.998,2893.507
2020-09-11,27.266,-4954.851,96.154,4954.851,0.0,51.53,2621.749,4.63,-4998.685,625.0,4998.685,0.0,7.998,2893.507
2020-09-14,26.974,-4954.851,96.154,4954.851,0.0,51.53,2593.659,4.62,-4998.685,625.0,4998.685,0.0,7.998,2887.615
2020-09-15,26.838,-4954.851,96.154,4954.851,0.0,51.53,2580.55,4.554,-4998.685,625.0,4998.685,0.0,7.998,2846.363
2020-09-16,27.042,-4954.851,96.154,4954.851,0.0,51.53,2600.214,4.592,-4998.685,625.0,4998.685,0.0,7.998,2869.935
2020-09-17,26.643,-4954.851,96.154,4954.851,0.0,51.53,2561.824,4.573,-4998.685,625.0,4998.685,0.0,7.998,2858.149
2020-09-18,26.429,-4954.851,96.154,4954.851,0.0,51.53,2541.224,4.545,-4998.685,625.0,4998.685,0.0,7.998,2840.47
2020-09-21,26.078,-4954.851,96.154,4954.851,0.0,51.53,2507.516,4.479,-4998.685,625.0,4998.685,0.0,7.998,2799.218
2020-09-22,25.484,-4954.851,96.154,4954.851,0.0,51.53,2450.399,4.403,-4998.685,625.0,4998.685,0.0,7.998,2752.073
2020-09-23,25.026,-4954.851,96.154,4954.851,0.0,51.53,2406.392,4.328,-4998.685,625.0,4998.685,0.0,7.998,2704.929
2020-09-24,25.445,-4954.851,96.154,4954.851,0.0,51.53,2446.654,4.394,-4998.685,625.0,4998.685,0.0,7.998,2746.18
2020-09-25,25.221,-4954.851,96.154,4954.851,0.0,51.53,2425.118,4.337,-4998.685,625.0,4998.685,0.0,7.998,2710.822
2020-09-28,25.329,-4954.851,96.154,4954.851,0.0,51.53,2435.448,4.403,-4998.685,625.0,4998.685,0.0,7.998,2752.073
2020-09-29,24.678,-4954.851,96.154,4954.851,0.0,51.53,2372.903,4.372,-4998.685,625.0,4998.685,0.0,7.998,2732.514
2020-09-30,25.181,-4954.851,96.154,4954.851,0.0,51.53,2421.233,4.372,-4998.685,625.0,4998.685,0.0,7.998,2732.514
