,0
1293,GEO
1294,AAP
1295,AON
1296,TGTX
1297,SKM
1298,MAN
1299,SDY
1300,CRUS
1301,TXRH
1302,AAXJ
1303,TNET
1304,LZB
1305,FTSI
1306,EEFT
1307,BXS
1308,CVGI
1309,TRI
1310,JQC
1311,GMS
1312,PBI
1313,RJF
1314,WWD
1315,SNY
1316,IWB
1317,TTC
1318,BAM
1319,SHW
1320,AMP
1321,SNR
1322,WSO
1323,ATO
1324,QID
1325,HOLI
1326,CBAY
1327,STAG
1328,WAB
1329,AVEO
1330,PFGC
1331,MUSA
1332,RCM
1333,DK
1334,CM
1335,SWX
1336,SSRM
1337,ACWF
1338,MTW
1339,IRS
1340,MIC
1341,PSQ
1342,TSEM
1343,ILF
1344,DNLI
1345,CHRW
1346,SPPI
1347,TTD
1348,ASML
1349,IDXX
1350,ONCS
1351,SRPT
1352,SGEN
1353,CNK
1354,TCBI
1355,OCN
1356,MDB
1357,DXPE
1358,NWBI
1359,ENS
1360,TFX
1361,EQC
1362,DEI
1363,UFS
1364,MTN
1365,SPR
1366,PSEC
1367,LEE
1368,QDEL
1369,WETF
1370,NRZ
1371,HBM
1372,INVA
1373,BJRI
1374,EVRI
1375,LCI
1376,PII
1377,JCOM
1378,CTT
1379,SCO
1380,AHH
1381,ZS
1382,MIDD
1383,SF
1384,RCII
1385,DCP
1386,VEDL
1387,WBS
1388,CRON
1389,WST
1390,SCI
1391,BERY
1392,ENIA
1393,TEUM
1394,SPNT
1395,CCK
1396,MAG
1397,WNC
1398,CSGP
1399,ETR
1400,VLUE
1401,TTMI
1402,FLS
1403,ARWR
1404,IAC
1405,VIRT
1406,UCTT
1407,WBT
1408,VUG
1409,BCOR
1410,CRH
1411,GHL
1412,IPI
1413,HIW
1414,BLDR
1415,CHEF
1416,APH
1417,REXR
1418,KURA
1419,GTHX
1420,TK
1421,GPRE
1422,RS
1423,HEI
1424,CFR
1425,YPF
1426,LGIH
1427,CMG
1428,REG
1429,AVXL
1430,AXDX
1431,RPM
1432,BNS
1433,CTLP
1434,BWXT
1435,WOW
1436,PRMW
1437,WOR
1438,NUVA
1439,TIP
1440,ADVM
1441,SWIR
1442,MBB
1443,HUBS
1444,FRPT
1445,ARAY
1446,QUOT
1447,COLD
1448,NS
1449,YANG
1450,FAS
1451,FMX
1452,HTLD
1453,VRNS
1454,IVE
1455,AYTU
1456,PKG
1457,CINF
1458,ANY
1459,CLX
1460,VGR
1461,HII
1462,GLRE
1463,PRGO
1464,OIL
1465,RRR
1466,MSA
1467,SQNS
1468,ZG
